,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New,Market Value New
144,144,2026,"World Cup Qualifiers, Africa, 2018",Gambia vs Namibia,09-10-2015,Namibia,NB,2015,SUCCESS,Willy Stephanus,0.0,True,Had Both but Both Were Empty,False,Willy Stephanus,W Stephanus,none,Done,0
145,145,2033,"World Cup Qualifiers, Africa, 2018",Congo vs Ethiopia,17-11-2015,Congo,CG,2015,SUCCESS,Durel Avounou,0.0,True,Only After X,False,Durel Avounou,D Avounou,none,Done,0
146,146,2047,"World Cup Qualifiers, Africa, 2022",Togo vs Namibia,05-09-2021,Namibia,NB,2021,SUCCESS,Ivan Kamberipa,60000.0,True,Used Season Before * 1.2 But Had Both,False,Ivan Kamberipa,I Kamberipa,none,Done,60000
147,147,2047,"World Cup Qualifiers, Africa, 2022",Togo vs Namibia,05-09-2021,Namibia,NB,2021,SUCCESS,Charles Hambira,40000.0,True,Used Season Before * .8 But Had Both,False,Charles Hambira,C Hambira,none,Done,40000
148,148,2047,"World Cup Qualifiers, Africa, 2022",Togo vs Namibia,05-09-2021,Namibia,NB,2021,SUCCESS,Wesley Katjiteo,40000.0,True,Only Before,False,Wesley Katjiteo,W Katjiteo,none,Done,40000
149,149,2047,"World Cup Qualifiers, Africa, 2022",Togo vs Namibia,05-09-2021,Namibia,NB,2021,SUCCESS,Denzil Haoseb,160000.0,True,Used Season Before * .8 But Had Both,False,Denzil Haoseb,D Haoseb,none,Done,160000
150,150,2047,"World Cup Qualifiers, Africa, 2022",Togo vs Namibia,05-09-2021,Namibia,NB,2021,SUCCESS,Absalom Iimbondi,120000.0,True,Used Season Before * 1.2 But Had Both,False,Absalom Iimbondi,A Iimbondi,none,Done,120000
151,151,2047,"World Cup Qualifiers, Africa, 2022",Togo vs Namibia,05-09-2021,Namibia,NB,2021,SUCCESS,Elmo Kambindu,0.0,True,Had Both but Both Were Empty,False,Elmo Kambindu,E Kambindu,none,Done,0
152,152,2058,"World Cup Qualifiers, Africa, 2022",Namibia vs Eritrea,10-09-2019,Namibia,NB,2019,SUCCESS,Larry Horaeb,75000.0,True,Used Average of Season Before and After,False,Larry Horaeb,L Horaeb,none,Done,75000
153,153,2058,"World Cup Qualifiers, Africa, 2022",Namibia vs Eritrea,10-09-2019,Namibia,NB,2019,SUCCESS,Vitapi Ngaruka,0.0,True,Only After X,False,Vitapi Ngaruka,V Ngaruka,none,Done,0
154,154,2058,"World Cup Qualifiers, Africa, 2022",Namibia vs Eritrea,10-09-2019,Namibia,NB,2019,SUCCESS,Absalom Iimbondi,80000.0,True,Used Season After * .8 But Had Both,False,Absalom Iimbondi,A Iimbondi,none,Done,80000
155,155,2058,"World Cup Qualifiers, Africa, 2022",Namibia vs Eritrea,10-09-2019,Eritrea,ER,2019,SUCCESS,Henok Goitom,600000.0,True,Found in Curr Season,False,Henok Goitom,Henok Goitom,none,Done,600000
156,156,3441,"World Cup Qualifiers, Europe, 2022",Serbia vs Republic of Ireland,24-03-2021,Serbia,RS,2021,SUCCESS,Uros Racic,7500000.0,True,Found in Curr Season,False,Uros Racic,U Račić,none,Done,7500000
157,157,2788,"World Cup Qualifiers, Europe, 2014",Denmark vs Armenia,11-06-2013,Denmark,DK,2013,SUCCESS,Dennis Rommedahl,280000.0,True,Only Before,False,Dennis Rommedahl,D Rommedahl,none,Done,280000
158,158,2792,"World Cup Qualifiers, Europe, 2014",Spain vs Belarus,11-10-2013,Spain,ES,2013,SUCCESS,Michu,1800000.0,True,Only Before,False,Michu,Michu,none,Done,1800000
159,159,2801,"World Cup Qualifiers, Europe, 2014",Norway vs Albania,22-03-2013,Norway,NO,2013,SUCCESS,John Arne Riise,2400000.0,True,Only Before,False,John Arne Riise,J Riise,none,Done,2400000
160,160,2806,"World Cup Qualifiers, Europe, 2014",Cyprus vs Switzerland,23-03-2013,Switzerland,CH,2013,SUCCESS,Innocent Emeghara,6000000.0,True,Only Before,False,Innocent Emeghara,I Emeghara,none,Done,6000000
161,161,2825,"World Cup Qualifiers, Europe, 2014",Slovakia vs Lithuania,22-03-2013,Slovakia,SK,2013,SUCCESS,Marek Sapara,3600000.0,True,Only Before,False,Marek Sapara,M Sapara,none,Done,3600000
162,162,2827,"World Cup Qualifiers, Europe, 2014",Denmark vs Bulgaria,26-03-2013,Denmark,DK,2013,SUCCESS,Dennis Rommedahl,280000.0,True,Only Before,False,Dennis Rommedahl,D Rommedahl,none,Done,280000
163,163,2829,"World Cup Qualifiers, Europe, 2014",Hungary vs Romania,22-03-2013,Romania,RO,2013,SUCCESS,Adrian Mutu,800000.0,True,Only Before,False,Adrian Mutu,A Mutu,none,Done,800000
164,164,3742,"Gold Cup, 2019",Canada vs Martinique,16-06-2019,Martinique,MQ,2019,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,J Babin,none,Done,0
165,165,3742,"Gold Cup, 2019",Canada vs Martinique,16-06-2019,Martinique,MQ,2019,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,J Marveaux,none,Done,0
166,166,3755,"Gold Cup, 2021",Martinique vs United States,16-07-2021,Martinique,MQ,2021,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,P Burner,none,Done,0
167,167,3755,"Gold Cup, 2021",Martinique vs United States,16-07-2021,Martinique,MQ,2021,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,J Babin,none,Done,0
168,168,3755,"Gold Cup, 2021",Martinique vs United States,16-07-2021,Martinique,MQ,2021,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,E Rivière,none,Done,0
169,169,3761,"Gold Cup, 2021",Guadeloupe vs Jamaica,17-07-2021,Guadeloupe,GP,2021,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,M Alphonse,none,Done,0
170,170,3766,"Gold Cup, 2021",Canada vs Martinique,12-07-2021,Martinique,MQ,2021,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,J Babin,none,Done,0
171,171,3766,"Gold Cup, 2021",Canada vs Martinique,12-07-2021,Martinique,MQ,2021,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,P Burner,none,Done,0
