,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case
33750,684,4078,"World Cup 2022, Qualifiers, CONCACAF",Antigua and Barbuda vs Montserrat,24-Mar-21,Antigua and Barbuda,AG,2021,FAIL,"['Zaine Francis-Angol', 'Novel Francis', 'Daniel Francis']",0,True,Online Lookup Required,False,"['Zaine Francis-Angol', 'Novel Francis', 'Daniel Francis']",Francisol,multiple
33760,694,4078,"World Cup 2022, Qualifiers, CONCACAF",Antigua and Barbuda vs Montserrat,24-Mar-21,Montserrat,MS,2021,FAIL,"['Elton Williams', 'Michael Williams']",0,True,Online Lookup Required,False,"['Elton Williams', 'Michael Williams']",Williams,multiple
33792,726,4080,"World Cup 2022, Qualifiers, CONCACAF",Dominican Republic vs Dominica,24-Mar-21,Dominican Republic,DO,2021,FAIL,"['Luis Ismael Diaz', 'Rafael Diaz']",0,True,Online Lookup Required,False,"['Luis Ismael Diaz', 'Rafael Diaz']",Diaz,multiple
33812,746,4080,"World Cup 2022, Qualifiers, CONCACAF",Dominican Republic vs Dominica,24-Mar-21,Dominica,DM,2021,FAIL,"['Eric Wade', 'Julian Wade']",0,True,Online Lookup Required,False,"['Eric Wade', 'Julian Wade']",Wade,multiple
33836,770,4082,"World Cup 2022, Qualifiers, CONCACAF",Saint Kitts and Nevis vs Puerto Rico,24-Mar-21,Saint Kitts and Nevis,KN,2021,FAIL,"['Julani Archibald', 'Steve Archibald']",0,True,Online Lookup Required,False,"['Julani Archibald', 'Steve Archibald']",Archibald,multiple
33843,777,4082,"World Cup 2022, Qualifiers, CONCACAF",Saint Kitts and Nevis vs Puerto Rico,24-Mar-21,Saint Kitts and Nevis,KN,2021,FAIL,"['Raheem Somersall', 'Travis Somersall']",0,True,Online Lookup Required,False,"['Raheem Somersall', 'Travis Somersall']",Somersall,multiple
33845,779,4082,"World Cup 2022, Qualifiers, CONCACAF",Saint Kitts and Nevis vs Puerto Rico,24-Mar-21,Saint Kitts and Nevis,KN,2021,FAIL,"['Patrece Liburd', 'Malik Liburd', 'Kendale Liburd', 'Rowan Liburd']",0,True,Online Lookup Required,False,"['Patrece Liburd', 'Malik Liburd', 'Kendale Liburd', 'Rowan Liburd']",Liburd,multiple
34001,935,4089,"World Cup 2022, Qualifiers, CONCACAF",Anguilla vs Dominican Republic,27-Mar-21,Dominican Republic,DO,2021,FAIL,"['Luis Ismael Diaz', 'Rafael Diaz']",0,True,Online Lookup Required,False,"['Luis Ismael Diaz', 'Rafael Diaz']",Diaz,multiple
34455,355,2948,"World Cup Qualifiers, Europe, 2018",Azerbaijan vs Germany,26-03-2017,Azerbaijan,AZ,2017,FAIL,"['Rashad Sadyqov', 'Rashad Sadiqov']",0,True,Online Lookup Required,False,"['Rashad Sadyqov', 'Rashad Sadiqov']",R Sadqov,multiple
34675,575,2958,"World Cup Qualifiers, Europe, 2018",Azerbaijan vs Czech Republic,05-10-2017,Azerbaijan,AZ,2017,FAIL,"['Rashad Sadyqov', 'Rashad Sadiqov']",0,True,Online Lookup Required,False,"['Rashad Sadyqov', 'Rashad Sadiqov']",R Sadqov,multiple
