"interval","sum_rank_prediction_correct","average_rank_prediction_correct","sample_size","seasons"
99,4,0.0506329113924051,79,"2013_2014"
101,4,0.051948051948052,77,"2013_2014"
103,3,0.0410958904109589,73,"2013_2014"
105,2,0.0294117647058824,68,"2013_2014"
107,2,0.0298507462686567,67,"2013_2014"
109,2,0.0350877192982456,57,"2013_2014"
111,2,0.037037037037037,54,"2013_2014"
113,2,0.0392156862745098,51,"2013_2014"
115,2,0.04,50,"2013_2014"
117,2,0.0416666666666667,48,"2013_2014"
119,2,0.0425531914893617,47,"2013_2014"
121,2,0.0465116279069767,43,"2013_2014"
123,1,0.024390243902439,41,"2013_2014"
125,1,0.0256410256410256,39,"2013_2014"
127,1,0.0263157894736842,38,"2013_2014"
129,1,0.0277777777777778,36,"2013_2014"
131,1,0.0294117647058824,34,"2013_2014"
133,1,0.03125,32,"2013_2014"
135,1,0.032258064516129,31,"2013_2014"
137,1,0.0344827586206897,29,"2013_2014"
139,1,0.0416666666666667,24,"2013_2014"
141,1,0.0454545454545455,22,"2013_2014"
143,1,0.05,20,"2013_2014"
145,1,0.0588235294117647,17,"2013_2014"
147,1,0.0625,16,"2013_2014"
149,1,0.0666666666666667,15,"2013_2014"
151,1,0.0714285714285714,14,"2013_2014"
153,1,0.0714285714285714,14,"2013_2014"
155,1,0.0714285714285714,14,"2013_2014"
157,1,0.0714285714285714,14,"2013_2014"
159,1,0.0769230769230769,13,"2013_2014"
161,1,0.0833333333333333,12,"2013_2014"
163,1,0.0833333333333333,12,"2013_2014"
165,1,0.0833333333333333,12,"2013_2014"
167,1,0.0833333333333333,12,"2013_2014"
169,1,0.0833333333333333,12,"2013_2014"
171,0,0,9,"2013_2014"
173,0,0,8,"2013_2014"
175,0,0,6,"2013_2014"
177,0,0,6,"2013_2014"
179,0,0,6,"2013_2014"
181,0,0,6,"2013_2014"
183,0,0,5,"2013_2014"
185,0,0,5,"2013_2014"
187,0,0,5,"2013_2014"
189,0,0,5,"2013_2014"
191,0,0,4,"2013_2014"
193,0,0,4,"2013_2014"
195,0,0,4,"2013_2014"
197,0,0,3,"2013_2014"
199,0,0,2,"2013_2014"
201,0,0,1,"2013_2014"
203,0,0,1,"2013_2014"
205,0,0,1,"2013_2014"
207,0,NA,0,"2013_2014"
209,0,NA,0,"2013_2014"
1,186,0.179710144927536,1035,"2015_2016"
3,172,0.172172172172172,999,"2015_2016"
5,166,0.172199170124481,964,"2015_2016"
7,156,0.167561761546724,931,"2015_2016"
9,145,0.161111111111111,900,"2015_2016"
11,135,0.155889145496536,866,"2015_2016"
13,125,0.149342891278375,837,"2015_2016"
15,119,0.145833333333333,816,"2015_2016"
17,114,0.14321608040201,796,"2015_2016"
19,104,0.135064935064935,770,"2015_2016"
21,97,0.132152588555858,734,"2015_2016"
23,89,0.124649859943978,714,"2015_2016"
25,82,0.119013062409289,689,"2015_2016"
27,79,0.117559523809524,672,"2015_2016"
29,78,0.12037037037037,648,"2015_2016"
31,71,0.114147909967846,622,"2015_2016"
33,66,0.109634551495017,602,"2015_2016"
35,62,0.106529209621993,582,"2015_2016"
37,56,0.100538599640934,557,"2015_2016"
39,53,0.098330241187384,539,"2015_2016"
41,49,0.0933333333333333,525,"2015_2016"
43,41,0.0818363273453094,501,"2015_2016"
45,38,0.0780287474332649,487,"2015_2016"
47,37,0.0782241014799154,473,"2015_2016"
49,36,0.0779220779220779,462,"2015_2016"
51,33,0.0736607142857143,448,"2015_2016"
53,31,0.0734597156398104,422,"2015_2016"
55,30,0.0737100737100737,407,"2015_2016"
57,28,0.0717948717948718,390,"2015_2016"
59,27,0.0725806451612903,372,"2015_2016"
61,26,0.0734463276836158,354,"2015_2016"
63,26,0.0771513353115727,337,"2015_2016"
65,25,0.0786163522012579,318,"2015_2016"
67,23,0.0756578947368421,304,"2015_2016"
69,19,0.0657439446366782,289,"2015_2016"
71,17,0.0625,272,"2015_2016"
73,16,0.0632411067193676,253,"2015_2016"
75,16,0.0645161290322581,248,"2015_2016"
77,16,0.0680851063829787,235,"2015_2016"
79,15,0.0666666666666667,225,"2015_2016"
81,12,0.0566037735849057,212,"2015_2016"
83,11,0.055,200,"2015_2016"
85,11,0.0591397849462366,186,"2015_2016"
87,10,0.0552486187845304,181,"2015_2016"
89,8,0.0470588235294118,170,"2015_2016"
91,7,0.0424242424242424,165,"2015_2016"
93,7,0.0445859872611465,157,"2015_2016"
95,6,0.0397350993377483,151,"2015_2016"
97,5,0.036231884057971,138,"2015_2016"
99,5,0.037593984962406,133,"2015_2016"
101,5,0.040650406504065,123,"2015_2016"
103,5,0.0423728813559322,118,"2015_2016"
105,4,0.0357142857142857,112,"2015_2016"
107,4,0.0396039603960396,101,"2015_2016"
109,4,0.0416666666666667,96,"2015_2016"
111,4,0.043956043956044,91,"2015_2016"
113,4,0.0465116279069767,86,"2015_2016"
115,4,0.048780487804878,82,"2015_2016"
117,3,0.038961038961039,77,"2015_2016"
119,2,0.0273972602739726,73,"2015_2016"
121,2,0.028169014084507,71,"2015_2016"
123,2,0.0294117647058824,68,"2015_2016"
125,2,0.03125,64,"2015_2016"
127,2,0.0338983050847458,59,"2015_2016"
129,1,0.0181818181818182,55,"2015_2016"
131,1,0.0196078431372549,51,"2015_2016"
133,1,0.0204081632653061,49,"2015_2016"
135,1,0.0217391304347826,46,"2015_2016"
137,0,0,44,"2015_2016"
139,0,0,44,"2015_2016"
141,0,0,41,"2015_2016"
143,0,0,38,"2015_2016"
145,0,0,37,"2015_2016"
147,0,0,34,"2015_2016"
149,0,0,31,"2015_2016"
151,0,0,29,"2015_2016"
153,0,0,29,"2015_2016"
155,0,0,26,"2015_2016"
157,0,0,24,"2015_2016"
159,0,0,24,"2015_2016"
161,0,0,23,"2015_2016"
163,0,0,23,"2015_2016"
165,0,0,22,"2015_2016"
167,0,0,20,"2015_2016"
169,0,0,19,"2015_2016"
171,0,0,18,"2015_2016"
173,0,0,14,"2015_2016"
175,0,0,12,"2015_2016"
177,0,0,12,"2015_2016"
179,0,0,11,"2015_2016"
181,0,0,11,"2015_2016"
183,0,0,10,"2015_2016"
185,0,0,7,"2015_2016"
187,0,0,7,"2015_2016"
189,0,0,6,"2015_2016"
191,0,0,6,"2015_2016"
193,0,0,6,"2015_2016"
195,0,0,6,"2015_2016"
197,0,0,5,"2015_2016"
199,0,0,4,"2015_2016"
201,0,0,3,"2015_2016"
203,0,0,2,"2015_2016"
205,0,0,1,"2015_2016"
207,0,NA,0,"2015_2016"
209,0,NA,0,"2015_2016"
1,150,0.222222222222222,675,"2017_2018"
