"interval","sum_rank_prediction_correct","average_rank_prediction_correct","sample_size","seasons"
43,103,0.263427109974425,391,"2013_2014"
45,105,0.2625,400,"2013_2014"
47,108,0.257756563245823,419,"2013_2014"
49,111,0.258741258741259,429,"2013_2014"
51,114,0.256756756756757,444,"2013_2014"
53,115,0.254988913525499,451,"2013_2014"
55,116,0.252723311546841,459,"2013_2014"
57,117,0.250535331905782,467,"2013_2014"
59,118,0.251063829787234,470,"2013_2014"
61,119,0.249475890985325,477,"2013_2014"
63,119,0.247916666666667,480,"2013_2014"
65,120,0.245901639344262,488,"2013_2014"
67,121,0.244444444444444,495,"2013_2014"
69,126,0.24950495049505,505,"2013_2014"
71,127,0.24853228962818,511,"2013_2014"
73,128,0.248062015503876,516,"2013_2014"
75,128,0.246628131021195,519,"2013_2014"
77,128,0.246153846153846,520,"2013_2014"
79,129,0.243856332703214,529,"2013_2014"
81,129,0.240671641791045,536,"2013_2014"
83,129,0.238888888888889,540,"2013_2014"
85,129,0.238447319778189,541,"2013_2014"
87,129,0.235831809872029,547,"2013_2014"
89,129,0.232851985559567,554,"2013_2014"
91,129,0.232432432432432,555,"2013_2014"
93,130,0.232974910394265,558,"2013_2014"
95,130,0.231729055258467,561,"2013_2014"
97,131,0.229824561403509,570,"2013_2014"
99,131,0.228621291448517,573,"2013_2014"
101,131,0.227826086956522,575,"2013_2014"
103,133,0.228915662650602,581,"2013_2014"
105,133,0.228130360205832,583,"2013_2014"
107,133,0.225806451612903,589,"2013_2014"
109,133,0.223154362416107,596,"2013_2014"
111,133,0.2220367278798,599,"2013_2014"
113,133,0.221666666666667,600,"2013_2014"
115,133,0.220563847429519,603,"2013_2014"
117,133,0.220563847429519,603,"2013_2014"
119,133,0.21875,608,"2013_2014"
121,134,0.219672131147541,610,"2013_2014"
123,134,0.219312602291326,611,"2013_2014"
125,134,0.218597063621533,613,"2013_2014"
127,134,0.218241042345277,614,"2013_2014"
129,134,0.217532467532468,616,"2013_2014"
131,134,0.216828478964401,618,"2013_2014"
133,134,0.216478190630048,619,"2013_2014"
135,134,0.215434083601286,622,"2013_2014"
137,134,0.2144,625,"2013_2014"
139,134,0.213375796178344,628,"2013_2014"
141,134,0.213036565977742,629,"2013_2014"
143,134,0.212361331220285,631,"2013_2014"
145,134,0.211023622047244,635,"2013_2014"
147,134,0.210691823899371,636,"2013_2014"
149,134,0.210361067503925,637,"2013_2014"
151,134,0.210361067503925,637,"2013_2014"
153,134,0.210361067503925,637,"2013_2014"
155,134,0.210361067503925,637,"2013_2014"
157,134,0.210361067503925,637,"2013_2014"
159,134,0.209702660406886,639,"2013_2014"
161,134,0.209702660406886,639,"2013_2014"
163,134,0.209702660406886,639,"2013_2014"
165,134,0.209702660406886,639,"2013_2014"
167,134,0.209702660406886,639,"2013_2014"
169,135,0.210608424336973,641,"2013_2014"
171,135,0.2099533437014,643,"2013_2014"
173,135,0.209302325581395,645,"2013_2014"
175,135,0.209302325581395,645,"2013_2014"
177,135,0.209302325581395,645,"2013_2014"
179,135,0.209302325581395,645,"2013_2014"
181,135,0.208978328173375,646,"2013_2014"
183,135,0.208978328173375,646,"2013_2014"
185,135,0.208978328173375,646,"2013_2014"
187,135,0.208978328173375,646,"2013_2014"
189,135,0.208655332302937,647,"2013_2014"
191,135,0.208655332302937,647,"2013_2014"
193,135,0.208655332302937,647,"2013_2014"
195,135,0.208333333333333,648,"2013_2014"
197,135,0.208333333333333,648,"2013_2014"
199,135,0.208012326656394,649,"2013_2014"
201,135,0.207692307692308,650,"2013_2014"
203,135,0.207692307692308,650,"2013_2014"
205,135,0.207373271889401,651,"2013_2014"
207,135,0.207373271889401,651,"2013_2014"
209,135,0.207373271889401,651,"2013_2014"
1,9,0.473684210526316,19,"2015_2016"
3,17,0.320754716981132,53,"2015_2016"
5,25,0.277777777777778,90,"2015_2016"
7,37,0.296,125,"2015_2016"
9,43,0.292517006802721,147,"2015_2016"
11,57,0.311475409836066,183,"2015_2016"
13,65,0.314009661835749,207,"2015_2016"
15,68,0.300884955752212,226,"2015_2016"
17,78,0.307086614173228,254,"2015_2016"
19,85,0.301418439716312,282,"2015_2016"
21,94,0.299363057324841,314,"2015_2016"
23,99,0.296407185628743,334,"2015_2016"
25,107,0.299719887955182,357,"2015_2016"
27,107,0.285333333333333,375,"2015_2016"
29,111,0.278195488721804,399,"2015_2016"
31,118,0.279620853080569,422,"2015_2016"
33,122,0.272930648769575,447,"2015_2016"
35,127,0.272532188841202,466,"2015_2016"
37,132,0.268839103869654,491,"2015_2016"
39,137,0.272365805168986,503,"2015_2016"
41,140,0.267175572519084,524,"2015_2016"
43,146,0.270871985157699,539,"2015_2016"
45,149,0.267985611510791,556,"2015_2016"
47,149,0.261862917398946,569,"2015_2016"
49,150,0.258175559380379,581,"2015_2016"
51,153,0.255,600,"2015_2016"
53,155,0.25,620,"2015_2016"
55,157,0.245696400625978,639,"2015_2016"
57,158,0.240853658536585,656,"2015_2016"
59,160,0.237388724035608,674,"2015_2016"
61,160,0.231884057971014,690,"2015_2016"
63,161,0.227401129943503,708,"2015_2016"
65,162,0.223448275862069,725,"2015_2016"
67,165,0.222972972972973,740,"2015_2016"
69,169,0.225333333333333,750,"2015_2016"
71,169,0.218064516129032,775,"2015_2016"
73,170,0.216284987277354,786,"2015_2016"
75,170,0.214646464646465,792,"2015_2016"
77,171,0.211372064276885,809,"2015_2016"
79,172,0.211042944785276,815,"2015_2016"
81,175,0.210843373493976,830,"2015_2016"
83,175,0.207838479809976,842,"2015_2016"
85,176,0.206330597889801,853,"2015_2016"
87,178,0.206736353077816,861,"2015_2016"
89,178,0.205305651672434,867,"2015_2016"
91,179,0.204337899543379,876,"2015_2016"
93,180,0.203850509626274,883,"2015_2016"
95,180,0.202474690663667,889,"2015_2016"
97,181,0.200887902330744,901,"2015_2016"
99,181,0.199779249448124,906,"2015_2016"
101,181,0.197814207650273,915,"2015_2016"
103,182,0.197826086956522,920,"2015_2016"
105,182,0.196120689655172,928,"2015_2016"
107,182,0.194652406417112,935,"2015_2016"
109,182,0.193001060445387,943,"2015_2016"
111,182,0.192185850052798,947,"2015_2016"
113,182,0.191578947368421,950,"2015_2016"
115,182,0.190575916230366,955,"2015_2016"
117,184,0.191467221644121,961,"2015_2016"
119,184,0.191069574247144,963,"2015_2016"
121,184,0.190871369294606,964,"2015_2016"
123,184,0.189886480908153,969,"2015_2016"
125,184,0.188911704312115,974,"2015_2016"
127,185,0.189161554192229,978,"2015_2016"
129,185,0.188391038696538,982,"2015_2016"
131,185,0.187817258883249,985,"2015_2016"
133,185,0.187057633973711,989,"2015_2016"
135,185,0.187057633973711,989,"2015_2016"
137,186,0.187689202825429,991,"2015_2016"
139,186,0.187122736418511,994,"2015_2016"
141,186,0.186934673366834,995,"2015_2016"
143,186,0.186559679037111,997,"2015_2016"
145,186,0.185814185814186,1001,"2015_2016"
147,186,0.185443668993021,1003,"2015_2016"
149,186,0.185258964143426,1004,"2015_2016"
151,186,0.184890656063618,1006,"2015_2016"
153,186,0.184890656063618,1006,"2015_2016"
155,186,0.184158415841584,1010,"2015_2016"
157,186,0.183976261127596,1011,"2015_2016"
159,186,0.183794466403162,1012,"2015_2016"
161,186,0.183794466403162,1012,"2015_2016"
163,186,0.183794466403162,1012,"2015_2016"
165,186,0.183613030602172,1013,"2015_2016"
167,186,0.183070866141732,1016,"2015_2016"
169,186,0.183070866141732,1016,"2015_2016"
171,186,0.182531894013739,1019,"2015_2016"
173,186,0.181996086105675,1022,"2015_2016"
175,186,0.181818181818182,1023,"2015_2016"
177,186,0.181818181818182,1023,"2015_2016"
179,186,0.181640625,1024,"2015_2016"
181,186,0.181463414634146,1025,"2015_2016"
183,186,0.181110029211295,1027,"2015_2016"
185,186,0.180933852140078,1028,"2015_2016"
187,186,0.180758017492711,1029,"2015_2016"
189,186,0.180758017492711,1029,"2015_2016"
191,186,0.180758017492711,1029,"2015_2016"
193,186,0.180758017492711,1029,"2015_2016"
195,186,0.180758017492711,1029,"2015_2016"
197,186,0.180407371483996,1031,"2015_2016"
199,186,0.180232558139535,1032,"2015_2016"
201,186,0.180232558139535,1032,"2015_2016"
203,186,0.180058083252662,1033,"2015_2016"
205,186,0.179710144927536,1035,"2015_2016"
207,186,0.179710144927536,1035,"2015_2016"
209,186,0.179710144927536,1035,"2015_2016"
1,6,0.375,16,"2017_2018"
3,14,0.358974358974359,39,"2017_2018"
5,21,0.328125,64,"2017_2018"
7,27,0.303370786516854,89,"2017_2018"
9,39,0.325,120,"2017_2018"
11,46,0.323943661971831,142,"2017_2018"
13,53,0.333333333333333,159,"2017_2018"
15,58,0.318681318681319,182,"2017_2018"
17,64,0.31219512195122,205,"2017_2018"
19,66,0.301369863013699,219,"2017_2018"
21,72,0.309012875536481,233,"2017_2018"
23,76,0.307692307692308,247,"2017_2018"
25,81,0.304511278195489,266,"2017_2018"
27,86,0.306049822064057,281,"2017_2018"
29,91,0.307432432432432,296,"2017_2018"
31,94,0.29746835443038,316,"2017_2018"
33,100,0.302114803625378,331,"2017_2018"
35,104,0.295454545454545,352,"2017_2018"
37,106,0.292011019283747,363,"2017_2018"
39,109,0.289893617021277,376,"2017_2018"
41,111,0.281012658227848,395,"2017_2018"
43,112,0.275184275184275,407,"2017_2018"
45,116,0.279518072289157,415,"2017_2018"
47,118,0.276346604215457,427,"2017_2018"
49,123,0.277027027027027,444,"2017_2018"
51,125,0.277161862527716,451,"2017_2018"
53,127,0.270788912579957,469,"2017_2018"
55,129,0.270440251572327,477,"2017_2018"
57,131,0.270661157024793,484,"2017_2018"
59,131,0.267893660531697,489,"2017_2018"
61,134,0.269617706237425,497,"2017_2018"
63,134,0.267465069860279,501,"2017_2018"
65,137,0.269685039370079,508,"2017_2018"
67,138,0.269005847953216,513,"2017_2018"
69,138,0.266924564796905,517,"2017_2018"
71,140,0.263653483992467,531,"2017_2018"
73,143,0.264325323475046,541,"2017_2018"
75,143,0.260473588342441,549,"2017_2018"
77,144,0.259459459459459,555,"2017_2018"
79,144,0.258527827648115,557,"2017_2018"
81,144,0.257602862254025,559,"2017_2018"
83,144,0.253075571177504,569,"2017_2018"
85,144,0.25,576,"2017_2018"
87,145,0.247863247863248,585,"2017_2018"
89,145,0.247018739352641,587,"2017_2018"
91,146,0.245791245791246,594,"2017_2018"
93,146,0.244556113902848,597,"2017_2018"
95,146,0.243739565943239,599,"2017_2018"
97,147,0.24459234608985,601,"2017_2018"
99,148,0.244628099173554,605,"2017_2018"
101,149,0.244663382594417,609,"2017_2018"
103,149,0.243464052287582,612,"2017_2018"
105,149,0.241491085899514,617,"2017_2018"
107,149,0.240322580645161,620,"2017_2018"
109,149,0.240322580645161,620,"2017_2018"
111,149,0.239549839228296,622,"2017_2018"
113,149,0.238782051282051,624,"2017_2018"
115,149,0.237261146496815,628,"2017_2018"
117,149,0.236133122028526,631,"2017_2018"
119,149,0.235387045813586,633,"2017_2018"
121,149,0.234645669291339,635,"2017_2018"
123,149,0.233176838810642,639,"2017_2018"
125,149,0.231726283048211,643,"2017_2018"
127,149,0.229938271604938,648,"2017_2018"
129,149,0.229230769230769,650,"2017_2018"
131,149,0.228527607361963,652,"2017_2018"
133,149,0.228177641653905,653,"2017_2018"
135,149,0.228177641653905,653,"2017_2018"
137,149,0.228177641653905,653,"2017_2018"
139,149,0.22782874617737,654,"2017_2018"
141,149,0.226788432267884,657,"2017_2018"
143,149,0.226788432267884,657,"2017_2018"
145,149,0.226788432267884,657,"2017_2018"
147,149,0.22644376899696,658,"2017_2018"
149,149,0.226100151745068,659,"2017_2018"
151,149,0.226100151745068,659,"2017_2018"
153,150,0.227272727272727,660,"2017_2018"
155,150,0.227272727272727,660,"2017_2018"
157,150,0.226928895612708,661,"2017_2018"
159,150,0.226586102719033,662,"2017_2018"
161,150,0.225903614457831,664,"2017_2018"
163,150,0.225563909774436,665,"2017_2018"
165,150,0.225225225225225,666,"2017_2018"
167,150,0.225225225225225,666,"2017_2018"
169,150,0.225225225225225,666,"2017_2018"
171,150,0.225225225225225,666,"2017_2018"
173,150,0.224887556221889,667,"2017_2018"
175,150,0.224550898203593,668,"2017_2018"
177,150,0.22354694485842,671,"2017_2018"
179,150,0.223214285714286,672,"2017_2018"
181,150,0.222882615156018,673,"2017_2018"
183,150,0.222882615156018,673,"2017_2018"
185,150,0.222882615156018,673,"2017_2018"
187,150,0.222882615156018,673,"2017_2018"
189,150,0.222882615156018,673,"2017_2018"
191,150,0.222882615156018,673,"2017_2018"
193,150,0.222882615156018,673,"2017_2018"
195,150,0.222882615156018,673,"2017_2018"
197,150,0.222551928783383,674,"2017_2018"
199,150,0.222551928783383,674,"2017_2018"
201,150,0.222222222222222,675,"2017_2018"
203,150,0.222222222222222,675,"2017_2018"
205,150,0.222222222222222,675,"2017_2018"
207,150,0.222222222222222,675,"2017_2018"
209,150,0.222222222222222,675,"2017_2018"
1,3,0.2,15,"2019_2020"
3,10,0.227272727272727,44,"2019_2020"
5,15,0.258620689655172,58,"2019_2020"
7,19,0.240506329113924,79,"2019_2020"
9,23,0.24468085106383,94,"2019_2020"
11,29,0.239669421487603,121,"2019_2020"
13,34,0.24113475177305,141,"2019_2020"
15,41,0.253086419753086,162,"2019_2020"
17,42,0.23463687150838,179,"2019_2020"
19,51,0.245192307692308,208,"2019_2020"
21,55,0.235042735042735,234,"2019_2020"
23,58,0.232,250,"2019_2020"
25,62,0.225454545454545,275,"2019_2020"
27,63,0.216494845360825,291,"2019_2020"
29,68,0.220064724919094,309,"2019_2020"
31,72,0.214925373134328,335,"2019_2020"
33,73,0.210982658959538,346,"2019_2020"
35,76,0.209366391184573,363,"2019_2020"
37,80,0.211640211640212,378,"2019_2020"
39,81,0.205583756345178,394,"2019_2020"
41,84,0.203883495145631,412,"2019_2020"
43,89,0.206018518518519,432,"2019_2020"
45,90,0.201342281879195,447,"2019_2020"
47,94,0.205240174672489,458,"2019_2020"
49,98,0.207627118644068,472,"2019_2020"
51,100,0.207900207900208,481,"2019_2020"
53,101,0.204868154158215,493,"2019_2020"
55,101,0.201596806387226,501,"2019_2020"
57,104,0.202334630350195,514,"2019_2020"
59,106,0.200378071833648,529,"2019_2020"
61,110,0.200729927007299,548,"2019_2020"
63,113,0.2,565,"2019_2020"
65,114,0.197916666666667,576,"2019_2020"
67,114,0.195205479452055,584,"2019_2020"
69,115,0.192953020134228,596,"2019_2020"
71,115,0.190082644628099,605,"2019_2020"
73,116,0.189233278955954,613,"2019_2020"
75,116,0.187702265372168,618,"2019_2020"
77,119,0.189792663476874,627,"2019_2020"
