,TeamName,Starter_1,Starter_2,Starter_3,Starter_4,Starter_5,Starter_6,Starter_7,Starter_8,Starter_9,Starter_10,Starter_11,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Unused_1,Unused_2,Unused_3,Unused_4,Unused_5,Unused_6,Unused_7,Unused_8,Unused_9,Unused_10,Unused_11,Unused_12,Unused_13,Unused_14,Unused_15,Competition,Competition General,Date,Match
5,Qatar,1 Qasem Burhan,3 Mohammed Kasola,4 Anas Mubarak,7 Wesam Rizik,13 Ibrahim Majed,8 Mesaad Al-Hamad,15 Talal Al-Bloushi,10 Khalfan Ibrahim,19 Khalid Muftah,20 Yusef Ahmed Ali,23 Sebastián Soria,2 Hamid Ismaeil,11 Fábio César Montezine,16 Mohamed Razak,-,-,21 Rajab Hamza,22 Baba Malick N'Diaye,14 Ibrahim Al-Ghanim,9 Marcone,6 Adel Lamy,5 Younes Ali,12 Magid Mohamed Hassan,18 Mohammad Jeddo,17 Hasan Al-Haydos,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Jun 8, 2012",Qatar vs South Korea
5,South Korea,1 Sung-ryong Jung,14 Jeong-soo Lee,5 Tae-hwi Kwak,6 Ju-ho Park,2 Hyo-jin Choi,16 Sung-yueng Ki,4 Do-heon Kim,13 Ja-cheol Koo,7 Bo-kyung Kim,9 Keun-ho Lee,20 Dong-gook Lee,19 Tae-hee Nam,10 Dong-won Ji,18 Shin-wook Kim,-,-,21 Young-kwang Kim,23 Jin-hyeon Kim,22 Young-gwon Kim,3 Yong-hyung Cho,15 Beom-seok Oh,8 Jung-woo Kim,17 Jae-sung Kim,12 Ki-hun Yeom,11 Heung-min Son,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Jun 8, 2012",Qatar vs South Korea
6,South Korea,1 Sung-ryong Jung,14 Jeong-soo Lee,5 Tae-hwi Kwak,6 Ju-ho Park,15 Beom-seok Oh,16 Sung-yueng Ki,8 Jung-woo Kim,7 Bo-kyung Kim,12 Ki-hun Yeom,9 Keun-ho Lee,20 Dong-gook Lee,13 Ja-cheol Koo,11 Heung-min Son,10 Dong-won Ji,-,-,21 Young-kwang Kim,23 Jin-hyeon Kim,3 Yong-hyung Cho,22 Byeong-guk Jo,18 Chi-woo Kim,2 Hyo-jin Choi,4 Do-heon Kim,17 Jae-sung Kim,19 Tae-hee Nam,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Jun 12, 2012",South Korea vs Lebanon
6,Lebanon,1 Ziad Al-Samad,3 Youssef Mohamad,16 Bilal Najarin,18 Walid Ismael,5 Ramez Dyoub,12 Hussein Dakik,6 Mouhamad Chamass,10 Abbas Atwi,7 Hassan Maatouk,11 Ahmad Zreik,17 Hassan El Mohamad,14 Mohamad Haidar,9 Zakaria Charara,13 Akram Moghrabi,-,-,21 Mohamad Hammoud,23 Abbas Hassan,2 Ali Al-Saadi,4 Mootaz Jounaidi,19 Ali Hamam,20 Nader Matar,8 Hassan Chaito,22 Mohamad Ghaddar,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Jun 12, 2012",South Korea vs Lebanon
7,Iran,1 Mehdi Rahmati,4 Seyed Jalal Hosseini,5 Hadi Aghili,23 Mehrdad Pooladi,13 Hossein Mahini,6 Javad Nekounam,14 Andranik Teymourian,8 Ali Karimi,3 Ehsan Hajsafi,2 Khosro Heydari,10 Karim Ansarifard,26 Maziar Zare,9 Mohammad Reza Khalatbari,21 Ashkan Dejagah,-,-,12 Shahab Gordan,22 Alireza Haghighi,30 Mohsen Forouzan,16 Pejman Montazeri,18 Pejman Nouri,15 Ghasem Dehnavi,17 Mohammad Ebrahimi,11 Gholamreza Rezaei,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Jun 12, 2012",Iran vs Qatar
7,Qatar,1 Qasem Burhan,18 Ibrahim Al-Ghanim,14 Marcone,13 Ibrahim Majed,3 Mohammed Kasola,4 Younes Ali,15 Talal Al-Bloushi,10 Khalfan Ibrahim,7 Adel Lamy,11 Fábio César Montezine,23 Sebastián Soria,5 Majdi Siddiq,12 Yusef Ahmed Ali,-,-,-,1 Baba Malick N'Diaye,19 Khalid Muftah,2 Hamid Ismaeil,8 Mesaad Al-Hamad,11 Khalid Ahmad Al-Ansari,18 Abdulaziz Hatem,18 Mohammad Jeddo,2 Hasan Al-Haydos,16 Mohamed Razak,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Jun 12, 2012",Iran vs Qatar
8,Uzbekistan,- Ignatiy Nesterov,- Anzur Ismoilov,- Artyom Filiposyan,- Akmal Shorakhmedov,- Fozil Musaev,- Timur Kapadze,- Server Djeparov,- Jasur Khasanov,- Sanzhar Tursunov,- Shokhrukh Gadoev,- Ulugbek Bakaev,- Vagiz Galiulin,- Aleksandr Geynrikh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Sep 11, 2012",Uzbekistan vs South Korea
8,South Korea,- Sung-ryong Jung,- Jeong-soo Lee,- Tae-hwi Kwak,- Ju-ho Park,- Yo-han Go,- Sung-yueng Ki,- Dae-sung Ha,- Bo-kyung Kim,- Keun-ho Lee,- Chung-yong Lee,- Dong-gook Lee,- Bit-garam Yoon,- Shin-wook Kim,- Chu-young Park,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Sep 11, 2012",Uzbekistan vs South Korea
9,Lebanon,23 Abbas Hassan,3 Youssef Mohamad,16 Bilal Najarin,18 Walid Ismael,19 Ali Hamam,15 Haytham Faour,20 Roda Antar,10 Abbas Atwi,8 Hassan Chaito,9 Mohamad Haidar,7 Hassan Maatouk,6 Mouhamad Chamass,14 Amer Khan,17 Mahmoud El-Ali,-,-,1 Ziad Al-Samad,2 Ali Al-Saadi,12 Hussein Dakik,5 Ramez Dyoub,13 Akram Moghrabi,-,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Sep 11, 2012",Lebanon vs Iran
9,Iran,1 Mehdi Rahmati,- Hadi Aghili,- Pejman Montazeri,- Pejman Nouri,- Hossein Mahini,- Javad Nekounam,- Mohammad Nouri,- Mohammad Reza Khalatbari,- Ali Karimi,- Masoud Shojaei,- Karim Ansarifard,- Ehsan Hajsafi,- Mohammad Ghazi,- Reza Ghoochannejhad,-,-,- Rahman Ahmadi,- Alireza Haghighi,- Seyed Jalal Hosseini,- Ali Hamoudi,- Maziar Zare,- Ghasem Hadadifar,- Omid Nazari,- Mohammad Ebrahimi,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Sep 11, 2012",Lebanon vs Iran
