,TeamName,Starter_1,Starter_2,Starter_3,Starter_4,Starter_5,Starter_6,Starter_7,Starter_8,Starter_9,Starter_10,Starter_11,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Unused_1,Unused_2,Unused_3,Unused_4,Unused_5,Unused_6,Unused_7,Unused_8,Unused_9,Unused_10,Unused_11,Unused_12,Unused_13,Unused_14,Unused_15,Competition,Competition General,Date,Match
134,Myanmar,18 Kyaw Zin Htet,- Khin Maung Lwin,13 Zaw Zaw Oo,3 Yan Aung Win,6 Zaw Min Tun,10 David Htan,12 Myo Min Tun,11 Pai Soe,7 Yan Aung Kyaw,17 Mai Aih Naing,22 Yan Paing,14 Kyaw Zayar Win,8 Kyi Lin,- Soe Min Oo,-,-,- Kyaw Thu Hein,1 Pyae Phyo Aung,2 Aung Hein Kyaw,5 Shwe Hlaing Win,-,-,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Sun Jul 3, 2011",Myanmar vs Mongolia
134,Mongolia,1 Ganbayar Tseveensuren,2 Ochbayar Olzvoi,8 Enkhjargal Tserenjav,15 Erdenebayar Baasangyn,11 Tsedenbal Norjmoogiin,5 Garidmagnai Bayasgalan,6 Amgalan Chinzorig,7 Munkh-Erdene Tuguldur,10 Tsend-Ayush Khurelbaatar,9 Pagamsuren Altantulga,12 Murun Altankhuyag,4 Davaa-Ochir Gongorjav,17 Munkh-Od Ochkhuu,-,-,-,22 Archit-Erdene Dashnyam,21 Ariunbold Batsaikhan,14 Mukhbaatar Tersaikhan,24 Munkhbaatar Altankhuu,16 Sukhbaatar Bayarzaya,3 Lümbengarav Donorovyn,19 Tumenjargal Tsedenbal,20 Tugsbayar Ganbaatar,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Sun Jul 3, 2011",Myanmar vs Mongolia
135,Palestine,- Abdullah Al-Sidawi,- Omar Jarun,5 Abdelatif Al-Bahdari,- Roberto Bishara,18 Hussam Abu Saleh,- Suleiman Obeid,- Atif Abu Bilal,12 Hussam Wadi,20 Khader Yousef,- Ismail Al-Amour,- Murad Alyan,23 Murad Ismail,7 Ashraf Nu'man,- Eyad Abu Gharqud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Sun Jul 3, 2011",Palestine vs Afghanistan
135,Afghanistan,- Hamidullah Yousufzai,- Faisal Sakhizada,- Djelaludin Sharityar,- Muqadar Qazizadah,- Haroon Amiri,- Mustafa Hadid,- Masihullah Barakzai,- Mohammad Mashriqi,- Israfeel Kohistani,- Sidiq Walizadah,- Balal Arezou,- Ghulam Hazrat Niazi,- Maqsood Hashemi,- Waheed Nadeem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Sun Jul 3, 2011",Palestine vs Afghanistan
136,Laos,18 Chintana Souksavath,15 Souliya Siphasay,2 Saynakhonevieng Phommapanya,4 Ketsada Souksavath,3 Moukda Souksavath,7 Soukaphone Vongchiengkham,5 Konekham Inthammavong,16 Manolom Phomsouvanh,11 Keoviengpheth Lithideth,8 Lamnao Singto,6 Khampheng Sayavutthi,12 Phatthana Syvilay,10 Kanlaya Sysomvang,9 Visay Phaphouvanin,-,-,1 Sourasay Keosouvandeng,23 Soukthavy Soundala,17 Kanya Kounvongsa,19 Senlati Vongsouriyasack,22 Sousadakone Liepvisay,20 Khamphoumy Hanevilay,13 Pangnasith Phettikone,14 Ole Bou Sa Ath,21 Lembo Saysana,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Sun Jul 3, 2011",Laos vs Cambodia
136,Cambodia,18 Ouk Mich,20 Rady Pheak,21 Rithy Sok,4 Tieng Tiny,5 Pancharong Touch,16 Sothearath Chhun,19 Samel Nasa,23 Sun Sopanha,10 Sokumpheak Kouch,12 Chhin Chhoeun,11 Khoun Laboravy,3 Raksmey Lay,22 Dina Tit,7 Udom Prak Mony,-,-,1 Vichet Um,17 Tum Saray,2 In Vichka,-,-,-,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Sun Jul 3, 2011",Laos vs Cambodia
137,C. Taipei,- Po-Cheng Lin,- Hsien-Tang Tsai,- Yung-Hsien Chang,- Cheng-Yi Lin,- Yu-Lin Chen,- Xavier Chen,- Che-Yuan Chan,- Po-Liang Chen,- Han Chang,- Chih-An Lo,- Chih-En Lo,- Sheng-Hsin Wei,- Pai-Ho Wu,- Chun-Ching Wu,-,-,- Wei-Chih Pan,- Chao-Hsun Yang,- Wu-Yeh Chang,- Chi-Chao Liu,- Chih-Sheng Wang,- Yi-Wei Chen,- Kuei-Pin Lin,- Po-Hao Chen,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Sun Jul 3, 2011",C. Taipei vs Malaysia
137,Malaysia,- Sharbinee Allawee,- Fadhli Shas,- Aidil Zafuan,- Asraruddin Putra Omar,- S. Kunanlan,- Amar Rohidan,- Safiq Rahim,- Amirul Hadi Zainal,- Mahali Jasuli,- Abdul Hadi Yahya,- Norshahrul Idlan,- Muslim Ahmad,- S. Chanthuru Suppiah,- Ahmad Fakri Saarani,-,-,- Mohd Nasril Mat Nourdin,- Khairul Fahmi,- Helmi Remeli,- K.Gurusamy,- Mohd Shakir,- Baddrol Bakhtiar,- Ashaari Samsuddin,- Safee Sali,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Sun Jul 3, 2011",C. Taipei vs Malaysia
138,Macau,- Man-Fai Ho,- Ka-Pou Lam,- Pak-Kin Lao,- Geofredo Cheung,- Ka-Chon Lam,- Chi-Man Che,- Herculano Soares,- Cheng-Ieong Paulo Cheang,- Chong-In Leong,- Man-Hou Ho,- Niki Torrão,- Man-Hei Chan,- Siu-Tin Kwok,- Ka-Hang Leong,-,-,- Heng-Wa Tam,- Chi-Hang Fong,- Chon-Kit Leong,- U-Hin Cheang,- Pak-Chun Chan,- Cheng-Hou Kong,- Wai-Hong Loi,- Chon-In Leung,- Ka-Un Sio,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Sun Jul 3, 2011",Macau vs Vietnam
138,Vietnam,- Manh Dung Nguyen,- Viet Cuong Doan,- Quang Thanh Huynh,- Dinh Luat Truong,- Thành Long Giang Nguyen,- Duy Nam Vo,- Minh Chau Nguyen,- Quang Hai Nguyen,- Thanh Luong Pham,- Van Quyet Nguyen,- Cong Vinh Le,- Trong Hoang Nguyen,- Ngoc Thanh Tuan Nguyen,- Ngoc Anh Nguyen,-,-,- Thanh Binh Nguyen,- Anh Tuan Nguyen,- Hoang Quang Vo,- Dinh Dong Tran,- Van Tai Em Phan,- Dinh Tung Hoang,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Sun Jul 3, 2011",Macau vs Vietnam
139,Pakistan,1 Jaffar Khan,3 Manzoor Ahmed,4 Samar Ishaq,13 Muhammad Ahmad,2 Faisal Iqbal,6 Atif Bashir,11 Hassnain Abbas,8 Adnan Ahmed,8 Muhammad Rasool,10 Arif Mehmood,7 Muhammad Qasim,19 Muhammad Ikram,20 Ahmed Akbar Khan,16 Kaleemullah Khan,-,-,18 Jahangir Khan,21 Muhammad Umer,17 Alamgir Khan,12 Kamran Khan,15 Syed Arif Hussain,3 Mehmood Khan,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Sun Jul 3, 2011",Pakistan vs Bangladesh
139,Bangladesh,1 Biplob Bhattacharjee,5 Ariful Islam,4 Karim Razaul,19 Ashraf Linkon,2 Nasirul Islam,3 Mamun Miah,11 Shakil Ahmed,15 Monaem Raju Khan,8 Mamunul Mamun,9 Mithun Chowdhury,10 Zahid Ameli,6 Atiqur Meshu,12 Abdul Komol,7 Zahid Hossain,-,-,22 Mamun Khan,23 Mohammad Nehal,13 Yousuf Ali Khan,21 Yeamin Munna,17 Mohammad Yusuf,16 Shakhawat Rony,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Sun Jul 3, 2011",Pakistan vs Bangladesh
140,Malaysia,- Sharbinee Allawee,- Fadhli Shas,- Aidil Zafuan,- Asraruddin Putra Omar,- Helmi Remeli,- S. Kunanlan,- Amar Rohidan,- Safiq Rahim,- Baddrol Bakhtiar,- Amirul Hadi Zainal,- Safee Sali,- Mohd Shakir,- Ahmad Fakri Saarani,- Abdul Hadi Yahya,-,-,- Mohd Nasril Mat Nourdin,- Khairul Fahmi,- Muslim Ahmad,- S. Chanthuru Suppiah,- K.Gurusamy,- Ashaari Samsuddin,- Mahali Jasuli,- Norshahrul Idlan,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Wed Jun 29, 2011",Malaysia vs C. Taipei
140,C. Taipei,- Po-Cheng Lin,- Hsien-Tang Tsai,- Yung-Hsien Chang,- Cheng-Yi Lin,- Yu-Lin Chen,- Yi-Wei Chen,- Che-Yuan Chan,- Po-Liang Chen,- Han Chang,- Chih-An Lo,- Chih-En Lo,- Pai-Ho Wu,- Chun-Ching Wu,- Po-Hao Chen,-,-,- Wei-Chih Pan,- Sheng-Hsin Wei,- Chao-Hsun Yang,- Wu-Yeh Chang,- Chi-Chao Liu,- Kuei-Pin Lin,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Wed Jun 29, 2011",Malaysia vs C. Taipei
141,Cambodia,- Ouk Mich,- Rithy Sok,- Rady Pheak,- Tieng Tiny,- Pancharong Touch,- Sun Sopanha,- Tum Saray,- Sothearath Chhun,- Sokumpheak Kouch,- Chhin Chhoeun,- Khoun Laboravy,- Raksmey Lay,- Samel Nasa,- Soksana Phuong,-,-,- Vichet Um,- Say Piseth,- Phuong Narong,- Chanvanno Surng,- Veasna Soun,- Dina Tit,- Udom Prak Mony,- In Vichka,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Wed Jun 29, 2011",Cambodia vs Laos
141,Laos,- Chintana Souksavath,- Souliya Siphasay,- Kanya Kounvongsa,- Saynakhonevieng Phommapanya,- Ketsada Souksavath,- Moukda Souksavath,- Soukaphone Vongchiengkham,- Kanlaya Sysomvang,- Manolom Phomsouvanh,- Keoviengpheth Lithideth,- Khampheng Sayavutthi,- Pangnasith Phettikone,- Phatthana Syvilay,- Lamnao Singto,-,-,- Sourasay Keosouvandeng,- Soukthavy Soundala,- Senlati Vongsouriyasack,- Sousadakone Liepvisay,- Khamphoumy Hanevilay,- Ole Bou Sa Ath,- Lembo Saysana,- Visay Phaphouvanin,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Wed Jun 29, 2011",Cambodia vs Laos
142,Afghanistan,- Hamidullah Yousufzai,- Faisal Sakhizada,- Djelaludin Sharityar,- Haroon Amiri,- Muqadar Qazizadah,- Mohammad Mashriqi,- Harez Habib,- Israfeel Kohistani,- Sidiq Walizadah,- Zubayr Amiri,- Balal Arezou,- Mustafa Hadid,- Masihullah Barakzai,- Hashmatullah Barakzai,-,-,- Mansur Faqiryar,- Maqsood Hashemi,-,-,-,-,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Wed Jun 29, 2011",Afghanistan vs Palestine
142,Palestine,16 Mohammed Eshbair,- Omar Jarun,- Roberto Bishara,33 Khaled Mahdi,18 Hussam Abu Saleh,- Ahmed Kashkash,- Suleiman Obeid,- Atif Abu Bilal,12 Hussam Wadi,20 Khader Yousef,- Murad Alyan,23 Murad Ismail,- Ismail Al-Amour,7 Ashraf Nu'man,-,-,- Fahed Al-Fakhuri,- Abdullah Al-Sidawi,- Hisham Salhi,10 Fahed Attal,-,-,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Wed Jun 29, 2011",Afghanistan vs Palestine
143,Nepal,16 Kiran Chemjong,2 Rabin Shrestha,19 Sagar Thapa,3 Biraj Maharjan,13 Sandip Rai,15 Shiva Shrestha,8 Nirajan Khadka,6 Rohit Chand,10 Anil Gurung,11 Ju Manu Rai,21 Bharat Khawas,5 Bikash Singh Chhetri,7 Bijay Gurung,17 Bhola Silwal,-,-,1 Bikash Malla,20 Ritesh Thapa,23 Bishal Shrestha,4 Deepak Bhusal,9 Anil Ojha,14 Yogesh Gurung,22 Jagajeet Shrestha,18 Ganesh Lawati,12 Sujal Shrestha,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Wed Jun 29, 2011",Nepal vs Timor-Leste
143,Timor-Leste,- Ady,- Nazario Do Carmo,- José Pereira,- Raul Isac,- Anggisu Da Barbosa,- Quito Carmo,- Carlos Salvador,- Eusebio de Almeida,- Eric,- João Pereira,- Emilio da Silva,- Entil,- Luzinho,- Bartolomeu Verdial,-,-,- Leonel Araujo,- Afonso Carson,- Moises De Jesus,- Raimundo Sarmento,- Adelino Oliveira,-,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Wed Jun 29, 2011",Nepal vs Timor-Leste
144,Bangladesh,1 Biplob Bhattacharjee,5 Ariful Islam,4 Karim Razaul,19 Ashraf Linkon,2 Nasirul Islam,11 Shakil Ahmed,6 Atiqur Meshu,15 Monaem Raju Khan,8 Mamunul Mamun,7 Zahid Hossain,10 Zahid Ameli,3 Mamun Miah,12 Abdul Komol,9 Mithun Chowdhury,-,-,22 Mamun Khan,23 Mohammad Nehal,13 Yousuf Ali Khan,17 Mohammad Yusuf,18 Maruf Ahamed,16 Shakhawat Rony,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Wed Jun 29, 2011",Bangladesh vs Pakistan
144,Pakistan,1 Jaffar Khan,3 Manzoor Ahmed,4 Samar Ishaq,5 Zesh Rehman,2 Faisal Iqbal,6 Atif Bashir,11 Hassnain Abbas,8 Adnan Ahmed,9 Muhammad Rasool,10 Arif Mehmood,16 Kaleemullah Khan,19 Muhammad Ikram,20 Ahmed Akbar Khan,7 Muhammad Qasim,-,-,18 Jahangir Khan,13 Muhammad Ahmad,17 Alamgir Khan,12 Kamran Khan,15 Syed Arif Hussain,14 Mehmood Khan,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Wed Jun 29, 2011",Bangladesh vs Pakistan
145,Sri Lanka,- Manjula Sampath,- Rohana Dinesh,- Sumeda Dilki Kumar,- Bandara Warakagoda,- Chathura Gunrathna,- Lahiru Tharaka Silva,- Fazul Rahuman,- Sanka Danushka,- Mohammed Shafraz,- Pasqual Handi,- Mohamed Izzadeen,- Kolitha Lankeshara,- Mohamed Zain,- Anton Nimal,-,-,- Sampath Buddika,- Sujan Perera,- Chamira Krishantha,- Nagur Meera,-,-,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Wed Jun 29, 2011",Sri Lanka vs Philippines
145,Philippines,- Neil Etheridge,- Aly Borromeo,- Anton del Rosario,- Rob Gier,- Manuel Ott,- Paul Mulders,- Stephan Schröck,- Chieffy Caligdong,- James Younghusband,- Phil Younghusband,- Ángel Guirado,- Ian Araneta,- Nate Burkey,-,-,-,- Eduard Sacapaño,- Christopher Camcam,- Ray Jónsson,- Patrick Hinrichsen,- Jason Sabio,- Roel Gener,- Ricardo Becite III,- Nestorio Margarse,- Misagh Bahadoran,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Wed Jun 29, 2011",Sri Lanka vs Philippines
146,Vietnam,- Manh Dung Nguyen,- Viet Cuong Doan,- Quang Thanh Huynh,- Anh Tuan Nguyen,- Thành Long Giang Nguyen,- Van Tai Em Phan,- Trong Hoang Nguyen,- Quang Hai Nguyen,- Thanh Luong Pham,- Van Quyet Nguyen,- Cong Vinh Le,- Minh Chau Nguyen,- Ngoc Thanh Tuan Nguyen,- Dinh Tung Hoang,-,-,- Thanh Binh Nguyen,- Dinh Luat Truong,- Hoang Quang Vo,- Dinh Dong Tran,- Duy Nam Vo,- Thanh Hung Phan,- Ngoc Anh Nguyen,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Wed Jun 29, 2011",Vietnam vs Macau
146,Macau,- Chon-Kit Leong,- Pak-Kin Lao,- Vernon Wong,- Geofredo Cheung,- Cheng-Hou Kong,- Siu-Tin Kwok,- Chi-Man Che,- Herculano Soares,- Cheng-Ieong Paulo Cheang,- Man-Hou Ho,- Niki Torrão,- Ka-Chon Lam,- Ka-Hang Leong,-,-,-,- Man-Fai Ho,- Man-Hei Chan,- Wai-Hong Loi,- Chon-In Leung,- Chong-In Leong,-,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Wed Jun 29, 2011",Vietnam vs Macau
147,Mongolia,- Ganbayar Tseveensuren,- Enkhjargal Tserenjav,- Ochbayar Olzvoi,- Erdenebayar Baasangyn,- Tsedenbal Norjmoogiin,- Garidmagnai Bayasgalan,- Amgalan Chinzorig,- Tsend-Ayush Khurelbaatar,- Pagamsuren Altantulga,- Murun Altankhuyag,- Tugsbayar Ganbaatar,- Munkhbaatar Altankhuu,- Munkh-Erdene Tuguldur,- Tumenjargal Tsedenbal,-,-,- Archit-Erdene Dashnyam,- Ariunbold Batsaikhan,- Mukhbaatar Tersaikhan,- Sukhbaatar Bayarzaya,- Munkh-Od Ochkhuu,- Davaa-Ochir Gongorjav,- Lümbengarav Donorovyn,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Wed Jun 29, 2011",Mongolia vs Myanmar
147,Myanmar,- Kyaw Zin Htet,- Zaw Zaw Oo,- Yan Aung Win,- Zaw Min Tun,- David Htan,- Myo Min Tun,- Pai Soe,- Shwe Hlaing Win,- Yan Aung Kyaw,- Min Ko Ko,- Kyaw Ko Ko,- Kyi Lin,- Mai Aih Naing,-,-,-,- Pyae Phyo Aung,- Aung Hein Kyaw,- Thau Htet Paing,- Zaw Lin,- Naing Soe Wai,-,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Wed Jun 29, 2011",Mongolia vs Myanmar
148,Malaysia,22 Khairul Fahmi,3 Fadhli Shas,2 Muslim Ahmad,15 Junior Eldstal,21 Zubir Azmi,16 S. Kunanlan,8 Safiq Rahim,19 Joseph Kalang Tie,13 Indra Putra Mahayuddin,17 Amri Yahyah,10 Safee Sali,9 Nazrin Nawi,14 Azammuddin Akil,7 Afiq Azmi,-,-,1 Farizal Marlias,23 Khairulazhan Khalid,5 Afif Amiruddin,6 Yong Kuong Yong,11 Syamim Yahya,12 Nasir Basharudin,20 Gopinathan,4 Mahali Jasuli,18 Hazwan Bakri,-,-,-,-,-,-,"World Cup Qualifiers, 2018, Asia","World Cup Qualifiers, Asia","Jun 11, 2015",Malaysia vs Timor-Leste
148,Timor-Leste,12 Ramos Maxanches,15 Agostinho Araujo da Silva,6 Anggisu Da Barbosa,3 Paulo Martins,5 Ramon Saro,13 Diogo Rangel,23 José Fonseca,8 Juninho,10 Rodriguinho,9 Jairo Neto,19 Patrick Fabiano,11 Nataniel Reis,7 Eusebio de Almeida,-,-,-,1 Fagio,17 Nidio Neto,4 Filipe Oliveira,18 Candido Oliveira,16 Paulo Helber,21 Nilo Soares,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2018, Asia","World Cup Qualifiers, Asia","Jun 11, 2015",Malaysia vs Timor-Leste
149,Saudi Arabia,1 Khaled Shrahili,18 Osama Hawsawi,22 Omar Hawsawi,20 Abdullah Al-Zoari,14 Hassan Muath,12 Shaye Sharahili,2 Abdulmalek Al-Khaibri,7 Taiseer Al-Jassam,3 Nawaf Al-Abed,8 Yahya Al-Shehri,10 Mohammed Al-Sahlawi,5 Hussain Al-Moqahwi,4 Abdulfattah Asiri,-,-,-,13 Ahmed Al-Kassar,21 Moslem Al-Freej,17 Mohamed Eid Al-Bishi,19 Mohammed Jahfali,11 Awadh Faraj,15 Yasser Al-Shahrani,16 Khalid Al-Ghamdi,23 Jamal Bajandooh,6 Abdulrahman Al-Ghamdi,11 Muhannad Assiri,-,-,-,-,-,"World Cup Qualifiers, 2018, Asia","World Cup Qualifiers, Asia","Jun 11, 2015",Saudi Arabia vs Palestine
149,Palestine,1 Tawfiq Ali,14 Abdallah Jaber,4 Ahmed Harbi,7 Mus'ab Al-Batat,13 Jaka Ihbeisheh,5 Tamer Salah,17 Pablo Tamburrini,23 Mohammed Darwish,11 Ahmad Maher Wridat,20 Khader Yousef,12 Mahmoud Eid,10 Sameh Maraaba,9 Tamer Seyam,19 Matías Jadue,-,-,16 Ghanem Mahajna,22 Khaled Azam,6 Mahmoud Dawoud,21 Mohammed Abukhamis,8 Thaer Jboor,18 Mahmoud Shaikhqasem,15 Qasim Mahmeid,2 Mahmoud Abu Warda,-,-,-,-,-,-,-,"World Cup Qualifiers, 2018, Asia","World Cup Qualifiers, Asia","Jun 11, 2015",Saudi Arabia vs Palestine
150,Timor-Leste,12 Ramos Maxanches,15 Agostinho Araujo da Silva,6 Anggisu Da Barbosa,3 Paulo Martins,5 Ramon Saro,13 Diogo Rangel,23 José Fonseca,8 Juninho,10 Rodriguinho,9 Jairo Neto,19 Patrick Fabiano,11 Nataniel Reis,7 Eusebio de Almeida,-,-,-,1 Fagio,17 Nidio Neto,4 Filipe Oliveira,18 Candido Oliveira,16 Paulo Helber,21 Nilo Soares,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2018, Asia","World Cup Qualifiers, Asia","Jun 16, 2015",Timor-Leste vs U. A. E.
150,U. A. E.,12 Mohamed Yousef,6 Mohanad Salem,3 Walid Abbas,23 Mohamed Ahmad,14 Abdelaziz Sanqour,5 Amer Abdulrahman,13 Khamis Esmaeel,10 Omar Abdulrahman,15 Ismail Al-Hammadi,7 Ali Mabkhout,11 Ahmed Khalil,16 Mohamed Abdulrahman,2 Amer Bazuhair,20 Saeed Al Kathiri,-,-,22 Adel Al-Hosani,8 Mohammed Ali Ayed,19 Ismail Ahmed,18 Mohammed Fayez,9 Abdulaziz Hussain,17 Majed Hassan,4 Habib Al Fardan,21 Hamad Salem,-,-,-,-,-,-,-,"World Cup Qualifiers, 2018, Asia","World Cup Qualifiers, Asia","Jun 16, 2015",Timor-Leste vs U. A. E.
151,Malaysia,1 Farizal Marlias,3 Fadhli Shas,2 Muslim Ahmad,21 Zubir Azmi,16 S. Kunanlan,11 Syamim Yahya,12 Nasir Basharudin,8 Safiq Rahim,17 Amri Yahyah,7 Afiq Azmi,18 Hazwan Bakri,13 Indra Putra Mahayuddin,4 Mahali Jasuli,10 Safee Sali,-,-,22 Khairul Fahmi,23 Khairulazhan Khalid,5 Afif Amiruddin,6 Yong Kuong Yong,15 Junior Eldstal,19 Joseph Kalang Tie,20 Gopinathan,9 Nazrin Nawi,14 Azammuddin Akil,-,-,-,-,-,-,"World Cup Qualifiers, 2018, Asia","World Cup Qualifiers, Asia","Jun 16, 2015",Malaysia vs Palestine
151,Palestine,1 Tawfiq Ali,5 Tamer Salah,14 Abdallah Jaber,4 Ahmed Harbi,7 Mus'ab Al-Batat,17 Pablo Tamburrini,23 Mohammed Darwish,10 Sameh Maraaba,9 Tamer Seyam,12 Mahmoud Eid,19 Matías Jadue,21 Mohammed Abukhamis,20 Khader Yousef,11 Ahmad Maher Wridat,-,-,16 Ghanem Mahajna,22 Khaled Azam,6 Mahmoud Dawoud,8 Thaer Jboor,13 Jaka Ihbeisheh,18 Mahmoud Shaikhqasem,15 Qasim Mahmeid,2 Mahmoud Abu Warda,-,-,-,-,-,-,-,"World Cup Qualifiers, 2018, Asia","World Cup Qualifiers, Asia","Jun 16, 2015",Malaysia vs Palestine
152,U. A. E.,1 Ali Khaseif,6 Mohanad Salem,3 Walid Abbas,23 Mohamed Ahmad,18 Mohamed Fawzi,8 Majed Hassan,4 Habib Al Fardan,5 Amer Abdulrahman,10 Omar Abdulrahman,7 Ali Mabkhout,11 Ahmed Khalil,19 Ismail Ahmed,2 Mohamed Al-Akberi,15 Ismail Al-Hammadi,-,-,9 Mohsin Al Hashmi,12 Khalid Eisa,22 Ahmad Shambih,17 Mohammed Ali Ayed,16 Mohamed Abdulrahman,20 Hassan Ibrahim,13 Khamis Esmaeel,14 Haboosh Saleh,-,-,-,-,-,-,-,"World Cup Qualifiers, 2018, Asia","World Cup Qualifiers, Asia","Sep 3, 2015",U. A. E. vs Malaysia
152,Malaysia,22 Khairul Fahmi,2 Afif Amiruddin,6 Amirizwan Taj,15 Junior Eldstal,21 Zubir Azmi,16 S. Kunanlan,9 Nasir Basharudin,8 Safiq Rahim,19 Wan Zack Haikal,17 Amri Yahyah,12 Hazwan Bakri,1 Zamir Selamat,23 Khairulazhan Khalid,13 Razman Roslan,-,-,3 Yong Kuong Yong,5 Nazirul Naim,4 Matthew Davies,11 Syamim Yahya,7 Baddrol Bakhtiar,18 Joseph Kalang Tie,10 Nor Farhan Muhammad,14 Azammuddin Akil,20 S. Kumaahran,-,-,-,-,-,-,"World Cup Qualifiers, 2018, Asia","World Cup Qualifiers, Asia","Sep 3, 2015",U. A. E. vs Malaysia
153,Saudi Arabia,1 Khaled Shrahili,3 Osama Hawsawi,14 Yassen Hamza,4 Abdullah Al-Zoari,13 Yasser Al-Shahrani,11 Abdulmalek Al-Khaibri,7 Salman Al-Faraj,8 Yahya Al-Shehri,15 Salman Al-Muwashar,17 Taiseer Al-Jassam,10 Mohammed Al-Sahlawi,6 Abdulaziz Al-Jebreen,19 Fahad Al-Muwallad,20 Mukhtar Fallatah,-,-,21 Mohammed Al-Owais,22 Yasser Al-Mosailem,4 Mohamed Eid Al-Bishi,2 Khalid Al-Ghamdi,12 Hassan Muath,9 Naif Ahmed Taib Hazazi,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2018, Asia","World Cup Qualifiers, Asia","Sep 3, 2015",Saudi Arabia vs Timor-Leste
153,Timor-Leste,12 Ramos Maxanches,15 Agostinho Araujo da Silva,5 Ramon Saro,4 Filipe Oliveira,2 Sabas,14 Quito Carmo,23 José Fonseca,8 Juninho,6 Anggisu Da Barbosa,19 Patrick Fabiano,10 Rodriguinho,1 Julião Monteiro,11 Nataniel Reis,22 Felipe Bertoldo,-,-,17 Nidio Neto,16 Carlos Mateus,21 Nilo Soares,7 Eusebio de Almeida,-,-,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2018, Asia","World Cup Qualifiers, Asia","Sep 3, 2015",Saudi Arabia vs Timor-Leste
154,Malaysia,22 Khairul Fahmi,13 Razman Roslan,27 Fadhli Shas,- Junior Eldstal,5 Nazirul Naim,- S. Kunanlan,4 Matthew Davies,8 Safiq Rahim,7 Baddrol Bakhtiar,17 Azammuddin Akil,17 Amri Yahyah,9 Ahmad Fakri Saarani,25 Wan Zack Haikal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2018, Asia","World Cup Qualifiers, Asia","Sep 8, 2015",Malaysia vs Saudi Arabia
