,TeamName,Starter_1,Starter_2,Starter_3,Starter_4,Starter_5,Starter_6,Starter_7,Starter_8,Starter_9,Starter_10,Starter_11,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Unused_1,Unused_2,Unused_3,Unused_4,Unused_5,Unused_6,Unused_7,Unused_8,Unused_9,Unused_10,Unused_11,Unused_12,Unused_13,Unused_14,Unused_15,Competition,Date,Match
17,Argentina U20,1 Federico Gomes,6 Valentín Gómez,2 Lautaro Di Lollo,3 Valentín Barco,4 Agustín Giay,8 Máximo Perrone,14 Mateo Tanlongo,10 Valentín Carboni,18 Brian Aguirre,11 Matías Soulé,9 Alejo Véliz,5 Federico Redondo,20 Ignacio Miramón,19 Gino Infantino,16 Luka Romero,21 Ignacio Maestro Puch,17 Nicolás Cláa,12 Lucas Lavagnino,13 Tomás Avilés,15 Román Vega,7 Juan Carlos Gauto,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 20, 2023",Argentina U20 vs Uzbekistan U20
17,Uzbekistan U20,21 Otabek Boymurodov,15 Diyor Ortikboev,6 Jakhongir Urozov,3 Abdukodir Khusanov,8 Bekhruz Askarov,11 Sherzod Esanov,13 Zafarmurod Abdirakhmatov,20 Makhmud Makhamadzhonov,10 Umarali Rakhmonaliev,14 Abbosbek Fayzullaev,7 Pulatkhuzha Kholdorkhonov,17 Nodir Abdurazzakov,23 Rustam Turdimuradov,19 Shakhzod Akromov,-,-,1 Edem Nemanov,12 Asror Kenzhaev,4 Abubakir Ashurov,18 Saidafzalkhon Akhrorov,2 Izzatillo Pulatov,9 Shakhzod Nematzhonov,16 Shakhzod Rakhmatullaev,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 20, 2023",Argentina U20 vs Uzbekistan U20
18,Uzbekistan U20,21 Otabek Boymurodov,15 Diyor Ortikboev,6 Jakhongir Urozov,3 Abdukodir Khusanov,10 Umarali Rakhmonaliev,8 Bekhruz Askarov,13 Zafarmurod Abdirakhmatov,20 Makhmud Makhamadzhonov,14 Abbosbek Fayzullaev,17 Nodir Abdurazzakov,7 Pulatkhuzha Kholdorkhonov,18 Saidafzalkhon Akhrorov,9 Shakhzod Nematzhonov,11 Sherzod Esanov,23 Rustam Turdimuradov,19 Shakhzod Akromov,1 Edem Nemanov,12 Asror Kenzhaev,4 Abubakir Ashurov,2 Izzatillo Pulatov,16 Shakhzod Rakhmatullaev,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 23, 2023",Uzbekistan U20 vs New Zealand U20
18,New Zealand U20,1 Kees Sims,4 Isaac Hughes,5 Finn Surman,20 Lukas Kelly-Heald,12 Everton O'Leary,16 Dan McKay,6 Fin Conchie,10 Jay Herdman,11 Norman Garbett,18 Ben Wallace,19 Kian Donkers,3 Adam Supyk,2 Jackson Jarvie,8 Jackson Manuel,17 Oliver Fay,9 Oliver Colloty,13 Henry Gray,21 Alby Kelly-Heald,14 Finn Linder,15 Aaryan Raj,7 Noah Karunaratne,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 23, 2023",Uzbekistan U20 vs New Zealand U20
19,Argentina U20,1 Federico Gomes,6 Valentín Gómez,13 Tomás Avilés,3 Valentín Barco,4 Agustín Giay,8 Máximo Perrone,14 Mateo Tanlongo,7 Juan Carlos Gauto,11 Matías Soulé,10 Valentín Carboni,9 Alejo Véliz,15 Román Vega,5 Federico Redondo,19 Gino Infantino,16 Luka Romero,21 Ignacio Maestro Puch,17 Nicolás Cláa,12 Lucas Lavagnino,2 Lautaro Di Lollo,20 Ignacio Miramón,18 Brian Aguirre,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 23, 2023",Argentina U20 vs Guatemala U20
19,Guatemala U20,12 Jorge Moreno,5 Arian Recinos,16 Jeshua Urizar,14 Jonathan Franco,20 Figo Montaño,15 Andy Domínguez,6 Carlos Santos,8 Néstor Cabrera,10 Arquímides Ordóñez,11 Rudy Muñoz,9 Jefry Bantes,2 Randall Corado,4 Mathius Gaitán,18 Edy Palencia,7 Daniel Cardoza,13 Allan Juárez,1 Fausto Delgado,21 David Aldana,3 Emerson Raymundo,17 José Espinoza,19 Anderson Villagrán,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 23, 2023",Argentina U20 vs Guatemala U20
20,New Zealand U20,1 Kees Sims,14 Finn Linder,15 Aaryan Raj,5 Finn Surman,8 Jackson Manuel,6 Fin Conchie,2 Jackson Jarvie,3 Adam Supyk,7 Noah Karunaratne,11 Norman Garbett,9 Oliver Colloty,12 Everton O'Leary,10 Jay Herdman,17 Oliver Fay,19 Kian Donkers,-,13 Henry Gray,21 Alby Kelly-Heald,4 Isaac Hughes,20 Lukas Kelly-Heald,16 Dan McKay,18 Ben Wallace,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 26, 2023",New Zealand U20 vs Argentina U20
20,Argentina U20,1 Federico Gomes,6 Valentín Gómez,2 Lautaro Di Lollo,15 Román Vega,20 Ignacio Miramón,5 Federico Redondo,19 Gino Infantino,16 Luka Romero,18 Brian Aguirre,7 Juan Carlos Gauto,21 Ignacio Maestro Puch,17 Nicolás Cláa,3 Valentín Barco,8 Máximo Perrone,11 Matías Soulé,9 Alejo Véliz,12 Lucas Lavagnino,14 Mateo Tanlongo,4 Agustín Giay,10 Valentín Carboni,-,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 26, 2023",New Zealand U20 vs Argentina U20
21,Uzbekistan U20,12 Asror Kenzhaev,6 Jakhongir Urozov,3 Abdukodir Khusanov,4 Abubakir Ashurov,8 Bekhruz Askarov,11 Sherzod Esanov,13 Zafarmurod Abdirakhmatov,20 Makhmud Makhamadzhonov,10 Umarali Rakhmonaliev,14 Abbosbek Fayzullaev,9 Shakhzod Nematzhonov,15 Diyor Ortikboev,18 Saidafzalkhon Akhrorov,2 Izzatillo Pulatov,17 Nodir Abdurazzakov,7 Pulatkhuzha Kholdorkhonov,1 Edem Nemanov,21 Otabek Boymurodov,16 Shakhzod Rakhmatullaev,23 Rustam Turdimuradov,19 Shakhzod Akromov,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 26, 2023",Uzbekistan U20 vs Guatemala U20
21,Guatemala U20,12 Jorge Moreno,5 Arian Recinos,16 Jeshua Urizar,14 Jonathan Franco,20 Figo Montaño,2 Randall Corado,18 Edy Palencia,8 Néstor Cabrera,7 Daniel Cardoza,10 Arquímides Ordóñez,9 Jefry Bantes,21 David Aldana,15 Andy Domínguez,11 Rudy Muñoz,13 Allan Juárez,19 Anderson Villagrán,1 Fausto Delgado,4 Mathius Gaitán,3 Emerson Raymundo,17 José Espinoza,-,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 26, 2023",Uzbekistan U20 vs Guatemala U20
22,USA U20,1 Gabriel Slonina,4 Joshua Wynder,5 Brandan Craig,13 Jonathan Gómez,17 Justin Che,16 Owen Wolff,8 Jack McGlynn,18 Obed Vargas,3 Caleb Wiley,7 Quinn Sullivan,10 Diego Luna,6 Daniel Edelman,15 Niko Tsakiris,19 Darren Yapi,-,-,12 Antonio Carrera,21 Alex Borto,14 Marcus Ferkranus,2 Michael Halliday,-,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 20, 2023",USA U20 vs Ecuador U20
22,Ecuador U20,12 Gilmar Napa,3 Christian García,4 Joel Ordóñez,16 Maiky de la Cruz,13 Daniel de la Cruz,5 Óscar Zambrano,8 Sebastián González,19 Kendry Páez,10 Nilson Angulo,7 Alan Minda,9 Justin Cuero,15 Denil Castillo,18 Tommy Chamba,14 Ariel Mina,17 Maelo Rentería,-,20 Tony Jiménez,1 Cristhian Loor,2 Stalin Valencia,6 Yeltzin Erique,21 José Klinger,11 Cristhoper Zambrano,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 20, 2023",USA U20 vs Ecuador U20
23,Fiji U20,1 Aydin Mustahib,2 Peter Ravai,21 Sterling Vasconcellos,8 Josh Laqeretabua,17 Mohammed Raheem,6 Thomas Dunn,4 Abdullah Aiyas,12 Clarence Hussain,14 Apisai Rabuka,11 Gulam Razool,9 Faazil Faizul Ali,15 Sailasa Ratu,10 Nabil Begg,19 Junior Dekedeke,7 Arshad Khan,-,13 Joji Vuakaca,20 Isikeli Sevanaia,5 Sakiusa Saqiri,16 Gaery Kubu,18 Samuel Navoce,3 Eneriko Matau,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 20, 2023",Fiji U20 vs Slovakia U20
23,Slovakia U20,12 Adam Hrdina,3 Samuel Bagin,6 Sebastian Kosa,18 Nicolas Sikula,19 Samuel Kopasek,17 Dominik Snajder,14 Máté Szolgai,8 Artur Gajdos,16 Leo Sauer,11 Adam Gazi,10 Timotej Jambor,5 David Ovsonka,4 Jan Murgas,20 Mario Sauer,15 Nino Marcelli,-,1 Samuel Belanik,21 Adam Danko,13 Marek Ujlaky,2 Simon Micuda,-,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 20, 2023",Fiji U20 vs Slovakia U20
24,USA U20,1 Gabriel Slonina,5 Brandan Craig,14 Marcus Ferkranus,2 Michael Halliday,6 Daniel Edelman,8 Jack McGlynn,16 Owen Wolff,13 Jonathan Gómez,9 Cade Cowell,7 Quinn Sullivan,19 Darren Yapi,3 Caleb Wiley,15 Niko Tsakiris,18 Obed Vargas,10 Diego Luna,-,12 Antonio Carrera,21 Alex Borto,4 Joshua Wynder,17 Justin Che,-,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 23, 2023",USA U20 vs Fiji U20
24,Fiji U20,1 Aydin Mustahib,2 Peter Ravai,21 Sterling Vasconcellos,16 Gaery Kubu,17 Mohammed Raheem,4 Abdullah Aiyas,6 Thomas Dunn,10 Nabil Begg,7 Arshad Khan,5 Sakiusa Saqiri,9 Faazil Faizul Ali,18 Samuel Navoce,3 Eneriko Matau,14 Apisai Rabuka,11 Gulam Razool,-,13 Joji Vuakaca,20 Isikeli Sevanaia,8 Josh Laqeretabua,12 Clarence Hussain,15 Sailasa Ratu,19 Junior Dekedeke,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 23, 2023",USA U20 vs Fiji U20
25,Ecuador U20,12 Gilmar Napa,3 Christian García,4 Joel Ordóñez,16 Maiky de la Cruz,13 Daniel de la Cruz,5 Óscar Zambrano,8 Sebastián González,19 Kendry Páez,10 Nilson Angulo,21 José Klinger,9 Justin Cuero,2 Stalin Valencia,14 Ariel Mina,11 Cristhoper Zambrano,17 Maelo Rentería,-,20 Tony Jiménez,1 Cristhian Loor,6 Yeltzin Erique,15 Denil Castillo,18 Tommy Chamba,7 Alan Minda,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 23, 2023",Ecuador U20 vs Slovakia U20
25,Slovakia U20,12 Adam Hrdina,3 Samuel Bagin,6 Sebastian Kosa,19 Samuel Kopasek,18 Nicolas Sikula,17 Dominik Snajder,14 Máté Szolgai,8 Artur Gajdos,16 Leo Sauer,15 Nino Marcelli,10 Timotej Jambor,5 David Ovsonka,20 Mario Sauer,7 Bálint Csóka,9 Adam Griger,-,1 Samuel Belanik,21 Adam Danko,13 Marek Ujlaky,2 Simon Micuda,4 Jan Murgas,11 Adam Gazi,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 23, 2023",Ecuador U20 vs Slovakia U20
26,Slovakia U20,12 Adam Hrdina,5 David Ovsonka,6 Sebastian Kosa,18 Nicolas Sikula,19 Samuel Kopasek,17 Dominik Snajder,14 Máté Szolgai,20 Mario Sauer,16 Leo Sauer,11 Adam Gazi,9 Adam Griger,2 Simon Micuda,4 Jan Murgas,8 Artur Gajdos,7 Bálint Csóka,10 Timotej Jambor,1 Samuel Belanik,21 Adam Danko,3 Samuel Bagin,13 Marek Ujlaky,15 Nino Marcelli,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 26, 2023",Slovakia U20 vs USA U20
26,USA U20,1 Gabriel Slonina,4 Joshua Wynder,5 Brandan Craig,3 Caleb Wiley,17 Justin Che,6 Daniel Edelman,2 Michael Halliday,18 Obed Vargas,9 Cade Cowell,16 Owen Wolff,10 Diego Luna,13 Jonathan Gómez,8 Jack McGlynn,15 Niko Tsakiris,7 Quinn Sullivan,19 Darren Yapi,12 Antonio Carrera,21 Alex Borto,14 Marcus Ferkranus,-,-,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 26, 2023",Slovakia U20 vs USA U20
27,Ecuador U20,12 Gilmar Napa,3 Christian García,4 Joel Ordóñez,16 Maiky de la Cruz,13 Daniel de la Cruz,5 Óscar Zambrano,8 Sebastián González,19 Kendry Páez,10 Nilson Angulo,21 José Klinger,9 Justin Cuero,6 Yeltzin Erique,18 Tommy Chamba,14 Ariel Mina,7 Alan Minda,11 Cristhoper Zambrano,20 Tony Jiménez,1 Cristhian Loor,2 Stalin Valencia,15 Denil Castillo,17 Maelo Rentería,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 26, 2023",Ecuador U20 vs Fiji U20
27,Fiji U20,13 Joji Vuakaca,2 Peter Ravai,21 Sterling Vasconcellos,8 Josh Laqeretabua,17 Mohammed Raheem,4 Abdullah Aiyas,6 Thomas Dunn,10 Nabil Begg,7 Arshad Khan,5 Sakiusa Saqiri,9 Faazil Faizul Ali,20 Isikeli Sevanaia,16 Gaery Kubu,18 Samuel Navoce,3 Eneriko Matau,15 Sailasa Ratu,1 Aydin Mustahib,12 Clarence Hussain,19 Junior Dekedeke,14 Apisai Rabuka,11 Gulam Razool,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 26, 2023",Ecuador U20 vs Fiji U20
28,Israel U20,1 Tomer Tzarfati,3 Or Israelov,4 Stav Lemkin,12 Roy Revivo,2 Ilay Feingold,6 El Yam Kancepolsky,8 Ilay Madmon,15 Tai Abed,10 Ariel Lugassy,7 Anan Khalaili,9 Dor Turgeman,14 Roy Nawi,16 Ran Binyamin,11 Hamza Shibli,20 Ahmad Salman,17 Omer Senior,18 Ofek Melika,21 Nitai Greis,19 Hadar Fuchs,5 Shon Edri,13 Noam Ben Harush,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 21, 2023",Israel U20 vs Colombia U20
28,Colombia U20,1 Luis Marquinez,4 Fernando Álvarez,5 Kevin Mantilla,17 Andrés Salazar,3 Édier Ocampo,8 Gustavo Puerta,18 Jhojan Torres,19 Miguel Monsalve,10 Yáser Asprilla,16 Óscar Cortés,7 Jorge Cabezas,6 Jhon Vélez,11 Alexis Manyoma,9 Tomás Ángel,-,-,21 Alexei Rojas,13 Juan Castillo,2 Daniel Pedrozo,14 Julián Palacios,15 Devan Tanton,12 Juan Castilla,20 Daniel Luna,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 21, 2023",Israel U20 vs Colombia U20
29,Senegal U20,16 Mamour Ndiaye,13 Seydou Sano,12 Babacar Ndiaye,6 Souleymane Basse,8 Amidou Diop,4 Mamadou Lamine Camara,3 Djibril Diarra,20 Pape Diop,10 Samba Diallo,17 Mame Mor Faye,9 Souleymane Faye,5 Ibrahima Seck,14 Libasse Ngom,-,-,-,1 Alioune Niang,19 Mapenda Mbow,18 Mouhamed Gueye,2 Mouhamed Guèye,15 Ibrahima Cissoko,11 Mamadou Gning,7 Oumar Diouf,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 21, 2023",Senegal U20 vs Japan U20
29,Japan U20,1 Ryoya Kimura,3 Hayato Tanaka,13 Anrie Chase,16 Niko Takahashi,19 Kota Takai,6 Taichi Fukui,8 Kodai Sano,7 Kuryu Matsuki,10 Sota Kitano,14 Takatora Einaga,18 Naoki Kumata,2 Hayate Matsuda,20 Taisei Abe,5 Riku Yamane,15 Yusei Yashiki,9 Shio Fukuda,12 Yu Kanoshima,21 Ryusei Haruna,4 Shuta Kikuchi,17 Kosuke Matsumura,11 Isa Sakamoto,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 21, 2023",Senegal U20 vs Japan U20
30,Senegal U20,16 Mamour Ndiaye,13 Seydou Sano,12 Babacar Ndiaye,6 Souleymane Basse,8 Amidou Diop,4 Mamadou Lamine Camara,20 Pape Diop,17 Mame Mor Faye,5 Ibrahima Seck,10 Samba Diallo,9 Souleymane Faye,3 Djibril Diarra,11 Mamadou Gning,7 Oumar Diouf,-,-,1 Alioune Niang,21 Ndiack Sall,19 Mapenda Mbow,18 Mouhamed Gueye,2 Mouhamed Guèye,15 Ibrahima Cissoko,14 Libasse Ngom,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 24, 2023",Senegal U20 vs Israel U20
30,Israel U20,1 Tomer Tzarfati,3 Or Israelov,4 Stav Lemkin,12 Roy Revivo,2 Ilay Feingold,6 El Yam Kancepolsky,8 Ilay Madmon,16 Ran Binyamin,10 Ariel Lugassy,15 Tai Abed,9 Dor Turgeman,13 Noam Ben Harush,14 Roy Nawi,11 Hamza Shibli,20 Ahmad Salman,7 Anan Khalaili,18 Ofek Melika,21 Nitai Greis,19 Hadar Fuchs,5 Shon Edri,17 Omer Senior,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 24, 2023",Senegal U20 vs Israel U20
31,Japan U20,1 Ryoya Kimura,3 Hayato Tanaka,13 Anrie Chase,16 Niko Takahashi,19 Kota Takai,6 Taichi Fukui,5 Riku Yamane,10 Sota Kitano,8 Kodai Sano,7 Kuryu Matsuki,18 Naoki Kumata,2 Hayate Matsuda,17 Kosuke Matsumura,14 Takatora Einaga,9 Shio Fukuda,11 Isa Sakamoto,12 Yu Kanoshima,21 Ryusei Haruna,4 Shuta Kikuchi,20 Taisei Abe,15 Yusei Yashiki,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 24, 2023",Japan U20 vs Colombia U20
31,Colombia U20,1 Luis Marquinez,4 Fernando Álvarez,5 Kevin Mantilla,17 Andrés Salazar,3 Édier Ocampo,18 Jhojan Torres,8 Gustavo Puerta,20 Daniel Luna,7 Jorge Cabezas,16 Óscar Cortés,10 Yáser Asprilla,15 Devan Tanton,6 Jhon Vélez,13 Juan Castilla,11 Alexis Manyoma,9 Tomás Ángel,21 Alexei Rojas,12 Juan Castillo,2 Daniel Pedrozo,14 Julián Palacios,19 Miguel Monsalve,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 24, 2023",Japan U20 vs Colombia U20
32,Colombia U20,1 Luis Marquinez,2 Daniel Pedrozo,5 Kevin Mantilla,17 Andrés Salazar,15 Devan Tanton,8 Gustavo Puerta,18 Jhojan Torres,11 Alexis Manyoma,16 Óscar Cortés,20 Daniel Luna,9 Tomás Ángel,6 Jhon Vélez,13 Juan Castilla,19 Miguel Monsalve,7 Jorge Cabezas,-,21 Alexei Rojas,12 Juan Castillo,4 Fernando Álvarez,14 Julián Palacios,3 Édier Ocampo,10 Yáser Asprilla,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 27, 2023",Colombia U20 vs Senegal U20
32,Senegal U20,16 Mamour Ndiaye,13 Seydou Sano,12 Babacar Ndiaye,6 Souleymane Basse,8 Amidou Diop,4 Mamadou Lamine Camara,3 Djibril Diarra,10 Samba Diallo,5 Ibrahima Seck,20 Pape Diop,9 Souleymane Faye,2 Mouhamed Guèye,15 Ibrahima Cissoko,7 Oumar Diouf,-,-,1 Alioune Niang,21 Ndiack Sall,19 Mapenda Mbow,18 Mouhamed Gueye,11 Mamadou Gning,14 Libasse Ngom,17 Mame Mor Faye,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 27, 2023",Colombia U20 vs Senegal U20
33,Japan U20,1 Ryoya Kimura,3 Hayato Tanaka,13 Anrie Chase,16 Niko Takahashi,19 Kota Takai,5 Riku Yamane,8 Kodai Sano,17 Kosuke Matsumura,20 Taisei Abe,7 Kuryu Matsuki,11 Isa Sakamoto,2 Hayate Matsuda,6 Taichi Fukui,18 Naoki Kumata,9 Shio Fukuda,10 Sota Kitano,12 Yu Kanoshima,21 Ryusei Haruna,4 Shuta Kikuchi,14 Takatora Einaga,15 Yusei Yashiki,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 27, 2023",Japan U20 vs Israel U20
33,Israel U20,1 Tomer Tzarfati,3 Or Israelov,4 Stav Lemkin,12 Roy Revivo,2 Ilay Feingold,6 El Yam Kancepolsky,8 Ilay Madmon,20 Ahmad Salman,10 Ariel Lugassy,15 Tai Abed,9 Dor Turgeman,5 Shon Edri,14 Roy Nawi,16 Ran Binyamin,11 Hamza Shibli,17 Omer Senior,18 Ofek Melika,21 Nitai Greis,19 Hadar Fuchs,13 Noam Ben Harush,7 Anan Khalaili,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 27, 2023",Japan U20 vs Israel U20
34,Nigeria U20,21 Chijioke Aniagboso,5 Abel Ogwuche,12 Benjamin Fredrick,3 Solomon Agbalaka,6 Daniel Bameyi,4 Daniel Daga,8 Tochukwu Nnadi,11 Ibrahim Beji Muhammad,15 Sunday Jude,18 Samson Lawal,9 Salim Fago Lawal,10 Victor Eletu,17 Kehinde Ibrahim,14 Ibrahim Abdullahi,19 Umeh Emmanuel,7 Rilwanu Sarki,16 John Audu Utoblo,1 Nathaniel Nwosu,2 Chimezie Njoku,20 Joshua John,-,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 21, 2023",Nigeria U20 vs Dominican U20
34,Dominican U20,12 Xavier Valdez,5 Kleffer Martes,3 Alex Ciriaco,19 Guillermo de Peña,6 Israel Boatwright,14 Yordy Álvarez,8 Ángel Montes de Oca,10 Edison Azcona,21 Derek Cuevas,15 Yunior Peralta,9 Anyelo Gómez,4 Thomas Jungbauer,11 Álex Martín,13 Oliver Schmidhauser,-,-,1 Omry Bello,20 Enrique Bösl,18 Alfeni Tamárez,16 Miguel Vásquez,17 Jason Joseph,7 Bryan More,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 21, 2023",Nigeria U20 vs Dominican U20
35,Italy U20,1 Sebastiano Desplanches,5 Daniele Ghilardi,14 Gabriele Guarino,3 Riccardo Turicchia,2 Mattia Zanotti,16 Giacomo Faticanti,4 Matteo Prati,8 Cesare Casadei,10 Tommaso Baldanzi,20 Simone Pafundi,18 Francesco Pio Esposito,15 Alessandro Fontanarosa,17 Luca Lipani,6 Samuel Giovane,11 Daniele Montevago,-,12 Gioele Zacchi,21 Jacopo Sassi,13 Filippo Fiumanò,19 Duccio Degli Innocenti,7 Niccolò Pisilli,9 Giuseppe Ambrosino,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 21, 2023",Italy U20 vs Brazil U20
35,Brazil U20,1 Mycael,4 Robert Renan,3 Jean Pedroso,6 Kaiki,2 Arthur,8 Marlon Gomes,5 Andrey Santos,10 Matheus Martins,11 Biro,7 Giovani,9 Marcos Leonardo,13 André Dhominique,20 Sávio,18 Kevin,16 Marquinhos,19 Matheus Nascimento,12 Kaique Pereira,15 Ronald Falkoski,17 Giovane,-,-,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 21, 2023",Italy U20 vs Brazil U20
36,Italy U20,1 Sebastiano Desplanches,5 Daniele Ghilardi,14 Gabriele Guarino,6 Samuel Giovane,2 Mattia Zanotti,4 Matteo Prati,16 Giacomo Faticanti,8 Cesare Casadei,10 Tommaso Baldanzi,20 Simone Pafundi,9 Giuseppe Ambrosino,3 Riccardo Turicchia,17 Luca Lipani,7 Niccolò Pisilli,11 Daniele Montevago,18 Francesco Pio Esposito,12 Gioele Zacchi,21 Jacopo Sassi,15 Alessandro Fontanarosa,13 Filippo Fiumanò,19 Duccio Degli Innocenti,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 24, 2023",Italy U20 vs Nigeria U20
36,Nigeria U20,21 Chijioke Aniagboso,5 Abel Ogwuche,12 Benjamin Fredrick,3 Solomon Agbalaka,6 Daniel Bameyi,10 Victor Eletu,4 Daniel Daga,11 Ibrahim Beji Muhammad,15 Sunday Jude,18 Samson Lawal,9 Salim Fago Lawal,8 Tochukwu Nnadi,20 Joshua John,19 Umeh Emmanuel,7 Rilwanu Sarki,-,16 John Audu Utoblo,1 Nathaniel Nwosu,13 Israel Domingo,2 Chimezie Njoku,17 Kehinde Ibrahim,14 Ibrahim Abdullahi,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 24, 2023",Italy U20 vs Nigeria U20
37,Brazil U20,1 Mycael,4 Robert Renan,3 Jean Pedroso,6 Kaiki,2 Arthur,5 Andrey Santos,8 Marlon Gomes,11 Biro,20 Sávio,16 Marquinhos,9 Marcos Leonardo,15 Ronald Falkoski,10 Matheus Martins,18 Kevin,17 Giovane,19 Matheus Nascimento,12 Kaique Pereira,14 Douglas Mendes,13 André Dhominique,7 Giovani,-,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 24, 2023",Brazil U20 vs Dominican U20
37,Dominican U20,12 Xavier Valdez,4 Thomas Jungbauer,5 Kleffer Martes,3 Alex Ciriaco,19 Guillermo de Peña,8 Ángel Montes de Oca,14 Yordy Álvarez,6 Israel Boatwright,21 Derek Cuevas,10 Edison Azcona,9 Anyelo Gómez,18 Alfeni Tamárez,17 Jason Joseph,15 Yunior Peralta,11 Álex Martín,13 Oliver Schmidhauser,1 Omry Bello,20 Enrique Bösl,16 Miguel Vásquez,2 Steven Martínez,7 Bryan More,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 24, 2023",Brazil U20 vs Dominican U20
38,Dominican U20,12 Xavier Valdez,4 Thomas Jungbauer,5 Kleffer Martes,3 Alex Ciriaco,19 Guillermo de Peña,14 Yordy Álvarez,6 Israel Boatwright,11 Álex Martín,8 Ángel Montes de Oca,21 Derek Cuevas,17 Jason Joseph,20 Enrique Bösl,16 Miguel Vásquez,2 Steven Martínez,7 Bryan More,13 Oliver Schmidhauser,1 Omry Bello,18 Alfeni Tamárez,15 Yunior Peralta,9 Anyelo Gómez,-,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 27, 2023",Dominican U20 vs Italy U20
38,Italy U20,1 Sebastiano Desplanches,5 Daniele Ghilardi,14 Gabriele Guarino,6 Samuel Giovane,3 Riccardo Turicchia,16 Giacomo Faticanti,4 Matteo Prati,8 Cesare Casadei,10 Tommaso Baldanzi,20 Simone Pafundi,9 Giuseppe Ambrosino,15 Alessandro Fontanarosa,17 Luca Lipani,19 Duccio Degli Innocenti,7 Niccolò Pisilli,11 Daniele Montevago,12 Gioele Zacchi,21 Jacopo Sassi,13 Filippo Fiumanò,2 Mattia Zanotti,18 Francesco Pio Esposito,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 27, 2023",Dominican U20 vs Italy U20
39,Brazil U20,1 Mycael,4 Robert Renan,3 Jean Pedroso,6 Kaiki,2 Arthur,5 Andrey Santos,8 Marlon Gomes,16 Marquinhos,11 Biro,20 Sávio,9 Marcos Leonardo,14 Douglas Mendes,13 André Dhominique,10 Matheus Martins,18 Kevin,17 Giovane,12 Kaique Pereira,21 Kauã Santos,15 Ronald Falkoski,7 Giovani,19 Matheus Nascimento,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 27, 2023",Brazil U20 vs Nigeria U20
