,TeamName,Starter_1,Starter_2,Starter_3,Starter_4,Starter_5,Starter_6,Starter_7,Starter_8,Starter_9,Starter_10,Starter_11,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Unused_1,Unused_2,Unused_3,Unused_4,Unused_5,Unused_6,Unused_7,Unused_8,Unused_9,Unused_10,Unused_11,Unused_12,Unused_13,Unused_14,Unused_15,Competition,Date,Match
5,Colombia U20,1 Luis Marquinez,4 Fernando Álvarez,5 Kevin Mantilla,17 Andrés Salazar,3 Édier Ocampo,8 Gustavo Puerta,18 Jhojan Torres,10 Yáser Asprilla,16 Óscar Cortés,11 Alexis Manyoma,9 Tomás Ángel,15 Devan Tanton,13 Juan Castilla,20 Daniel Luna,19 Miguel Monsalve,7 Jorge Cabezas,21 Alexei Rojas,12 Juan Castillo,2 Daniel Pedrozo,14 Julián Palacios,6 Jhon Vélez,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Sat Jun 3, 2023",Colombia U20 vs Italy U20
5,Italy U20,1 Sebastiano Desplanches,5 Daniele Ghilardi,14 Gabriele Guarino,3 Riccardo Turicchia,2 Mattia Zanotti,4 Matteo Prati,6 Samuel Giovane,8 Cesare Casadei,10 Tommaso Baldanzi,9 Giuseppe Ambrosino,18 Francesco Pio Esposito,15 Alessandro Fontanarosa,17 Luca Lipani,19 Duccio Degli Innocenti,11 Daniele Montevago,-,12 Gioele Zacchi,21 Jacopo Sassi,13 Filippo Fiumanò,16 Giacomo Faticanti,7 Niccolò Pisilli,20 Simone Pafundi,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Sat Jun 3, 2023",Colombia U20 vs Italy U20
6,South Korea U20,1 Jun-hong Kim,4 Seok-hyeon Choi,20 Ji-soo Kim,19 Seo-joon Bae,2 Chang-woo Park,5 Chan-wook Lee,14 Sang-yun Kang,7 Yong-hak Kim,11 Seong-jin Kang,8 Seung-won Lee,9 Young-jun Lee,13 Ye-hoon Choi,3 In-taek Hwang,15 Young-kwang Cho,6 Hyun-bin Park,10 Jun-ho Bae,17 Ji-han Lee,12 Jung-hoon Kim,21 Hyeon-ho Moon,16 Seung-joon Lee,-,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Sun Jun 4, 2023",South Korea U20 vs Nigeria U20
6,Nigeria U20,21 Chijioke Aniagboso,5 Abel Ogwuche,12 Benjamin Fredrick,3 Solomon Agbalaka,6 Daniel Bameyi,4 Daniel Daga,10 Victor Eletu,8 Tochukwu Nnadi,15 Sunday Jude,11 Ibrahim Beji Muhammad,9 Salim Fago Lawal,20 Joshua John,18 Samson Lawal,17 Kehinde Ibrahim,14 Ibrahim Abdullahi,19 Umeh Emmanuel,16 John Audu Utoblo,1 Nathaniel Nwosu,13 Israel Domingo,2 Chimezie Njoku,-,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Sun Jun 4, 2023",South Korea U20 vs Nigeria U20
7,USA U20,1 Gabriel Slonina,4 Joshua Wynder,5 Brandan Craig,17 Justin Che,8 Jack McGlynn,18 Obed Vargas,2 Michael Halliday,3 Caleb Wiley,10 Diego Luna,16 Owen Wolff,9 Cade Cowell,13 Jonathan Gómez,6 Daniel Edelman,7 Quinn Sullivan,11 Kevin Paredes,20 Rokas Pukstas,12 Antonio Carrera,21 Alex Borto,14 Marcus Ferkranus,15 Niko Tsakiris,19 Darren Yapi,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Sun Jun 4, 2023",USA U20 vs Uruguay U20
7,Uruguay U20,12 Randall Rodríguez,16 Facundo González,2 Sebastián Boselli,13 Alan Matturro,4 Mateo Ponte,5 Fabricio Díaz,15 Ignacio Sosa,8 Rodrigo Chagas,10 Franco González,11 Juan Cruz de los Santos,7 Anderson Duarte,6 Mathías de Ritis,18 Santiago Homenchenko,14 Damián García,20 Nicolás Siri,-,21 José Arbio,1 Facundo Machado,3 Mateo Antoni,-,-,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Sun Jun 4, 2023",USA U20 vs Uruguay U20
8,USA U20,1 Gabriel Slonina,4 Joshua Wynder,5 Brandan Craig,17 Justin Che,6 Daniel Edelman,8 Jack McGlynn,13 Jonathan Gómez,3 Caleb Wiley,9 Cade Cowell,16 Owen Wolff,10 Diego Luna,2 Michael Halliday,15 Niko Tsakiris,18 Obed Vargas,11 Kevin Paredes,20 Rokas Pukstas,12 Antonio Carrera,21 Alex Borto,14 Marcus Ferkranus,7 Quinn Sullivan,19 Darren Yapi,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Tue May 30, 2023",USA U20 vs New Zealand U20
8,New Zealand U20,1 Kees Sims,4 Isaac Hughes,5 Finn Surman,20 Lukas Kelly-Heald,14 Finn Linder,16 Dan McKay,6 Fin Conchie,18 Ben Wallace,11 Norman Garbett,10 Jay Herdman,9 Oliver Colloty,15 Aaryan Raj,17 Oliver Fay,7 Noah Karunaratne,19 Kian Donkers,-,13 Henry Gray,21 Alby Kelly-Heald,3 Adam Supyk,2 Jackson Jarvie,12 Everton O'Leary,8 Jackson Manuel,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Tue May 30, 2023",USA U20 vs New Zealand U20
9,Uzbekistan U20,12 Asror Kenzhaev,6 Jakhongir Urozov,3 Abdukodir Khusanov,4 Abubakir Ashurov,15 Diyor Ortikboev,8 Bekhruz Askarov,13 Zafarmurod Abdirakhmatov,18 Saidafzalkhon Akhrorov,11 Sherzod Esanov,14 Abbosbek Fayzullaev,9 Shakhzod Nematzhonov,20 Makhmud Makhamadzhonov,17 Nodir Abdurazzakov,7 Pulatkhuzha Kholdorkhonov,-,-,1 Edem Nemanov,21 Otabek Boymurodov,2 Izzatillo Pulatov,16 Shakhzod Rakhmatullaev,23 Rustam Turdimuradov,19 Shakhzod Akromov,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Tue May 30, 2023",Uzbekistan U20 vs Israel U20
9,Israel U20,1 Tomer Tzarfati,3 Or Israelov,4 Stav Lemkin,12 Roy Revivo,2 Ilay Feingold,14 Roy Nawi,8 Ilay Madmon,15 Tai Abed,10 Ariel Lugassy,17 Omer Senior,9 Dor Turgeman,5 Shon Edri,6 El Yam Kancepolsky,11 Hamza Shibli,20 Ahmad Salman,7 Anan Khalaili,18 Ofek Melika,21 Nitai Greis,19 Hadar Fuchs,13 Noam Ben Harush,-,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Tue May 30, 2023",Uzbekistan U20 vs Israel U20
