,TeamName,Starter_1,Starter_2,Starter_3,Starter_4,Starter_5,Starter_6,Starter_7,Starter_8,Starter_9,Starter_10,Starter_11,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Unused_1,Unused_2,Unused_3,Unused_4,Unused_5,Unused_6,Unused_7,Unused_8,Unused_9,Unused_10,Unused_11,Unused_12,Unused_13,Unused_14,Unused_15,Competition,Date,Match
0,Panama,22 Orlando Mosquera,16 Andrés Andrade,3 Hárold Cummings,4 Fidel Escobar,20 Aníbal Godoy,8 Adalberto Carrasquilla,10 Yoel Bárcenas,15 Éric Davis,11 Ismael Díaz,17 José Fajardo,19 Alberto Quintero,25 Iván Anderson,9 Azarias Londoño,18 Cecilio Waterman,-,-,1 Luis Mejía,12 César Samudio,5 Roderick Miller,14 Eduardo Anderson,24 Omar Valencia,6 Christian Martínez,7 Jovani Welch,13 Freddy Góndola,21 César Yanis,-,-,-,-,-,-,Gold Cup 2023,"Sun Jul 16, 2023",Panama vs Mexico
0,Mexico,13 Guillermo Ochoa,5 Johan Vásquez,3 César Montes,23 Jesús Gallardo,19 Jorge Sánchez,4 Edson Álvarez,18 Luis Chávez,7 Luis Romo,17 Orbelín Pineda,15 Uriel Antuna,20 Henry Martín,21 Israel Reyes,14 Érick Sánchez,10 Roberto Alvarado,11 Santiago Gimenez,-,1 Antonio Rodríguez,12 Luis Malagón,22 Víctor Guzmán,6 Gerardo Arteaga,2 Julián Araujo,8 Carlos Rodríguez,16 Diego Lainez,9 Ozziel Herrera,-,-,-,-,-,-,-,Gold Cup 2023,"Sun Jul 16, 2023",Panama vs Mexico
1,USA,1 Matt Turner,3 Aaron Long,12 Miles Robinson,15 DeJuan Jones,5 Bryan Reynolds,8 James Sands,6 Gianluca Busio,14 Djordje Mihailovic,11 Cade Cowell,9 Jesús Ferreira,19 Brandon Vazquez,4 Matt Miazga,21 John Tolkin,2 DeAndre Yedlin,10 Cristian Roldán,22 Julian Gressel,13 Jordan Morris,18 Sean Johnson,23 Gabriel Slonina,20 Jalen Neal,24 Jackson Yueill,17 Álex Zendejas,-,-,-,-,-,-,-,-,-,Gold Cup 2023,"Wed Jul 12, 2023",USA vs Panama
1,Panama,22 Orlando Mosquera,16 Andrés Andrade,3 Hárold Cummings,4 Fidel Escobar,20 Aníbal Godoy,8 Adalberto Carrasquilla,10 Yoel Bárcenas,15 Éric Davis,11 Ismael Díaz,17 José Fajardo,19 Alberto Quintero,25 Iván Anderson,6 Christian Martínez,7 Jovani Welch,18 Cecilio Waterman,-,1 Luis Mejía,12 César Samudio,5 Roderick Miller,14 Eduardo Anderson,24 Omar Valencia,13 Freddy Góndola,21 César Yanis,9 Azarias Londoño,-,-,-,-,-,-,-,Gold Cup 2023,"Wed Jul 12, 2023",USA vs Panama
2,Jamaica,1 Andre Blake,6 Di'Shon Bernard,17 Damion Lowe,4 Amari'i Bell,21 Javain Brown,15 Joel Latibeaudiere,3 Kevon Lambert,7 Leon Bailey,10 Bobby De Cordova-Reid,12 Demarai Gray,18 Michail Antonio,2 Dexter Lembikisa,8 Daniel Johnson,14 Dujuan Richards,11 Shamar Nicholson,-,23 Jahmali Waite,13 Coniah Boyce-Clarke,19 Adrian Mariappa,20 Kemar Lawrence,22 Jon Russell,16 Kaheem Parris,-,-,-,-,-,-,-,-,-,Gold Cup 2023,"Wed Jul 12, 2023",Jamaica vs Mexico
2,Mexico,13 Guillermo Ochoa,5 Johan Vásquez,3 César Montes,23 Jesús Gallardo,19 Jorge Sánchez,18 Luis Chávez,7 Luis Romo,17 Orbelín Pineda,15 Uriel Antuna,14 Érick Sánchez,20 Henry Martín,4 Edson Álvarez,8 Carlos Rodríguez,10 Roberto Alvarado,16 Diego Lainez,11 Santiago Gimenez,1 Antonio Rodríguez,12 Luis Malagón,21 Israel Reyes,22 Víctor Guzmán,6 Gerardo Arteaga,2 Julián Araujo,9 Ozziel Herrera,-,-,-,-,-,-,-,-,Gold Cup 2023,"Wed Jul 12, 2023",Jamaica vs Mexico
3,Panama,22 Orlando Mosquera,16 Andrés Andrade,3 Hárold Cummings,4 Fidel Escobar,20 Aníbal Godoy,8 Adalberto Carrasquilla,15 Éric Davis,11 Ismael Díaz,17 José Fajardo,10 Yoel Bárcenas,19 Alberto Quintero,5 Roderick Miller,6 Christian Martínez,7 Jovani Welch,21 César Yanis,18 Cecilio Waterman,1 Luis Mejía,12 César Samudio,14 Eduardo Anderson,24 Omar Valencia,25 Iván Anderson,13 Freddy Góndola,9 Azarias Londoño,-,-,-,-,-,-,-,-,Gold Cup 2023,"Sat Jul 8, 2023",Panama vs Qatar
3,Qatar,1 Salah Zakaria,2 Ahmed Suhail,4 Yousef Aymen,14 Homam Al-Amin,15 Bassam Al-Rawi,23 Assim Madibo,16 Mustafa Mashaal,13 Musab Khoder,8 Ali Asad,3 Hazem Ahmed,19 Almoez Ali,20 Jassem Gaber,12 Abdullah Maarafiya,7 Mahdi Al-Mejaba,18 Khalid Muneer,-,21 Yousef Hassan,9 Mohammed Muntari,-,-,-,-,-,-,-,-,-,-,-,-,-,Gold Cup 2023,"Sat Jul 8, 2023",Panama vs Qatar
4,Mexico,13 Guillermo Ochoa,5 Johan Vásquez,3 César Montes,23 Jesús Gallardo,19 Jorge Sánchez,4 Edson Álvarez,18 Luis Chávez,7 Luis Romo,17 Orbelín Pineda,15 Uriel Antuna,20 Henry Martín,21 Israel Reyes,2 Julián Araujo,14 Érick Sánchez,10 Roberto Alvarado,11 Santiago Gimenez,1 Antonio Rodríguez,12 Luis Malagón,22 Víctor Guzmán,6 Gerardo Arteaga,8 Carlos Rodríguez,16 Diego Lainez,9 Ozziel Herrera,-,-,-,-,-,-,-,-,Gold Cup 2023,"Sat Jul 8, 2023",Mexico vs Costa Rica
4,Costa Rica,18 Kevin Chamorro,3 Juan Pablo Vargas,19 Kendall Waston,15 Francisco Calvo,22 Jefry Valverde,5 Celso Borges,20 Wilmer Azofeifa,8 Josimar Alcócer,10 Cristopher Núñez,12 Joel Campbell,7 Anthony Contreras,6 Pablo Arboine,13 Suhander Zúñiga,11 Aarón Suárez,16 Warren Madrigal,-,1 Jussef Delgado,23 Alexandre Lezcano,2 Carlos Martínez,4 Keysher Fuller,14 Ricardo Peña,24 Yeltsin Tejeda,9 Diego Campos,25 Kenneth Vargas,-,-,-,-,-,-,-,Gold Cup 2023,"Sat Jul 8, 2023",Mexico vs Costa Rica
