,TeamName,Starter_1,Starter_2,Starter_3,Starter_4,Starter_5,Starter_6,Starter_7,Starter_8,Starter_9,Starter_10,Starter_11,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Unused_1,Unused_2,Unused_3,Unused_4,Unused_5,Unused_6,Unused_7,Unused_8,Unused_9,Unused_10,Unused_11,Unused_12,Unused_13,Unused_14,Unused_15,Competition,Date,Match
17,Cape Verde,1 Vozinha,3 Fernando Varela,14 Gegé,2 Stopira,23 Carlitos,17 Calu,5 Babanco,15 Nuno Rocha,9 Kuca,20 Ryan Mendes,19 Julio Tavarès,13 Platini,10 Héldon,7 Odaïr Fortes,-,-,12 Kéven Sousa,16 Iván Cruz,4 Kay,22 Jeffry Fortes,6 Sérgio Semedo,8 Toni Varela,11 Garry Rodrigues,-,-,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 22, 2015",Cape Verde vs DR Congo
17,DR Congo,1 Robert Muteba Kidiaba,15 Joël Kimwaki,17 Cédric Mongongu,3 Kilitcho Kasusula,2 Issama Mpeko,22 Chancel Mbemba,7 Youssouf Mulumbu,20 Chikito Lema Mabidi,11 Yannick Bolasie,18 Cedrick,9 Dieumerci Mbokani,5 Nelson Munganga,19 Jeremy Bokila,21 Firmin Mubele,-,-,23 Parfait Mandanda,16 Nicaise Kudimbana,14 Gabriel Zakuani,4 Christopher Oualembo,12 Bawaka Mabele,6 Cédric Makiadi,8 Hervé Kage,10 Neeskens Kebano,13 Junior Kabananga,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 22, 2015",Cape Verde vs DR Congo
18,Cape Verde,1 Vozinha,3 Fernando Varela,14 Gegé,2 Stopira,23 Carlitos,17 Calu,8 Toni Varela,15 Nuno Rocha,10 Héldon,11 Garry Rodrigues,20 Ryan Mendes,9 Kuca,7 Odaïr Fortes,21 Djaniny,-,-,12 Kéven Sousa,16 Iván Cruz,4 Kay,18 Nivaldo,22 Jeffry Fortes,6 Sérgio Semedo,5 Babanco,13 Platini,19 Julio Tavarès,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 26, 2015",Cape Verde vs Zambia
18,Zambia,16 Kennedy Mweene,4 Christopher Munthali,13 Stoppila Sunzu,18 Emmanuel Mbola,6 Davies Nkausu,14 Kondwani Mtonga,3 Chisamba Lungu,15 Given Singuluma,17 Rainford Kalaba,11 Lubambo Musonda,12 Evans Kangwa,2 Donashano Malama,10 Mukuka Mulenga,23 Patrick Ngoma,-,-,1 Danny Munyao,22 Joshua Titima,5 Rodrick Kabwe,7 Spencer Sautu,9 Ronald Kampamba,8 Bruce Musakanya,21 Jackson Mwanza,-,-,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 26, 2015",Cape Verde vs Zambia
19,DR Congo,1 Robert Muteba Kidiaba,15 Joël Kimwaki,17 Cédric Mongongu,3 Kilitcho Kasusula,2 Issama Mpeko,22 Chancel Mbemba,6 Cédric Makiadi,18 Cedrick,11 Yannick Bolasie,21 Firmin Mubele,9 Dieumerci Mbokani,14 Gabriel Zakuani,13 Junior Kabananga,19 Jeremy Bokila,-,-,23 Parfait Mandanda,16 Nicaise Kudimbana,4 Christopher Oualembo,12 Bawaka Mabele,5 Nelson Munganga,20 Chikito Lema Mabidi,8 Hervé Kage,10 Neeskens Kebano,-,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 26, 2015",DR Congo vs Tunisia
19,Tunisia,16 Aymen Balbouli,3 Aymen Abdennour,2 Syam Ben Youssef,20 Mohamed Ali Yaakoubi,12 Ali Maâloul,17 Hamza Mathlouthi,6 Hocine Ragued,13 Ferjani Sassi,18 Wahbi Khazri,9 Yassine Chikhaoui,19 Ahmed Akaichi,14 Stéphane Nater,15 Mohamed Ali Moncer,10 Hamza Younes,-,-,1 Farouk Ben Mustapha,22 Moez Ben Cherifia,23 Selim Ben Djemia,4 Bilel Mohsni,5 Rami Bedoui,21 Jamel Saihi,7 Youssef Msakni,8 Adam Rejaibi,11 Amine Chermiti,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 26, 2015",DR Congo vs Tunisia
20,Ghana,1 Brimah Razak,5 Mohamed Awal,18 Daniel Amartey,19 Jonathan Mensah,8 Emmanuel Badu,13 Mohammed Rabiu,23 Harrison Afful,17 Abdul Rahman Baba,10 André Ayew,7 Christian Atsu,9 Jordan Ayew,11 Mubarak Wakaso,6 Afriyie Acquah,20 David Accam,-,-,12 Ernest Sowah,16 Fatawu Dauda,4 Edwin Gyimah,22 Frank Acheampong,14 Solomon Asanté,2 Kwesi Appiah,15 Mahatma Otoo,-,-,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 19, 2015",Ghana vs Senegal
20,Senegal,1 Bouna Coundoul,3 Papy Djilobodji,2 Kara Mbodj,6 Lamine Sané,8 Cheikhou Kouyaté,5 Pape Diop,17 Idrissa Gueye,12 Stéphane Badji,18 Pape Souaré,9 Mame Diouf,11 Dame N'Doye,21 Lamine Gassama,22 Henri Saivet,7 Moussa Sow,-,-,16 Lys Gomis,23 Papa Demba Camara,14 Zargo Touré,20 Salif Sané,13 Cheikh M'Bengue,4 Alfred N'Diaye,10 Sadio Mané,15 Papiss Cissé,19 Moussa Konaté,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 19, 2015",Ghana vs Senegal
21,Algeria,23 Raïs M'Bolhi,5 Rafik Halliche,12 Carl Medjani,3 Faouzi Ghoulam,20 Aïssa Mandi,8 Mehdi Lacen,14 Nabil Bentaleb,7 Riyad Mahrez,10 Sofiane Feghouli,11 Yacine Brahimi,13 Islam Slimani,19 Saphir Taïder,15 El Arbi Hillel Soudani,9 Ishak Belfodil,-,-,1 Azzedine Doukha,16 Cédric Si Mohammed,4 Liassine Cadamuro,2 Madjid Bougherra,6 Djamel Mesbah,22 Mehdi Zeffane,21 Ahmed Kashi,17 Foued Kadir,18 Abdelmoumene Djabou,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 19, 2015",Algeria vs South Africa
21,South Africa,1 Darren Keet,14 Thulani Hlatshwayo,2 Rivaldo Coetzee,11 Thabo Matlaba,6 Anele Ngcongca,15 Dean Furman,5 Andile Jali,20 Oupa Manyisa,10 Sibusiso Vilakazi,18 Thuso Phala,23 Tokelo Rantie,4 Siyabonga Nhlapo,7 Mandla Masango,9 Bongani Ndulula,-,-,16 Nhlanhla Khuzwayo,22 Jackson Mabokgwane,21 Ayanda Gcaba,13 Thamsanqa Sangweni,8 Bongani Zungu,17 Bernard Parker,19 Themba Zwane,-,-,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 19, 2015",Algeria vs South Africa
