,TeamName,Starter_1,Starter_2,Starter_3,Starter_4,Starter_5,Starter_6,Starter_7,Starter_8,Starter_9,Starter_10,Starter_11,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Unused_1,Unused_2,Unused_3,Unused_4,Unused_5,Unused_6,Unused_7,Unused_8,Unused_9,Unused_10,Unused_11,Unused_12,Unused_13,Unused_14,Unused_15,Competition,Date,Match
47,Senegal,1 Abdoulaye Diallo,2 Kara Mbodj,3 Kalidou Koulibaly,4 Cheikh M'Bengue,21 Lamine Gassama,8 Cheikhou Kouyaté,5 Idrissa Gueye,17 Badou Ndiaye,20 Keita Baldé,10 Sadio Mané,9 Mame Diouf,15 Pape Diop,22 Henri Saivet,18 Ismaïla Sarr,-,-,16 Khadim N'Diaye,23 Pape Seydou Ndiaye,14 Zargo Touré,19 Saliou Ciss,11 Cheikh N'Doye,12 Mohamed Diamé,6 Famara Diédhiou,7 Moussa Sow,13 Moussa Konaté,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 15, 2017",Tunisia vs Senegal
48,Algeria,16 Malik Asselah,2 Aïssa Mandi,21 Ramy Bensebaini,3 Faouzi Ghoulam,22 Mohamed Rabie Meftah,10 Nabil Bentaleb,17 Adlène Guédioura,11 Yacine Brahimi,18 Rachid Ghezzal,7 Riyad Mahrez,13 Islam Slimani,19 Mehdi Abeid,9 Sofiane Hanni,14 Baghdad Bounedjah,-,-,1 Chamseddine Rahmani,4 Liassine Cadamuro,5 Hicham Belkaroui,12 Mohamed Benyahia,6 Djamel Mesbah,20 Mokhtar Belkhiter,8 Ismaël Bennacer,-,-,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 19, 2017",Algeria vs Tunisia
48,Tunisia,16 Aymen Balbouli,3 Aymen Abdennour,2 Syam Ben Youssef,12 Ali Maâloul,21 Hamdi Nagguez,14 Mohamed Amine Ben Amor,13 Ferjani Sassi,23 Naïm Sliti,7 Youssef Msakni,10 Wahbi Khazri,9 Ahmed Akaichi,1 Rami Jeridi,20 Mohamed Ali Yaakoubi,11 Taha Yassine Khenissi,-,-,22 Moez Ben Cherifia,5 Slimen Kchouk,4 Zied Boughattas,6 Chamseddine Dhaouadi,17 Hamza Mathlouthi,18 Ahmed Khalil,8 Hamza Lahmar,15 Larry Azouni,19 Saber Khalifa,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 19, 2017",Algeria vs Tunisia
49,Senegal,1 Abdoulaye Diallo,2 Kara Mbodj,3 Kalidou Koulibaly,4 Cheikh M'Bengue,21 Lamine Gassama,8 Cheikhou Kouyaté,5 Idrissa Gueye,22 Henri Saivet,10 Sadio Mané,20 Keita Baldé,9 Mame Diouf,11 Cheikh N'Doye,18 Ismaïla Sarr,7 Moussa Sow,-,-,16 Khadim N'Diaye,23 Pape Seydou Ndiaye,14 Zargo Touré,19 Saliou Ciss,15 Pape Diop,12 Mohamed Diamé,6 Famara Diédhiou,13 Moussa Konaté,-,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 19, 2017",Senegal vs Zimbabwe
49,Zimbabwe,23 Takabva Mawaya,2 Costa Nhamoinesu,5 Elisha Muroiwa,6 Onismor Bhasera,4 Hardlife Zvirekwi,18 Marvelous Nakamba,14 Willard Katsande,7 Matthew Rusike,10 Kudakwashe Mahachi,20 Khama Billiat,9 Nyasha Mushekwi,8 Evans Rusike,11 Tendai Ndoro,13 Cuthbert Malajila,-,-,1 Bernard Donovan,16 Tatenda Mkuruva,15 Teenage Hadebe,19 Lawrence Mhlanga,12 Bruce Kangwa,3 Danny Phiri,22 Oscar Machapa,21 Tino Kadewere,-,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 19, 2017",Senegal vs Zimbabwe
50,Zimbabwe,16 Tatenda Mkuruva,2 Costa Nhamoinesu,5 Elisha Muroiwa,6 Onismor Bhasera,4 Hardlife Zvirekwi,3 Danny Phiri,14 Willard Katsande,18 Marvelous Nakamba,17 Knowledge Musona,20 Khama Billiat,9 Nyasha Mushekwi,10 Kudakwashe Mahachi,11 Tendai Ndoro,-,-,-,1 Bernard Donovan,23 Takabva Mawaya,15 Teenage Hadebe,19 Lawrence Mhlanga,12 Bruce Kangwa,22 Oscar Machapa,7 Matthew Rusike,8 Evans Rusike,13 Cuthbert Malajila,21 Tino Kadewere,-,-,-,-,-,African Cup of Nations 2017,"Jan 23, 2017",Zimbabwe vs Tunisia
50,Tunisia,1 Rami Jeridi,3 Aymen Abdennour,2 Syam Ben Youssef,12 Ali Maâloul,21 Hamdi Nagguez,14 Mohamed Amine Ben Amor,13 Ferjani Sassi,7 Youssef Msakni,23 Naïm Sliti,10 Wahbi Khazri,11 Taha Yassine Khenissi,8 Hamza Lahmar,15 Larry Azouni,19 Saber Khalifa,-,-,22 Moez Ben Cherifia,5 Slimen Kchouk,4 Zied Boughattas,6 Chamseddine Dhaouadi,17 Hamza Mathlouthi,20 Mohamed Ali Yaakoubi,18 Ahmed Khalil,9 Ahmed Akaichi,-,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 23, 2017",Zimbabwe vs Tunisia
51,Senegal,16 Khadim N'Diaye,2 Kara Mbodj,11 Cheikh N'Doye,14 Zargo Touré,19 Saliou Ciss,15 Pape Diop,12 Mohamed Diamé,17 Badou Ndiaye,18 Ismaïla Sarr,13 Moussa Konaté,7 Moussa Sow,5 Idrissa Gueye,20 Keita Baldé,6 Famara Diédhiou,-,-,1 Abdoulaye Diallo,23 Pape Seydou Ndiaye,3 Kalidou Koulibaly,4 Cheikh M'Bengue,21 Lamine Gassama,8 Cheikhou Kouyaté,22 Henri Saivet,9 Mame Diouf,-,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 23, 2017",Senegal vs Algeria
51,Algeria,16 Malik Asselah,4 Liassine Cadamuro,2 Aïssa Mandi,3 Faouzi Ghoulam,22 Mohamed Rabie Meftah,17 Adlène Guédioura,10 Nabil Bentaleb,11 Yacine Brahimi,9 Sofiane Hanni,7 Riyad Mahrez,13 Islam Slimani,18 Rachid Ghezzal,14 Baghdad Bounedjah,-,-,-,1 Chamseddine Rahmani,5 Hicham Belkaroui,12 Mohamed Benyahia,6 Djamel Mesbah,20 Mokhtar Belkhiter,8 Ismaël Bennacer,19 Mehdi Abeid,-,-,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 23, 2017",Senegal vs Algeria
52,Ivory Coast,16 Sylvain Gbohouo,5 Wilfried Kanon,21 Eric Bailly,18 Adama Traoré,17 Serge Aurier,20 Geoffroy Serey Dié,11 Franck Kessié,6 Jean Michaël Seri,8 Salomon Kalou,9 Wilfried Zaha,14 Jonathan Kodjia,10 Cheick Doukouré,15 Max Gradel,12 Wilfried Bony,-,-,1 Mandé Sayouba,23 Badra Ali Sangaré,19 Simon Deli,4 Lamine Koné,22 Mamadou Bagayoko,3 Serge N'Guessan,7 Victorien Angban,2 Nicolas Pépé,13 Giovanni Sio,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 16, 2017",Ivory Coast vs Togo
52,Togo,16 Kossi Agassa,13 Sadat Ouro-Akoriko,21 Djené,15 Alaixys Romao,18 Lalawélé Atakora,17 Serge Gakpé,22 Ihlas Bebou,10 Floyd Ayité,7 Mathieu Dossevi,19 Kodjo Fo Doh Laba,4 Emmanuel Adebayor,5 Serge Akakpo,8 Komlan Agbégniadan,12 Razak Boukari,-,-,1 Cédric Mensah,23 Baba Tchagouni,9 Vincent Bossou,3 Hakim Ouro-Sama,6 Abdoul Gafar Mamah,11 Maklibè Kouloum,20 Henritse Eninful,2 Franco Atchou,14 Prince Segbefia,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 16, 2017",Ivory Coast vs Togo
53,DR Congo,1 Ley Matampi,5 Marcel Tisserand,14 Gabriel Zakuani,3 Fabrice N'Sakala,2 Issama Mpeko,18 Merveille Bokadi,22 Chancel Mbemba,15 Remi Mulumba,21 Firmin Mubele,6 Junior Kabananga,17 Cédric Bakambu,13 Lomalisa Mutambala,20 Jacques Maghoma,9 Dieumerci Mbokani,-,-,16 Nicaise Kudimbana,23 Joël Kiassumbua,4 Jordan Ikoko,7 Youssouf Mulumbu,8 Paul-José Mpoku,10 Neeskens Kebano,11 Jordan Botaka,19 Jeremy Bokila,12 Jonathan Bolingi,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 16, 2017",DR Congo vs Morocco
53,Morocco,12 Munir Mohamedi,6 Romain Saïss,4 Manuel da Costa,5 Medhi Benatia,8 Karim El Ahmadi,17 Nabil Dirar,2 Hamza Mendyl,14 Moubarak Boussoufa,16 Omar El Kaddouri,21 Mehdi Carcela-González,20 Aziz Bouhaddouz,11 Fayçal Fajr,7 Youssef En-Nesyri,9 Youssef El Arabi,-,-,1 Bono,22 Yassine El Kharroubi,18 Amine Atouchi,10 Faycal Rherras,3 Fouad Chafik,15 Youssef Aït Bennasser,19 Mounir Obbadi,13 Khalid Boutaïb,23 Rachid Alioui,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 16, 2017",DR Congo vs Morocco
54,Ivory Coast,16 Sylvain Gbohouo,5 Wilfried Kanon,21 Eric Bailly,18 Adama Traoré,17 Serge Aurier,20 Geoffroy Serey Dié,10 Cheick Doukouré,11 Franck Kessié,15 Max Gradel,9 Wilfried Zaha,12 Wilfried Bony,19 Simon Deli,8 Salomon Kalou,-,-,-,1 Mandé Sayouba,23 Badra Ali Sangaré,4 Lamine Koné,22 Mamadou Bagayoko,6 Jean Michaël Seri,3 Serge N'Guessan,7 Victorien Angban,2 Nicolas Pépé,13 Giovanni Sio,14 Jonathan Kodjia,-,-,-,-,-,African Cup of Nations 2017,"Jan 20, 2017",Ivory Coast vs DR Congo
54,DR Congo,1 Ley Matampi,5 Marcel Tisserand,18 Merveille Bokadi,2 Issama Mpeko,4 Jordan Ikoko,22 Chancel Mbemba,20 Jacques Maghoma,10 Neeskens Kebano,21 Firmin Mubele,6 Junior Kabananga,9 Dieumerci Mbokani,7 Youssouf Mulumbu,15 Remi Mulumba,12 Jonathan Bolingi,-,-,16 Nicaise Kudimbana,23 Joël Kiassumbua,14 Gabriel Zakuani,3 Fabrice N'Sakala,8 Paul-José Mpoku,11 Jordan Botaka,19 Jeremy Bokila,17 Cédric Bakambu,-,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 20, 2017",Ivory Coast vs DR Congo
55,Morocco,12 Munir Mohamedi,6 Romain Saïss,4 Manuel da Costa,5 Medhi Benatia,8 Karim El Ahmadi,17 Nabil Dirar,2 Hamza Mendyl,14 Moubarak Boussoufa,16 Omar El Kaddouri,11 Fayçal Fajr,20 Aziz Bouhaddouz,15 Youssef Aït Bennasser,7 Youssef En-Nesyri,23 Rachid Alioui,-,-,1 Bono,22 Yassine El Kharroubi,18 Amine Atouchi,10 Faycal Rherras,3 Fouad Chafik,19 Mounir Obbadi,21 Mehdi Carcela-González,9 Youssef El Arabi,13 Khalid Boutaïb,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 20, 2017",Morocco vs Togo
55,Togo,16 Kossi Agassa,13 Sadat Ouro-Akoriko,15 Alaixys Romao,21 Djené,17 Serge Gakpé,10 Floyd Ayité,18 Lalawélé Atakora,7 Mathieu Dossevi,22 Ihlas Bebou,19 Kodjo Fo Doh Laba,4 Emmanuel Adebayor,14 Prince Segbefia,8 Komlan Agbégniadan,12 Razak Boukari,-,-,1 Cédric Mensah,23 Baba Tchagouni,9 Vincent Bossou,3 Hakim Ouro-Sama,5 Serge Akakpo,6 Abdoul Gafar Mamah,11 Maklibè Kouloum,20 Henritse Eninful,2 Franco Atchou,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 20, 2017",Morocco vs Togo
56,Morocco,12 Munir Mohamedi,6 Romain Saïss,4 Manuel da Costa,5 Medhi Benatia,8 Karim El Ahmadi,11 Fayçal Fajr,17 Nabil Dirar,2 Hamza Mendyl,14 Moubarak Boussoufa,7 Youssef En-Nesyri,20 Aziz Bouhaddouz,19 Mounir Obbadi,13 Khalid Boutaïb,23 Rachid Alioui,-,-,1 Bono,22 Yassine El Kharroubi,10 Faycal Rherras,3 Fouad Chafik,15 Youssef Aït Bennasser,16 Omar El Kaddouri,21 Mehdi Carcela-González,9 Youssef El Arabi,-,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 24, 2017",Morocco vs Ivory Coast
56,Ivory Coast,16 Sylvain Gbohouo,19 Simon Deli,21 Eric Bailly,5 Wilfried Kanon,17 Serge Aurier,20 Geoffroy Serey Dié,11 Franck Kessié,10 Cheick Doukouré,8 Salomon Kalou,9 Wilfried Zaha,12 Wilfried Bony,6 Jean Michaël Seri,15 Max Gradel,14 Jonathan Kodjia,-,-,1 Mandé Sayouba,23 Badra Ali Sangaré,4 Lamine Koné,18 Adama Traoré,22 Mamadou Bagayoko,3 Serge N'Guessan,7 Victorien Angban,2 Nicolas Pépé,13 Giovanni Sio,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 24, 2017",Morocco vs Ivory Coast
57,Togo,23 Baba Tchagouni,5 Serge Akakpo,13 Sadat Ouro-Akoriko,21 Djené,17 Serge Gakpé,18 Lalawélé Atakora,10 Floyd Ayité,22 Ihlas Bebou,7 Mathieu Dossevi,12 Razak Boukari,4 Emmanuel Adebayor,1 Cédric Mensah,15 Alaixys Romao,19 Kodjo Fo Doh Laba,-,-,16 Kossi Agassa,9 Vincent Bossou,3 Hakim Ouro-Sama,6 Abdoul Gafar Mamah,11 Maklibè Kouloum,20 Henritse Eninful,2 Franco Atchou,14 Prince Segbefia,8 Komlan Agbégniadan,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 24, 2017",Togo vs DR Congo
57,DR Congo,1 Ley Matampi,5 Marcel Tisserand,18 Merveille Bokadi,13 Lomalisa Mutambala,2 Issama Mpeko,22 Chancel Mbemba,7 Youssouf Mulumbu,10 Neeskens Kebano,21 Firmin Mubele,6 Junior Kabananga,12 Jonathan Bolingi,8 Paul-José Mpoku,11 Jordan Botaka,19 Jeremy Bokila,-,-,16 Nicaise Kudimbana,23 Joël Kiassumbua,3 Fabrice N'Sakala,15 Remi Mulumba,9 Dieumerci Mbokani,17 Cédric Bakambu,-,-,-,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 24, 2017",Togo vs DR Congo
58,Ghana,1 Brimah Razak,18 Daniel Amartey,21 John Boye,17 Abdul Rahman Baba,23 Harrison Afful,5 Thomas Partey,11 Mubarak Wakaso,10 André Ayew,7 Christian Atsu,3 Asamoah Gyan,9 Jordan Ayew,6 Afriyie Acquah,8 Emmanuel Badu,22 Frank Acheampong,-,-,12 Richard Ofori,16 Fatawu Dauda,4 Jonathan Mensah,19 Edwin Gyimah,2 Andy Yiadom,15 Ebenezer Ofori,20 Samuel Tetteh,14 Bernard Tekpetey,13 Ebenezer Assifuah,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 17, 2017",Ghana vs Uganda
58,Uganda,18 Denis Onyango,5 Isaac Isinde,16 Hassan Wasswa,2 Joseph Ochaya,12 Denis Iguma,6 Tony Mawejje,3 Geoffrey Kizito,23 Mike Azira,17 Farouk Miya,10 Kizito,11 Geofrey Massa,13 Moses Oloya,9 Geoffrey Sserunkuma,21 Muhammad Shaban,-,-,1 Robert Odongkara,19 Salim Magoola,20 Timothy Dennis Awany,15 Godfrey Walusimbi,22 Shafik Batambuze,14 Nicholas Wadada,7 Yunus Sentamu,-,-,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 17, 2017",Ghana vs Uganda
59,Mali,1 Oumar Sissoko,4 Salif Coulibaly,13 Molla Wagué,2 Hamari Traoré,23 Ousmane Coulibaly,8 Yacouba Sylla,17 Mamoutou N'Diaye,14 Sambou Yatabaré,6 Lassana Coulibaly,11 Bakary Sako,9 Moussa Marega,18 Samba Sow,20 Yves Bissouma,-,-,-,16 Soumbeyla Diakite,22 Djigui Diarra,15 Mohamed Konate,21 Mahamadou N'Diaye,3 Youssouf Koné,5 Charles Traoré,19 Adama Traoré,12 Moussa Doumbia,7 Mustapha Yatabaré,10 Kalifa Coulibaly,-,-,-,-,-,African Cup of Nations 2017,"Jan 17, 2017",Mali vs Egypt
59,Egypt,23 Ahmed El Shenawy,2 Ali Gabr,6 Ahmed Hegazy,13 Mohamed Abdelshafi,7 Ahmed Fathi,8 Tarek Hamed,17 Mohamed Elneny,19 Abdallah Said,21 Mahmoud Trezeguet,10 Mohamed Salah,18 Marwan Mohsen,1 Essam El Hadary,14 Ramadan Sobhi,9 Ahmed Hassan,-,-,16 Sherif Ekramy,12 Ahmed Dowidar,20 Saad Samir,15 Karim Hafez,3 Ahmed El Mohamady,4 Omar Gaber,5 Ibrahim Salah,22 Amr Warda,11 Kahraba,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 17, 2017",Mali vs Egypt
60,Ghana,1 Brimah Razak,18 Daniel Amartey,21 John Boye,22 Frank Acheampong,23 Harrison Afful,5 Thomas Partey,11 Mubarak Wakaso,10 André Ayew,7 Christian Atsu,3 Asamoah Gyan,9 Jordan Ayew,6 Afriyie Acquah,8 Emmanuel Badu,-,-,-,12 Richard Ofori,16 Fatawu Dauda,4 Jonathan Mensah,19 Edwin Gyimah,2 Andy Yiadom,15 Ebenezer Ofori,20 Samuel Tetteh,14 Bernard Tekpetey,13 Ebenezer Assifuah,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 21, 2017",Ghana vs Mali
60,Mali,1 Oumar Sissoko,4 Salif Coulibaly,13 Molla Wagué,2 Hamari Traoré,23 Ousmane Coulibaly,8 Yacouba Sylla,17 Mamoutou N'Diaye,14 Sambou Yatabaré,11 Bakary Sako,7 Mustapha Yatabaré,9 Moussa Marega,20 Yves Bissouma,12 Moussa Doumbia,10 Kalifa Coulibaly,-,-,16 Soumbeyla Diakite,22 Djigui Diarra,15 Mohamed Konate,21 Mahamadou N'Diaye,3 Youssouf Koné,5 Charles Traoré,18 Samba Sow,6 Lassana Coulibaly,19 Adama Traoré,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 21, 2017",Ghana vs Mali
61,Egypt,1 Essam El Hadary,2 Ali Gabr,6 Ahmed Hegazy,13 Mohamed Abdelshafi,7 Ahmed Fathi,8 Tarek Hamed,17 Mohamed Elneny,14 Ramadan Sobhi,11 Mahmoud Trezeguet,10 Mohamed Salah,18 Marwan Mohsen,19 Abdallah Said,22 Amr Warda,21 Kahraba,-,-,16 Sherif Ekramy,12 Ahmed Dowidar,20 Saad Samir,15 Karim Hafez,3 Ahmed El Mohamady,4 Omar Gaber,5 Ibrahim Salah,9 Ahmed Hassan,-,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 21, 2017",Egypt vs Uganda
61,Uganda,18 Denis Onyango,4 Murshid Juuko,16 Hassan Wasswa,15 Godfrey Walusimbi,12 Denis Iguma,8 Khalid Aucho,3 Geoffrey Kizito,6 Tony Mawejje,2 Joseph Ochaya,17 Farouk Miya,11 Geofrey Massa,14 Nicholas Wadada,13 Moses Oloya,21 Muhammad Shaban,-,-,1 Robert Odongkara,19 Salim Magoola,20 Timothy Dennis Awany,5 Isaac Isinde,22 Shafik Batambuze,23 Mike Azira,7 Yunus Sentamu,9 Geoffrey Sserunkuma,10 Kizito,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 21, 2017",Egypt vs Uganda
62,Egypt,1 Essam El Hadary,2 Ali Gabr,6 Ahmed Hegazy,7 Ahmed Fathi,3 Ahmed El Mohamady,8 Tarek Hamed,17 Mohamed Elneny,19 Abdallah Said,21 Mahmoud Trezeguet,10 Mohamed Salah,18 Marwan Mohsen,22 Amr Warda,11 Kahraba,-,-,-,16 Sherif Ekramy,12 Ahmed Dowidar,20 Saad Samir,15 Karim Hafez,4 Omar Gaber,5 Ibrahim Salah,14 Ramadan Sobhi,9 Ahmed Hassan,-,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 25, 2017",Egypt vs Ghana
62,Ghana,1 Brimah Razak,4 Jonathan Mensah,21 John Boye,23 Harrison Afful,2 Andy Yiadom,18 Daniel Amartey,8 Emmanuel Badu,10 André Ayew,7 Christian Atsu,20 Samuel Tetteh,3 Asamoah Gyan,11 Mubarak Wakaso,14 Bernard Tekpetey,9 Jordan Ayew,-,-,12 Richard Ofori,16 Fatawu Dauda,19 Edwin Gyimah,15 Ebenezer Ofori,5 Thomas Partey,6 Afriyie Acquah,22 Frank Acheampong,13 Ebenezer Assifuah,-,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 25, 2017",Egypt vs Ghana
63,Uganda,1 Robert Odongkara,4 Murshid Juuko,16 Hassan Wasswa,15 Godfrey Walusimbi,12 Denis Iguma,8 Khalid Aucho,3 Geoffrey Kizito,13 Moses Oloya,2 Joseph Ochaya,17 Farouk Miya,10 Kizito,6 Tony Mawejje,23 Mike Azira,11 Geofrey Massa,-,-,19 Salim Magoola,18 Denis Onyango,20 Timothy Dennis Awany,5 Isaac Isinde,22 Shafik Batambuze,14 Nicholas Wadada,7 Yunus Sentamu,9 Geoffrey Sserunkuma,21 Muhammad Shaban,-,-,-,-,-,-,African Cup of Nations 2017,"Jan 25, 2017",Uganda vs Mali
63,Mali,1 Oumar Sissoko,13 Molla Wagué,21 Mahamadou N'Diaye,2 Hamari Traoré,23 Ousmane Coulibaly,8 Yacouba Sylla,17 Mamoutou N'Diaye,20 Yves Bissouma,12 Moussa Doumbia,6 Lassana Coulibaly,9 Moussa Marega,7 Mustapha Yatabaré,10 Kalifa Coulibaly,-,-,-,16 Soumbeyla Diakite,22 Djigui Diarra,4 Salif Coulibaly,15 Mohamed Konate,3 Youssouf Koné,5 Charles Traoré,18 Samba Sow,14 Sambou Yatabaré,19 Adama Traoré,11 Bakary Sako,-,-,-,-,-,African Cup of Nations 2017,"Jan 25, 2017",Uganda vs Mali
64,Senegal,23 Alfred Gomis,6 Salif Sané,8 Cheikhou Kouyaté,12 Youssouf Sabaly,21 Lamine Gassama,17 Badou Ndiaye,5 Idrissa Gueye,14 Henri Saivet,10 Sadio Mané,18 Ismaïla Sarr,9 M'Baye Niang,15 Krépin Diatta,11 Keita Baldé,19 Mbaye Diagne,-,-,1 Abdoulaye Diallo,16 Edouard Mendy,4 Pape Abou Cissé,2 Saliou Ciss,22 Moussa Wagué,13 Alfred N'Diaye,20 Sada Thioub,7 Moussa Konaté,-,-,-,-,-,-,-,African Cup of Nations 2019,"Fri Jul 19, 2019",Senegal vs Algeria
64,Algeria,23 Raïs M'Bolhi,2 Aïssa Mandi,4 Djamel Eddine Benlamri,21 Ramy Bensebaini,18 Mehdi Zeffane,17 Adlène Guédioura,22 Ismaël Bennacer,10 Sofiane Feghouli,8 Youcef Belaïli,7 Riyad Mahrez,9 Baghdad Bounedjah,3 Mehdi Tahrat,11 Yacine Brahimi,13 Islam Slimani,-,-,1 Azzedine Doukha,16 Alexandre Oukidja,5 Rafik Halliche,6 Mohamed Salim Fares,20 Youcef Atal,14 Hicham Boudaoui,19 Mehdi Abeid,12 Adam Ounas,15 Andy Delort,-,-,-,-,-,-,African Cup of Nations 2019,"Fri Jul 19, 2019",Senegal vs Algeria
65,Tunisia,22 Moez Ben Cherifia,4 Yassine Meriah,21 Nassim Hnid,5 Oussama Haddadi,14 Mohamed Dräger,17 Ellyes Skhiri,13 Ferjani Sassi,20 Ghaylen Chaalali,10 Wahbi Khazri,9 Anice Badri,11 Taha Yassine Khenissi,6 Rami Bedoui,23 Naïm Sliti,8 Firas Chaouat,-,-,1 Farouk Ben Mustapha,16 Mouez Hassen,3 Dylan Bronn,15 Marc Lamti,19 Ayman Ben Mohamed,2 Wajdi Kechrida,12 Karim Aouadhi,7 Youssef Msakni,18 Bassem Srarfi,-,-,-,-,-,-,African Cup of Nations 2019,"Wed Jul 17, 2019",Tunisia vs Nigeria
65,Nigeria,23 Francis Uzoho,5 William Troost-Ekong,22 Kenneth Omeruo,3 Jamilu Collins,2 Ola Aina,4 Wilfred Ndidi,8 Peter Etebo,18 Alex Iwobi,7 Ahmed Musa,13 Samuel Chukwueze,9 Odion Ighalo,15 Moses Simon,17 Samuel Kalu,21 Victor Osimhen,-,-,1 Ikechukwu Ezenwa,16 Daniel Akpeyi,6 Leon Balogun,12 Abdullahi Shehu,19 John Ogu,11 Henry Onyekuru,14 Paul Onuachu,-,-,-,-,-,-,-,-,African Cup of Nations 2019,"Wed Jul 17, 2019",Tunisia vs Nigeria
66,Senegal,23 Alfred Gomis,3 Kalidou Koulibaly,8 Cheikhou Kouyaté,12 Youssouf Sabaly,21 Lamine Gassama,17 Badou Ndiaye,5 Idrissa Gueye,14 Henri Saivet,10 Sadio Mané,15 Krépin Diatta,9 M'Baye Niang,6 Salif Sané,22 Moussa Wagué,18 Ismaïla Sarr,19 Mbaye Diagne,-,1 Abdoulaye Diallo,4 Pape Abou Cissé,2 Saliou Ciss,13 Alfred N'Diaye,20 Sada Thioub,11 Keita Baldé,7 Moussa Konaté,-,-,-,-,-,-,-,-,African Cup of Nations 2019,"Sun Jul 14, 2019",Senegal vs Tunisia
66,Tunisia,16 Mouez Hassen,3 Dylan Bronn,4 Yassine Meriah,5 Oussama Haddadi,14 Mohamed Dräger,17 Ellyes Skhiri,19 Ayman Ben Mohamed,13 Ferjani Sassi,7 Youssef Msakni,10 Wahbi Khazri,11 Taha Yassine Khenissi,20 Ghaylen Chaalali,23 Naïm Sliti,8 Firas Chaouat,9 Anice Badri,-,1 Farouk Ben Mustapha,22 Moez Ben Cherifia,6 Rami Bedoui,15 Marc Lamti,21 Nassim Hnid,2 Wajdi Kechrida,12 Karim Aouadhi,18 Bassem Srarfi,-,-,-,-,-,-,-,African Cup of Nations 2019,"Sun Jul 14, 2019",Senegal vs Tunisia
67,Algeria,23 Raïs M'Bolhi,2 Aïssa Mandi,4 Djamel Eddine Benlamri,21 Ramy Bensebaini,18 Mehdi Zeffane,17 Adlène Guédioura,22 Ismaël Bennacer,10 Sofiane Feghouli,8 Youcef Belaïli,7 Riyad Mahrez,9 Baghdad Bounedjah,-,-,-,-,-,1 Azzedine Doukha,16 Alexandre Oukidja,3 Mehdi Tahrat,5 Rafik Halliche,6 Mohamed Salim Fares,20 Youcef Atal,14 Hicham Boudaoui,19 Mehdi Abeid,11 Yacine Brahimi,12 Adam Ounas,13 Islam Slimani,15 Andy Delort,-,-,-,African Cup of Nations 2019,"Sun Jul 14, 2019",Algeria vs Nigeria
67,Nigeria,16 Daniel Akpeyi,5 William Troost-Ekong,22 Kenneth Omeruo,3 Jamilu Collins,20 Chidozie Awaziem,4 Wilfred Ndidi,8 Peter Etebo,18 Alex Iwobi,7 Ahmed Musa,13 Samuel Chukwueze,9 Odion Ighalo,11 Henry Onyekuru,-,-,-,-,1 Ikechukwu Ezenwa,23 Francis Uzoho,6 Leon Balogun,2 Ola Aina,10 John Obi Mikel,12 Abdullahi Shehu,19 John Ogu,15 Moses Simon,17 Samuel Kalu,14 Paul Onuachu,21 Victor Osimhen,-,-,-,-,African Cup of Nations 2019,"Sun Jul 14, 2019",Algeria vs Nigeria
68,Senegal,23 Alfred Gomis,3 Kalidou Koulibaly,8 Cheikhou Kouyaté,12 Youssouf Sabaly,21 Lamine Gassama,17 Badou Ndiaye,5 Idrissa Gueye,14 Henri Saivet,11 Keita Baldé,10 Sadio Mané,9 M'Baye Niang,6 Salif Sané,15 Krépin Diatta,19 Mbaye Diagne,-,-,1 Abdoulaye Diallo,4 Pape Abou Cissé,2 Saliou Ciss,22 Moussa Wagué,13 Alfred N'Diaye,18 Ismaïla Sarr,20 Sada Thioub,7 Moussa Konaté,-,-,-,-,-,-,-,African Cup of Nations 2019,"Wed Jul 10, 2019",Senegal vs Benin
