,DF index,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,English Name,Name(s) Found,Market Value New,Status,Status New,Lookup Return Case,Match Case
40,914,508,"Euros 2016, Qualifiers",11.10.14,Northern Ireland vs Faroe Islands,2014,Faroe Islands,FO,Jónas Tór Naes,Nes,Jónas Tór Naes,100000,SUCCESS,Done,Found in Curr Season,single
13,1516,571,"Euros 2016, Qualifiers",13.10.14,Norway vs Bulgaria,2014,Bulgaria,BG,15. Христов,Ventsislav Hristov,Ventsislav Hristov,900000,SUCCESS,Done,Found in Curr Season,single
96,1660,588,"Euros 2016, Qualifiers",10.10.15,Norway vs Malta,2015,Norway,NO,16. Алисами,Haitam Aleesami,Haitam Aleesami,750000,SUCCESS,Done,Found in Curr Season,single
97,1666,588,"Euros 2016, Qualifiers",10.10.15,Norway vs Malta,2015,Malta,MT,5. Агиус Э.,Andrei Agius ,Andrei Agius ,100000,SUCCESS,Done,Found in Curr Season,single
125,1105,529,"Euros 2016, Qualifiers",08.10.15,Romania vs Finland,2015,Finland,FI,Jere Uronen,Dropped,Jere Uronen,900000,SUCCESS,Done,Found in Curr Season,single
34,861,506,"Euros 2016, Qualifiers",11.10.14,Romania vs Hungary,2014,Romania,RO,7. Кипчу,Kipchu,Alexandru Chipciu,3500000,SUCCESS,Done,Found in Curr Season,single
36,870,506,"Euros 2016, Qualifiers",11.10.14,Romania vs Hungary,2014,Hungary,HU,23. Юхас,Yuhas,Roland Juhász,1200000,SUCCESS,Done,Found in Curr Season,single
131,1145,533,"Euros 2016, Qualifiers",08.09.14,Russia vs Liechtenstein,2014,Liechtenstein,LI,8. Визер,Vieser,Sandro Wieser,350000,SUCCESS,Done,Found in Curr Season,single
132,1149,533,"Euros 2016, Qualifiers",08.09.14,Russia vs Liechtenstein,2014,Liechtenstein,LI,15. Сейхан Йилдиз,Ceyhan Yildiz,Seyhan Yildiz,25000,SUCCESS,Done,Found in Curr Season,single
133,1150,533,"Euros 2016, Qualifiers",08.09.14,Russia vs Liechtenstein,2014,Liechtenstein,LI,18. Н.Хаслер,N Hasler,Nicolas Hasler,350000,SUCCESS,Done,Found in Curr Season,single
0,1213,540,"Euros 2016, Qualifiers",12.10.14,Russia vs Moldova,2014,Moldova,MD,2. Армаш,Armash,Igor Armaş,1200000,SUCCESS,Done,Found in Curr Season,single
139,1833,822,"Euros 2020, Qualifiers",08.06.19,Russia vs San Marino,2019,San Marino,SM,6. Витайоли Ф.,F Vitaioli,Fabio Vitaioli,0,SUCCESS,Done,Only Before X,single
141,1840,833,"Euros 2020, Qualifiers",09.09.19,San Marino vs Cyprus,2019,San Marino,SM,2. Витайоли Ф.,F Vitaioli,Fabio Vitaioli,0,SUCCESS,Done,Only Before X,single
158,744,492,"Euros 2016, Qualifiers",05.09.15,San Marino vs England,2015,San Marino,SM,5. Симончини Д.,D Simoncini,Davide Simoncini,0,SUCCESS,Done,Had Both but Both Were Empty,single
22,693,483,"Euros 2016, Qualifiers",15.11.14,San Marino vs Estonia,2014,San Marino,SM,1. А.Симончини,Asimoncini,Aldo Simoncini,25000,SUCCESS,Done,Found in Curr Season,single
23,695,483,"Euros 2016, Qualifiers",15.11.14,San Marino vs Estonia,2014,San Marino,SM,4. Ф.Витайоли,F Vitaioli,Fabio Vitaioli,0,SUCCESS,Done,Had Both but Both Were Empty,single
24,696,483,"Euros 2016, Qualifiers",15.11.14,San Marino vs Estonia,2014,San Marino,SM,5. Д.Симончини,D Simonchini,Davide Simoncini,0,SUCCESS,Done,Had Both but Both Were Empty,single
142,1848,845,"Euros 2020, Qualifiers",19.11.19,San Marino vs Russia,2019,San Marino,SM,2. Витайоли Ф.,F Vitaioli,Fabio Vitaioli,0,SUCCESS,Done,Only Before X,single
21,673,481,"Euros 2016, Qualifiers",14.10.14,San Marino vs Switzerland,2014,San Marino,SM,4. Витайоли Ф.,F Vitaioli,Fabio Vitaioli,0,SUCCESS,Done,Had Both but Both Were Empty,single
80,459,447,"Euros 2016, Qualifiers",11.10.14,Scotland vs Georgia,2014,Georgia,GE,20. Казаишвили,Kazaishvili,Valeri Qazaishvili,1500000,SUCCESS,Done,Found in Curr Season,single
105,315,426,"Euros 2016, Qualifiers",27.03.15,Slovakia vs Luxembourg,2015,Luxembourg,LU,Maxime Chanot,Shano,Maxime Chanot,1500000,SUCCESS,Done,Found in Curr Season,single
68,248,418,"Euros 2016, Qualifiers",09.10.14,Slovakia vs Spain,2014,Slovakia,SK,Norbert Gyomber,Diomber,Norbert Gyomber,800000,SUCCESS,Done,Found in Curr Season,single
29,801,498,"Euros 2016, Qualifiers",09.10.15,Slovenia vs Lithuania,2015,Lithuania,LT,10. Сливка,Vykintas Slivka,Vykintas Slivka,75000,SUCCESS,Done,Found in Curr Season,single
124,399,439,"Euros 2016, Qualifiers",09.10.15,Spain vs Luxembourg,2015,Luxembourg,LU,Maxime Chanot,Shano,Maxime Chanot,1500000,SUCCESS,Done,Found in Curr Season,single
113,362,433,"Euros 2016, Qualifiers",05.09.15,Spain vs Slovakia,2015,Slovakia,SK,3. Дембер,Norbert Gyomber,Norbert Gyomber,800000,SUCCESS,Done,Found in Curr Season,single
114,365,433,"Euros 2016, Qualifiers",05.09.15,Spain vs Slovakia,2015,Slovakia,SK,13. Грошовски,Grośowski,Patrik Hrosovsky,600000,SUCCESS,Done,Found in Curr Season,single
1,1224,541,"Euros 2016, Qualifiers",12.10.14,Sweden vs Liechtenstein,2014,Liechtenstein,LI,12. Бичер,Cengiz Biçer,Cengiz Biçer,100000,SUCCESS,Done,Found in Curr Season,single
2,1230,541,"Euros 2016, Qualifiers",12.10.14,Sweden vs Liechtenstein,2014,Liechtenstein,LI,13. Бюхель М.,M Büchel,Martin Büchel,0,SUCCESS,Done,Found in Curr Season,single
154,1394,562,"Euros 2016, Qualifiers",12.10.15,Sweden vs Moldova,2015,Moldova,MD,20. Время,Alexandru Vremea,Alexandru Vremea,250000,SUCCESS,Done,Found in Curr Season,single
155,721,484,"Euros 2016, Qualifiers",15.11.14,Switzerland vs Lithuania,2014,Lithuania,LT,15. Хведукас,Karolis Chvedukas,Karolis Chvedukas,275000,SUCCESS,Done,Found in Curr Season,single
30,806,499,"Euros 2016, Qualifiers",09.10.15,Switzerland vs San Marino,2015,San Marino,SM,11. Чезарини,Davide Cesarini,Davide Cesarini,0,SUCCESS,Done,Found in Curr Season,single
28,1981,364,"Euros 2016, Qualifiers",16.11.14,Turkey vs Kazakhstan,2014,Kazakhstan,KZ,Mark Gurman,The Gourmand,Mark Gurman,300000,SUCCESS,Done,Found in Curr Season,single
86,2029,373,"Euros 2016, Qualifiers",03.09.15,Turkey vs Latvia,2015,Latvia,LV,8. Цауня,Tsaunya,Aleksandrs Cauna,1200000,SUCCESS,Done,Only Before,single
107,325,428,"Euros 2016, Qualifiers",14.06.15,Ukraine vs Luxembourg,2015,Luxembourg,LU,Maxime Chanot,Shano,Maxime Chanot,1500000,SUCCESS,Done,Found in Curr Season,single
69,250,419,"Euros 2016, Qualifiers",12.10.14,Ukraine vs North Macedonia,2014,N. Macedonia,MK,Tome Pačovski,Pachowski,Tome Pačovski,600000,SUCCESS,Done,Found in Curr Season,single
65,212,415,"Euros 2016, Qualifiers",08.09.14,Ukraine vs Slovakia,2014,Slovakia,SK,Norbert Gyomber,Diomber,Norbert Gyomber,800000,SUCCESS,Done,Found in Curr Season,single
10,2317,404,"Euros 2016, Qualifiers",06.09.15,Wales vs Israel,2015,Israel,IL,19. Огани,Ogani,Orel Dgani,600000,SUCCESS,Done,Only Before,single
