,DF index,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,English Name,Name(s) Found,Market Value New,Status,Status New,Lookup Return Case,Match Case
16,1585,581,"Euros 2016, Qualifiers",03.09.15,Azerbaijan vs Croatia,2015,Azerbaijan,AZ,2. Гараев,Garaev,Qara Qarayev,500000,SUCCESS,Done,Found in Curr Season,single
17,1589,581,"Euros 2016, Qualifiers",03.09.15,Azerbaijan vs Croatia,2015,Azerbaijan,AZ,10. Р.Гурбанов,R Gurbanov,Ruslan Qurbanov,150000,SUCCESS,Done,Found in Curr Season,single
95,1657,587,"Euros 2016, Qualifiers",10.10.15,Azerbaijan vs Italy,2015,Azerbaijan,AZ,10. Гурбанов Р.,R Gurbanov,Ruslan Qurbanov,150000,SUCCESS,Done,Found in Curr Season,single
91,2829,1512,Nations League 2018-2020,07.09.18,Azerbaijan vs Kosovo,2018,Azerbaijan,AZ,10. Гурбанов Р.,R Gurbanov,Ruslan Qurbanov,500000,SUCCESS,Done,Found in Curr Season,single
14,1526,572,"Euros 2016, Qualifiers",16.11.14,Azerbaijan vs Norway,2014,Azerbaijan,AZ,7. Джавадов,Vaqif Cavadov,Vaqif Cavadov,300000,SUCCESS,Done,Found in Curr Season,single
115,369,434,"Euros 2016, Qualifiers",08.09.15,Belarus vs Luxembourg,2015,Luxembourg,LU,Maxime Chanot,Shano,Maxime Chanot,1500000,SUCCESS,Done,Found in Curr Season,single
116,375,434,"Euros 2016, Qualifiers",08.09.15,Belarus vs Luxembourg,2015,Luxembourg,LU,18. Жанс,Zhans,Laurent Jans,650000,SUCCESS,Done,Found in Curr Season,single
75,408,440,"Euros 2016, Qualifiers",12.10.15,Belarus vs North Macedonia,2015,N. Macedonia,MK,3. Жута,Leonard Zuta,Leonard Zuta,500000,SUCCESS,Done,Found in Curr Season,single
70,261,420,"Euros 2016, Qualifiers",12.10.14,Belarus vs Slovakia,2014,Slovakia,SK,Norbert Gyomber,Diomber,Norbert Gyomber,800000,SUCCESS,Done,Found in Curr Season,single
61,2119,385,"Euros 2016, Qualifiers",10.10.14,Belgium vs Andorra,2014,Andorra,AD,2. К.Мартинес,Cristian Martínez,Cristian Martínez,0,SUCCESS,Done,Found in Curr Season,single
19,194,410,"Euros 2016, Qualifiers",13.10.15,Belgium vs Israel,2015,Israel,IL,19. Огани,Ogani,Orel Dgani,600000,SUCCESS,Done,Only Before,single
49,10,1237,Copa America 2015,22.06.15,Brazil vs Venezuela,2015,Venezuela,VE,6. Сикеро,Siquero,Gabriel Cichero,750000,SUCCESS,Done,Found in Curr Season,single
15,1549,573,"Euros 2016, Qualifiers",16.11.14,Bulgaria vs Malta,2014,Bulgaria,BG,22. Г.Илиев,Georgi Iliev,Georgi Iliev,500000,SUCCESS,Done,Found in Curr Season,single
145,2586,188,World Cup 2014,19.06.14,Colombia vs Ivory Coast,2014,Ivory Coast,CI,1. Барри,Barry,Boubacar Copa,1500000,SUCCESS,Done,Found in Curr Season,single
166,1477,569,"Euros 2016, Qualifiers",13.10.14,Croatia vs Azerbaijan,2014,Azerbaijan,AZ,2. Гараев,Garaev,Qara Qarayev,500000,SUCCESS,Done,Found in Curr Season,single
167,1482,569,"Euros 2016, Qualifiers",13.10.14,Croatia vs Azerbaijan,2014,Azerbaijan,AZ,11. Алиев,Rauf Aliyev,Rauf Aliyev,200000,SUCCESS,Done,Found in Curr Season,single
146,2233,392,"Euros 2016, Qualifiers",16.11.14,Cyprus vs Andorra,2014,Andorra,AD,2. К.Мартинс,Cristian Martínez,Cristian Martínez,0,SUCCESS,Done,Found in Curr Season,single
147,2255,402,"Euros 2016, Qualifiers",03.09.15,Cyprus vs Wales,2015,Cyprus,CY,2. Досса жуниор,Dossajunior,Dossa Júnior,550000,SUCCESS,Done,Found in Curr Season,single
83,2005,371,"Euros 2016, Qualifiers",03.09.15,Czech vs Kazakhstan,2015,Kazakhstan,KZ,2. Малый,Sergey Maliy,Sergey Maliy,300000,SUCCESS,Done,Found in Curr Season,single
84,2006,371,"Euros 2016, Qualifiers",03.09.15,Czech vs Kazakhstan,2015,Kazakhstan,KZ,Mark Gurman,The Gourmand,Mark Gurman,360000,SUCCESS,Done,Only Before,single
