,Unnamed: 0.1,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case
411,56504,404,3962,"World Cup 2014, Qualifiers, CONCACAF",Panama vs USA,15-Oct-13,Panama,PA,2013,SUCCESS,"['Alberto Quintero', 'Cristian Quintero']",0.0,False,Large Dataset said 0,False,"['Alberto Quintero', 'Cristian Quintero']",Quintero,multiple
412,56833,733,3978,"World Cup 2018, Qualifiers, CONCACAF",Nicaragua vs Suriname,7-Jun-15,Nicaragua,NI,2015,SUCCESS,"['Carlos Chavarría', 'Adrián Chavarría']",0.0,False,Large Dataset said 0,False,"['Carlos Chavarría', 'Adrián Chavarría']",Chavarria,multiple
413,56836,736,3978,"World Cup 2018, Qualifiers, CONCACAF",Nicaragua vs Suriname,7-Jun-15,Nicaragua,NI,2015,SUCCESS,"['Norfran Lazo', 'Érick Lazo']",0.0,False,Large Dataset said 0,False,"['Norfran Lazo', 'Érick Lazo']",Lazo,multiple
414,56839,739,3978,"World Cup 2018, Qualifiers, CONCACAF",Nicaragua vs Suriname,7-Jun-15,Suriname,SR,2015,SUCCESS,"['Joel Baja', 'Andwello Baja']",0.0,False,Large Dataset said 0,False,"['Joel Baja', 'Andwello Baja']",Baja,multiple
415,56844,744,3978,"World Cup 2018, Qualifiers, CONCACAF",Nicaragua vs Suriname,7-Jun-15,Suriname,SR,2015,SUCCESS,"['Jetro Fer', 'Roxey Fer', 'Donnegy Fer']",0.0,False,Large Dataset said 0,False,"['Jetro Fer', 'Roxey Fer', 'Donnegy Fer']",Fer,multiple
416,56961,861,3984,"World Cup 2018, Qualifiers, CONCACAF",Dominica vs Canada,11-Jun-15,Dominica,DM,2015,SUCCESS,"['Glenson Prince', 'Hubert Prince', 'Joslyn Prince', 'Joel Prince']",0.0,False,Large Dataset said 0,False,"['Glenson Prince', 'Hubert Prince', 'Joslyn Prince', 'Joel Prince']",Prince,multiple
417,56964,864,3984,"World Cup 2018, Qualifiers, CONCACAF",Dominica vs Canada,11-Jun-15,Dominica,DM,2015,SUCCESS,"['Rashid Bertrand', 'Chad Bertrand', 'Euclid Bertrand']",0.0,False,Large Dataset said 0,False,"['Rashid Bertrand', 'Chad Bertrand', 'Euclid Bertrand']",Bertrand,multiple
418,56965,865,3984,"World Cup 2018, Qualifiers, CONCACAF",Dominica vs Canada,11-Jun-15,Dominica,DM,2015,SUCCESS,"['Jerome Thomas', 'Eddie Thomas', 'Briel Thomas', 'Kimani Thomas', 'Neilbert Thomas', 'Keeyan Thomas']",0.0,False,Large Dataset said 0,False,"['Jerome Thomas', 'Eddie Thomas', 'Briel Thomas', 'Kimani Thomas', 'Neilbert Thomas', 'Keeyan Thomas']",Thomas,multiple
419,56966,866,3984,"World Cup 2018, Qualifiers, CONCACAF",Dominica vs Canada,11-Jun-15,Dominica,DM,2015,SUCCESS,"['Glenson Prince', 'Hubert Prince', 'Joslyn Prince', 'Joel Prince']",0.0,False,Large Dataset said 0,False,"['Glenson Prince', 'Hubert Prince', 'Joslyn Prince', 'Joel Prince']",Prince,multiple
420,56968,868,3984,"World Cup 2018, Qualifiers, CONCACAF",Dominica vs Canada,11-Jun-15,Dominica,DM,2015,SUCCESS,"['Eric Wade', 'Julian Wade']",0.0,False,Large Dataset said 0,False,"['Eric Wade', 'Julian Wade']",Wade,multiple
421,57521,321,1531,Nations League 2018-2020,Gibraltar vs Liechtenstein,16.10.18,Liechtenstein,LI,2018,SUCCESS,"['Lucas Eberle', 'Fabian Eberle']",0.0,False,Large Dataset said 0,False,"['Lucas Eberle', 'Fabian Eberle']",Eberle,multiple
422,59207,907,3935,"World Cup 2014, Qualifiers, CONCACAF",Panama vs Costa Rica,06-Feb-13,Panama,PA,2013,SUCCESS,"['Marcos Sánchez', 'Jorlian Sánchez', 'Jean Carlos Sánchez']",0.0,False,Large Dataset said 0,False,"['Marcos Sánchez', 'Jorlian Sánchez', 'Jean Carlos Sánchez']",Sánchez,multiple
423,59211,911,3935,"World Cup 2014, Qualifiers, CONCACAF",Panama vs Costa Rica,06-Feb-13,Panama,PA,2013,SUCCESS,"['Rolando Escobar', 'Fidel Escobar']",0.0,False,Large Dataset said 0,False,"['Rolando Escobar', 'Fidel Escobar']",Escobar,multiple
424,59284,984,3938,"World Cup 2014, Qualifiers, CONCACAF",Jamaica vs Panama,22-Mar-13,Panama,PA,2013,SUCCESS,"['Marcos Sánchez', 'Jorlian Sánchez', 'Jean Carlos Sánchez']",0.0,False,Large Dataset said 0,False,"['Marcos Sánchez', 'Jorlian Sánchez', 'Jean Carlos Sánchez']",Sánchez,multiple
