,Unnamed: 0.1,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case
194,46841,641,1900,"World Cup Qualifiers, Africa, 2014",Egypt vs Guinea,10-09-2013,Egypt,EG,2013,FAIL,"['Ahmed Sobhi', 'Ahmed Sherwyda', 'Ahmed Eid']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS Ahmed Shedid",False,"['Ahmed Sobhi', 'Ahmed Sherwyda', 'Ahmed Eid']",Ahmed Shedid,multiple
195,47016,816,1908,"World Cup Qualifiers, Africa, 2014",Gambia vs Tanzania,07-09-2013,Gambia,GM,2013,FAIL,"['Bubacarr Sanneh', 'Bun Sanneh']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Bubacarr Sanneh', 'Bun Sanneh']",False,"['Bubacarr Sanneh', 'Bun Sanneh']",B Sanneh,multiple
196,47023,823,1908,"World Cup Qualifiers, Africa, 2014",Gambia vs Tanzania,07-09-2013,Gambia,GM,2013,FAIL,"['Momodou Ceesay', 'Matarr Ceesay']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Momodou Ceesay', 'Matarr Ceesay']",False,"['Momodou Ceesay', 'Matarr Ceesay']",M Ceesay,multiple
197,47049,849,1909,"World Cup Qualifiers, Africa, 2014",Ghana vs Egypt,15-10-2013,Egypt,EG,2013,FAIL,"['Ahmed Sobhi', 'Ahmed Sherwyda', 'Ahmed Eid']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS Ahmed Shedid",False,"['Ahmed Sobhi', 'Ahmed Sherwyda', 'Ahmed Eid']",Ahmed Shedid,multiple
198,49079,679,2861,"World Cup Qualifiers, Europe, 2014",Andorra vs Turkey,22-03-2013,Turkey,TR,2013,FAIL,"['Arda Turan', 'Atila Turan']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS A. Turan",False,"['Arda Turan', 'Atila Turan']",A Turan,multiple
199,51154,554,1997,"World Cup Qualifiers, Africa, 2018",Cote d'Ivoire vs Gabon,05-09-2017,Cote d'Ivoire,CI,2017,FAIL,"['Adama Traoré', 'Alassane Traoré']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 18 A. Traoré",False,"['Adama Traoré', 'Alassane Traoré']",A Traoré,multiple
200,51535,935,2014,"World Cup Qualifiers, Africa, 2018",South Africa vs Senegal,10-11-2017,Senegal,SN,2017,FAIL,"['Abdoulaye Diallo', 'Abdou Diallo']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS A. Diallo",False,"['Abdoulaye Diallo', 'Abdou Diallo']",A Diallo,multiple
201,52048,348,2544,"World Cup Qualifiers, Asia, 2022",Turkmenistan vs Sri Lanka,19-11-2019,Sri Lanka,LK,2019,FAIL,"['Mohamed Rifnas', 'Mohamed Nuskan', 'Mohamed Nifras']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Mohamed Rifnas', 'Mohamed Nuskan', 'Mohamed Nifras']",False,"['Mohamed Rifnas', 'Mohamed Nuskan', 'Mohamed Nifras']",Mohamed Fasal,multiple
202,52206,506,2552,"World Cup Qualifiers, Asia, 2022",Vietnam vs Japan,11-11-2021,Vietnam,VN,2021,FAIL,"['Minh Toan Tran', 'Phi Son Tran']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Minh Toan Tran', 'Phi Son Tran']",False,"['Minh Toan Tran', 'Phi Son Tran']",Bùi Tn Trng,multiple
203,52215,515,2552,"World Cup Qualifiers, Asia, 2022",Vietnam vs Japan,11-11-2021,Vietnam,VN,2021,FAIL,"['Nguyen Sa Pham', 'Duy Cuong Luong']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Nguyen Sa Pham', 'Duy Cuong Luong']",False,"['Nguyen Sa Pham', 'Duy Cuong Luong']",Nguyn Công Phng,multiple
204,52357,657,2558,"World Cup Qualifiers, Asia, 2022",Indonesia vs Vietnam,15-10-2019,Vietnam,VN,2019,FAIL,"['Tuyen Quang Vu', 'Ngoc Quang Chau', 'Nguyen Manh Tran']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Tuyen Quang Vu', 'Ngoc Quang Chau', 'Nguyen Manh Tran']",False,"['Tuyen Quang Vu', 'Ngoc Quang Chau', 'Nguyen Manh Tran']",Nguyn Quang Hi,multiple
205,52425,725,2561,"World Cup Qualifiers, Asia, 2022",Guam vs Maldives,05-09-2019,Maldives,MV,2019,FAIL,"['Fayaz Abdulla', 'Azzam Abdulla', 'Ahmed Abdulla']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Fayaz Abdulla', 'Azzam Abdulla', 'Ahmed Abdulla']",False,"['Fayaz Abdulla', 'Azzam Abdulla', 'Ahmed Abdulla']",Assadhulla Abdulla,multiple
206,52448,748,2563,"World Cup Qualifiers, Asia, 2022",Vietnam vs Saudi Arabia,16-11-2021,Vietnam,VN,2021,FAIL,"['Minh Toan Tran', 'Phi Son Tran']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Minh Toan Tran', 'Phi Son Tran']",False,"['Minh Toan Tran', 'Phi Son Tran']",Bùi Tn Trng,multiple
207,52452,752,2563,"World Cup Qualifiers, Asia, 2022",Vietnam vs Saudi Arabia,16-11-2021,Vietnam,VN,2021,FAIL,"['Nguyen Manh Tran', 'Ngoc Thinh Vu']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Nguyen Manh Tran', 'Ngoc Thinh Vu']",False,"['Nguyen Manh Tran', 'Ngoc Thinh Vu']",Nguyn Thành Chung,multiple
208,52457,757,2563,"World Cup Qualifiers, Asia, 2022",Vietnam vs Saudi Arabia,16-11-2021,Vietnam,VN,2021,FAIL,"['Nguyen Sa Pham', 'Duy Cuong Luong']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Nguyen Sa Pham', 'Duy Cuong Luong']",False,"['Nguyen Sa Pham', 'Duy Cuong Luong']",Nguyn Công Phng,multiple
209,52576,876,2568,"World Cup Qualifiers, Asia, 2022",Qatar vs Oman,15-10-2019,Oman,OM,2019,FAIL,"['Ahmed Al-Khamisi', 'Ahmed Al-Kaabi', 'Khalid Al-Hajri']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 12 Ahmad Almahaijri",False,"['Ahmed Al-Khamisi', 'Ahmed Al-Kaabi', 'Khalid Al-Hajri']",Ahmad Almahaijri,multiple
210,52697,997,2574,"World Cup Qualifiers, Asia, 2022",Sri Lanka vs Turkmenistan,05-09-2019,Sri Lanka,LK,2019,FAIL,"['Mohamed Rifnas', 'Mohamed Nuskan', 'Mohamed Nifras']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Mohamed Rifnas', 'Mohamed Nuskan', 'Mohamed Nifras']",False,"['Mohamed Rifnas', 'Mohamed Nuskan', 'Mohamed Nifras']",Mohamed Fasal,multiple
211,54426,526,578,"Euros 2016, Qualifiers",Croatia vs Italy,12.06.15,Italy,IT,2015,FAIL,"['Lorenzo Pellegrini', 'Luca Pellegrini', 'Pietro Pellegri']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 20. Pelle",False,"['Lorenzo Pellegrini', 'Luca Pellegrini', 'Pietro Pellegri']",Pelle,multiple
212,54525,625,583,"Euros 2016, Qualifiers",Italy vs Malta,03.09.15,Italy,IT,2015,FAIL,"['Lorenzo Pellegrini', 'Luca Pellegrini', 'Pietro Pellegri']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 20. Pelle",False,"['Lorenzo Pellegrini', 'Luca Pellegrini', 'Pietro Pellegri']",Pelle,multiple
213,54592,692,586,"Euros 2016, Qualifiers",Italy vs Bulgaria,06.09.15,Italy,IT,2015,FAIL,"['Lorenzo Pellegrini', 'Luca Pellegrini', 'Pietro Pellegri']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 20. Pelle",False,"['Lorenzo Pellegrini', 'Luca Pellegrini', 'Pietro Pellegri']",Pelle,multiple
214,54624,724,587,"Euros 2016, Qualifiers",Azerbaijan vs Italy,10.10.15,Italy,IT,2015,FAIL,"['Lorenzo Pellegrini', 'Luca Pellegrini', 'Pietro Pellegri']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 9. Pelle",False,"['Lorenzo Pellegrini', 'Luca Pellegrini', 'Pietro Pellegri']",Pelle,multiple
