,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status II,Status III
1148,48,2681,"World Cup Qualifiers, Asia, 2022",Thailand vs Indonesia,03-06-2021,Thailand,TH,2021,FAIL,0,0.0,True,Lookup Required,False,0,E Amantegui,none,,
1164,64,2681,"World Cup Qualifiers, Asia, 2022",Thailand vs Indonesia,03-06-2021,Indonesia,ID,2021,FAIL,0,0,True,Lookup Required,False,0,W Sulaeman,none,,
1200,100,2683,"World Cup Qualifiers, Asia, 2022",Saudi Arabia vs Yemen,05-06-2021,Yemen,YE,2021,FAIL,0,0,True,Lookup Required,False,0,Ala Addin Mahdi,none,,
1259,159,2686,"World Cup Qualifiers, Asia, 2022",Turkmenistan vs North Korea,14-11-2019,Turkmenistan,TM,2019,FAIL,0,0,True,Lookup Required,False,0,W Ylýasow,none,,
1271,171,2686,"World Cup Qualifiers, Asia, 2022",Turkmenistan vs North Korea,14-11-2019,North Korea,KP,2019,FAIL,0,0,True,Lookup Required,False,0,Y Lee,none,,
1288,188,2687,"World Cup Qualifiers, Asia, 2022",Japan vs Vietnam,29-03-2022,Vietnam,VN,2022,FAIL,0,0,True,Lookup Required,False,0,H Tn Tài,none,,
1301,201,2688,"World Cup Qualifiers, Asia, 2022",Afghanistan vs Qatar,19-11-2019,Afghanistan,AF,2019,FAIL,0,0,True,Lookup Required,False,0,Haroon Fakhruddin,none,,
1530,430,2698,"World Cup Qualifiers, Asia, 2022",Oman vs Vietnam,12-10-2021,Vietnam,VN,2021,FAIL,0,0,True,Lookup Required,False,0,H Tn Tài,none,,
1536,436,2698,"World Cup Qualifiers, Asia, 2022",Oman vs Vietnam,12-10-2021,Vietnam,VN,2021,FAIL,0,0,True,Lookup Required,False,0,Phm c Huy,none,,
1611,511,2702,"World Cup Qualifiers, Asia, 2022",Vietnam vs United Arab Emirates,14-11-2019,Vietnam,VN,2019,FAIL,0,0,True,Lookup Required,False,0,oàn Văn Hu,none,,
1655,555,2704,"World Cup Qualifiers, Asia, 2022",Vietnam vs Thailand,19-11-2019,Vietnam,VN,2019,FAIL,0,0,True,Lookup Required,False,0,oàn Văn Hu,none,,
1694,594,2707,"World Cup Qualifiers, Asia, 2026",Brunei vs Indonesia,17-10-2023,Brunei,BN,2023,FAIL,0,0,True,Lookup Required,False,0,H Nyaring,none,,
1695,595,2707,"World Cup Qualifiers, Asia, 2026",Brunei vs Indonesia,17-10-2023,Brunei,BN,2023,FAIL,0,0,True,Lookup Required,False,0,Hanif Hamir,none,,
1696,596,2707,"World Cup Qualifiers, Asia, 2026",Brunei vs Indonesia,17-10-2023,Brunei,BN,2023,FAIL,0,0,True,Lookup Required,False,0,Nazhan Zulki,none,,
1697,597,2707,"World Cup Qualifiers, Asia, 2026",Brunei vs Indonesia,17-10-2023,Brunei,BN,2023,FAIL,0,0,True,Lookup Required,False,0,Alinur Rashimy Jufri,none,,
1698,598,2707,"World Cup Qualifiers, Asia, 2026",Brunei vs Indonesia,17-10-2023,Brunei,BN,2023,FAIL,0,0,True,Lookup Required,False,0,Haziq Hasimulabdillah,none,,
1699,599,2707,"World Cup Qualifiers, Asia, 2026",Brunei vs Indonesia,17-10-2023,Brunei,BN,2023,FAIL,0,0,True,Lookup Required,False,0,Nur Asyraffahmi Norsamri,none,,
1700,600,2707,"World Cup Qualifiers, Asia, 2026",Brunei vs Indonesia,17-10-2023,Brunei,BN,2023,FAIL,0,0,True,Lookup Required,False,0,H Yazid,none,,
1701,601,2707,"World Cup Qualifiers, Asia, 2026",Brunei vs Indonesia,17-10-2023,Brunei,BN,2023,FAIL,0,0,True,Lookup Required,False,0,Khairil Shahme Suhaimi,none,,
1702,602,2707,"World Cup Qualifiers, Asia, 2026",Brunei vs Indonesia,17-10-2023,Brunei,BN,2023,FAIL,0,0,True,Lookup Required,False,0,Y Indera Putera,none,,
1703,603,2707,"World Cup Qualifiers, Asia, 2026",Brunei vs Indonesia,17-10-2023,Brunei,BN,2023,FAIL,0,0,True,Lookup Required,False,0,H Azam,none,,
1704,604,2707,"World Cup Qualifiers, Asia, 2026",Brunei vs Indonesia,17-10-2023,Brunei,BN,2023,FAIL,0,0,True,Lookup Required,False,0,Azizi Ali Rahman,none,,
1713,613,2707,"World Cup Qualifiers, Asia, 2026",Brunei vs Indonesia,17-10-2023,Indonesia,ID,2023,FAIL,0,0,True,Lookup Required,False,0,W Sulaeman,none,,
1801,701,2711,"World Cup Qualifiers, Asia, 2026",Oman vs Chinese Taipei,16-11-2023,Chinese Taipei,TW,2023,FAIL,0,0,True,Lookup Required,False,0,Chin Wen-yen,none,,
1802,702,2711,"World Cup Qualifiers, Asia, 2026",Oman vs Chinese Taipei,16-11-2023,Chinese Taipei,TW,2023,FAIL,0,0,True,Lookup Required,False,0,A Kouame,none,,
1856,756,2714,"World Cup Qualifiers, Asia, 2026",Turkmenistan vs Uzbekistan,16-11-2023,Turkmenistan,TM,2023,FAIL,0,0,True,Lookup Required,False,0,W Ballakow,none,,
1860,760,2714,"World Cup Qualifiers, Asia, 2026",Turkmenistan vs Uzbekistan,16-11-2023,Uzbekistan,UZ,2023,FAIL,0,0,True,Lookup Required,False,0,H Aliqulov,none,,
1924,824,2717,"World Cup Qualifiers, Asia, 2026",Chinese Taipei vs Malaysia,21-11-2023,Chinese Taipei,TW,2023,FAIL,0,0,True,Lookup Required,False,0,A Kouame,none,,
2065,965,2723,"World Cup Qualifiers, Asia, 2026",Timor-Leste vs Chinese Taipei,17-10-2023,Chinese Taipei,TW,2023,FAIL,0,0,True,Lookup Required,False,0,A Kouame,none,,
2142,1042,2727,"World Cup Qualifiers, Asia, 2026",Saudi Arabia vs Pakistan,16-11-2023,Saudi Arabia,SA,2023,FAIL,0,0,True,Lookup Required,False,0,Muath Faqeehi,none,,
2159,1059,2728,"World Cup Qualifiers, Asia, 2026",Afghanistan vs Kuwait,21-11-2023,Afghanistan,AF,2023,FAIL,0,0,True,Lookup Required,False,0,Haroon Fakhruddin,none,,
2180,1080,2729,"World Cup Qualifiers, Asia, 2026",Uzbekistan vs Iran,21-11-2023,Uzbekistan,UZ,2023,FAIL,0,0,True,Lookup Required,False,0,H Aliqulov,none,,
2230,30,4200,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador vs Venezuela,07-Oct-11,Ecuador,EC,2011,FAIL,0,0.0,True,Lookup Required,False,0,Suárez,none,,
2231,31,4200,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador vs Venezuela,07-Oct-11,Ecuador,EC,2011,FAIL,0,0.0,True,Lookup Required,False,0,Benítez,none,,
2236,36,4200,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador vs Venezuela,07-Oct-11,Venezuela,VE,2011,FAIL,0,0.0,True,Lookup Required,False,0,Rey,none,,
2237,37,4200,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador vs Venezuela,07-Oct-11,Venezuela,VE,2011,FAIL,0,0.0,True,Lookup Required,False,0,Granados,none,,
2238,38,4200,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador vs Venezuela,07-Oct-11,Venezuela,VE,2011,FAIL,0,0.0,True,Lookup Required,False,0,Meza,none,,
2242,42,4200,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador vs Venezuela,07-Oct-11,Venezuela,VE,2011,FAIL,0,0.0,True,Lookup Required,False,0,Maldonado,none,,
2255,55,4201,"World Cup 2014, Qualifiers, CONMEBOL",Uruguay vs Bolivia,07-Oct-11,Bolivia,BO,2011,FAIL,0,0.0,True,Lookup Required,False,0,Arias,none,,
2257,57,4201,"World Cup 2014, Qualifiers, CONMEBOL",Uruguay vs Bolivia,07-Oct-11,Bolivia,BO,2011,FAIL,0,0.0,True,Lookup Required,False,0,Rivero,none,,
2261,61,4201,"World Cup 2014, Qualifiers, CONMEBOL",Uruguay vs Bolivia,07-Oct-11,Bolivia,BO,2011,FAIL,0,0.0,True,Lookup Required,False,0,Robles,none,,
2264,64,4201,"World Cup 2014, Qualifiers, CONMEBOL",Uruguay vs Bolivia,07-Oct-11,Bolivia,BO,2011,FAIL,0,0.0,True,Lookup Required,False,0,Bolivia,none,,
2268,68,4202,"World Cup 2014, Qualifiers, CONMEBOL",Argentina vs Chile,07-Oct-11,Argentina,AR,2011,FAIL,0,0.0,True,Lookup Required,False,0,Burdisso,none,,
2271,71,4202,"World Cup 2014, Qualifiers, CONMEBOL",Argentina vs Chile,07-Oct-11,Argentina,AR,2011,FAIL,0,0.0,True,Lookup Required,False,0,Braña,none,,
2274,74,4202,"World Cup 2014, Qualifiers, CONMEBOL",Argentina vs Chile,07-Oct-11,Argentina,AR,2011,FAIL,0,0.0,True,Lookup Required,False,0,Cardozo,none,,
2279,79,4202,"World Cup 2014, Qualifiers, CONMEBOL",Argentina vs Chile,07-Oct-11,Chile,CL,2011,FAIL,0,0.0,True,Lookup Required,False,0,Ponce,none,,
2289,89,4203,"World Cup 2014, Qualifiers, CONMEBOL",Peru vs Paraguay,07-Oct-11,Peru,PE,2011,FAIL,0,0.0,True,Lookup Required,False,0,Guizasola,none,,
2313,113,4204,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia vs Colombia,11-Oct-11,Bolivia,BO,2011,FAIL,0,0.0,True,Lookup Required,False,0,Rivero,none,,
2315,115,4204,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia vs Colombia,11-Oct-11,Bolivia,BO,2011,FAIL,0,0.0,True,Lookup Required,False,0,Robles,none,,
2327,127,4204,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia vs Colombia,11-Oct-11,Colombia,CO,2011,FAIL,0,0.0,True,Lookup Required,False,0,Pabón,none,,
2333,133,4205,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay vs Uruguay,11-Oct-11,Paraguay,PY,2011,FAIL,0,0.0,True,Lookup Required,False,0,Bonet,none,,
2356,156,4206,"World Cup 2014, Qualifiers, CONMEBOL",Chile vs Peru,11-Oct-11,Chile,CL,2011,FAIL,0,0.0,True,Lookup Required,False,0,Ponce,none,,
2388,188,4207,"World Cup 2014, Qualifiers, CONMEBOL",Venezuela vs Argentina,11-Oct-11,Argentina,AR,2011,FAIL,0,0.0,True,Lookup Required,False,0,Burdisso,none,,
2401,201,4208,"World Cup 2014, Qualifiers, CONMEBOL",Argentina vs Bolivia,11-Nov-11,Argentina,AR,2011,FAIL,0,0.0,True,Lookup Required,False,0,Burdisso,none,,
2409,209,4208,"World Cup 2014, Qualifiers, CONMEBOL",Argentina vs Bolivia,11-Nov-11,Bolivia,BO,2011,FAIL,0,0.0,True,Lookup Required,False,0,Arias,none,,
2411,211,4208,"World Cup 2014, Qualifiers, CONMEBOL",Argentina vs Bolivia,11-Nov-11,Bolivia,BO,2011,FAIL,0,0.0,True,Lookup Required,False,0,Rivero,none,,
2412,212,4208,"World Cup 2014, Qualifiers, CONMEBOL",Argentina vs Bolivia,11-Nov-11,Bolivia,BO,2011,FAIL,0,0.0,True,Lookup Required,False,0,Méndez,none,,
2414,214,4208,"World Cup 2014, Qualifiers, CONMEBOL",Argentina vs Bolivia,11-Nov-11,Bolivia,BO,2011,FAIL,0,0.0,True,Lookup Required,False,0,Bolivia,none,,
2415,215,4208,"World Cup 2014, Qualifiers, CONMEBOL",Argentina vs Bolivia,11-Nov-11,Bolivia,BO,2011,FAIL,0,0.0,True,Lookup Required,False,0,Robles,none,,
2432,232,4209,"World Cup 2014, Qualifiers, CONMEBOL",Uruguay vs Chile,11-Nov-11,Chile,CL,2011,FAIL,0,0.0,True,Lookup Required,False,0,Contreras,none,,
2433,233,4209,"World Cup 2014, Qualifiers, CONMEBOL",Uruguay vs Chile,11-Nov-11,Chile,CL,2011,FAIL,0,0.0,True,Lookup Required,False,0,Ponce,none,,
2443,243,4210,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay vs Ecuador,11-Nov-11,Paraguay,PY,2011,FAIL,0,0.0,True,Lookup Required,False,0,Bonet,none,,
2455,255,4210,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay vs Ecuador,11-Nov-11,Ecuador,EC,2011,FAIL,0,0.0,True,Lookup Required,False,0,Morante,none,,
2461,261,4210,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay vs Ecuador,11-Nov-11,Ecuador,EC,2011,FAIL,0,0.0,True,Lookup Required,False,0,Suárez,none,,
2465,265,4211,"World Cup 2014, Qualifiers, CONMEBOL",Colombia vs Venezuela,11-Nov-11,Colombia,CO,2011,FAIL,0,0.0,True,Lookup Required,False,0,Vallejo,none,,
2469,269,4211,"World Cup 2014, Qualifiers, CONMEBOL",Colombia vs Venezuela,11-Nov-11,Colombia,CO,2011,FAIL,0,0.0,True,Lookup Required,False,0,Pabón,none,,
2471,271,4211,"World Cup 2014, Qualifiers, CONMEBOL",Colombia vs Venezuela,11-Nov-11,Colombia,CO,2011,FAIL,0,0.0,True,Lookup Required,False,0,Bolívar,none,,
2491,291,4212,"World Cup 2014, Qualifiers, CONMEBOL",Colombia vs Argentina,15-Nov-11,Colombia,CO,2011,FAIL,0,0.0,True,Lookup Required,False,0,Pabón,none,,
2493,293,4212,"World Cup 2014, Qualifiers, CONMEBOL",Colombia vs Argentina,15-Nov-11,Colombia,CO,2011,FAIL,0,0.0,True,Lookup Required,False,0,Bolívar,none,,
2500,300,4212,"World Cup 2014, Qualifiers, CONMEBOL",Colombia vs Argentina,15-Nov-11,Argentina,AR,2011,FAIL,0,0.0,True,Lookup Required,False,0,Burdisso,none,,
2504,304,4212,"World Cup 2014, Qualifiers, CONMEBOL",Colombia vs Argentina,15-Nov-11,Argentina,AR,2011,FAIL,0,0.0,True,Lookup Required,False,0,Braña,none,,
2505,305,4212,"World Cup 2014, Qualifiers, CONMEBOL",Colombia vs Argentina,15-Nov-11,Argentina,AR,2011,FAIL,0,0.0,True,Lookup Required,False,0,Guiñazú,none,,
2518,318,4213,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador vs Peru,15-Nov-11,Ecuador,EC,2011,FAIL,0,0.0,True,Lookup Required,False,0,Benítez,none,,
2537,337,4214,"World Cup 2014, Qualifiers, CONMEBOL",Venezuela vs Bolivia,15-Nov-11,Venezuela,VE,2011,FAIL,0,0.0,True,Lookup Required,False,0,Alvarez,none,,
2539,339,4214,"World Cup 2014, Qualifiers, CONMEBOL",Venezuela vs Bolivia,15-Nov-11,Venezuela,VE,2011,FAIL,0,0.0,True,Lookup Required,False,0,Maldonado,none,,
2541,341,4214,"World Cup 2014, Qualifiers, CONMEBOL",Venezuela vs Bolivia,15-Nov-11,Bolivia,BO,2011,FAIL,0,0.0,True,Lookup Required,False,0,Arias,none,,
2544,344,4214,"World Cup 2014, Qualifiers, CONMEBOL",Venezuela vs Bolivia,15-Nov-11,Bolivia,BO,2011,FAIL,0,0.0,True,Lookup Required,False,0,Rivero,none,,
2546,346,4214,"World Cup 2014, Qualifiers, CONMEBOL",Venezuela vs Bolivia,15-Nov-11,Bolivia,BO,2011,FAIL,0,0.0,True,Lookup Required,False,0,Segovia,none,,
2548,348,4214,"World Cup 2014, Qualifiers, CONMEBOL",Venezuela vs Bolivia,15-Nov-11,Bolivia,BO,2011,FAIL,0,0.0,True,Lookup Required,False,0,Robles,none,,
2554,354,4215,"World Cup 2014, Qualifiers, CONMEBOL",Chile vs Paraguay,15-Nov-11,Chile,CL,2011,FAIL,0,0.0,True,Lookup Required,False,0,Ponce,none,,
2555,355,4215,"World Cup 2014, Qualifiers, CONMEBOL",Chile vs Paraguay,15-Nov-11,Chile,CL,2011,FAIL,0,0.0,True,Lookup Required,False,0,Contreras,none,,
2564,364,4215,"World Cup 2014, Qualifiers, CONMEBOL",Chile vs Paraguay,15-Nov-11,Paraguay,PY,2011,FAIL,0,0.0,True,Lookup Required,False,0,Bonet,none,,
2566,366,4215,"World Cup 2014, Qualifiers, CONMEBOL",Chile vs Paraguay,15-Nov-11,Paraguay,PY,2011,FAIL,0,0.0,True,Lookup Required,False,0,Manzur,none,,
2569,369,4215,"World Cup 2014, Qualifiers, CONMEBOL",Chile vs Paraguay,15-Nov-11,Paraguay,PY,2011,FAIL,0,0.0,True,Lookup Required,False,0,Aquino,none,,
2598,398,4217,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia vs Chile,02-Jun-12,Bolivia,BO,2012,FAIL,0,0.0,True,Lookup Required,False,0,Rivero,none,,
2599,399,4217,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia vs Chile,02-Jun-12,Bolivia,BO,2012,FAIL,0,0.0,True,Lookup Required,False,0,Méndez,none,,
2609,409,4217,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia vs Chile,02-Jun-12,Chile,CL,2012,FAIL,0,0.0,True,Lookup Required,False,0,Contreras,none,,
2638,438,4218,"World Cup 2014, Qualifiers, CONMEBOL",Argentina vs Ecuador,02-Jun-12,Ecuador,EC,2012,FAIL,0,0.0,True,Lookup Required,False,0,Suárez,none,,
2639,439,4218,"World Cup 2014, Qualifiers, CONMEBOL",Argentina vs Ecuador,02-Jun-12,Ecuador,EC,2012,FAIL,0,0.0,True,Lookup Required,False,0,Benítez,none,,
2642,442,4219,"World Cup 2014, Qualifiers, CONMEBOL",Peru vs Colombia,03-Jun-12,Peru,PE,2012,FAIL,0,0.0,True,Lookup Required,False,0,Galliquio,none,,
2660,460,4219,"World Cup 2014, Qualifiers, CONMEBOL",Peru vs Colombia,03-Jun-12,Colombia,CO,2012,FAIL,0,0.0,True,Lookup Required,False,0,Pabón,none,,
2666,466,4220,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia vs Paraguay,09-Jun-12,Bolivia,BO,2012,FAIL,0,0.0,True,Lookup Required,False,0,Barba,none,,
2674,474,4220,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia vs Paraguay,09-Jun-12,Paraguay,PY,2012,FAIL,0,0.0,True,Lookup Required,False,0,Mazacotte,none,,
2675,475,4220,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia vs Paraguay,09-Jun-12,Paraguay,PY,2012,FAIL,0,0.0,True,Lookup Required,False,0,Roman,none,,
2682,482,4220,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia vs Paraguay,09-Jun-12,Paraguay,PY,2012,FAIL,0,0.0,True,Lookup Required,False,0,Zeballos,none,,
2689,489,4221,"World Cup 2014, Qualifiers, CONMEBOL",Venezuela vs Chile,09-Jun-12,Venezuela,VE,2012,FAIL,0,0.0,True,Lookup Required,False,0,Alvarez,none,,
2698,498,4221,"World Cup 2014, Qualifiers, CONMEBOL",Venezuela vs Chile,09-Jun-12,Chile,CL,2012,FAIL,0,0.0,True,Lookup Required,False,0,Contreras,none,,
2718,518,4222,"World Cup 2014, Qualifiers, CONMEBOL",Uruguay vs Peru,10-Jun-12,Peru,PE,2012,FAIL,0,0.0,True,Lookup Required,False,0,Galliquio,none,,
2738,538,4223,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador vs Colombia,10-Jun-12,Ecuador,EC,2012,FAIL,0,0.0,True,Lookup Required,False,0,Benítez,none,,
2748,548,4223,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador vs Colombia,10-Jun-12,Colombia,CO,2012,FAIL,0,0.0,True,Lookup Required,False,0,Pabón,none,,
2785,585,4225,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador vs Bolivia,07-Sep-12,Bolivia,BO,2012,FAIL,0,0.0,True,Lookup Required,False,0,Méndez,none,,
2788,588,4225,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador vs Bolivia,07-Sep-12,Bolivia,BO,2012,FAIL,0,0.0,True,Lookup Required,False,0,Barba,none,,
2800,600,4226,"World Cup 2014, Qualifiers, CONMEBOL",Argentina vs Paraguay,07-Sep-12,Argentina,AR,2012,FAIL,0,0.0,True,Lookup Required,False,0,Braña,none,,
2808,608,4226,"World Cup 2014, Qualifiers, CONMEBOL",Argentina vs Paraguay,07-Sep-12,Paraguay,PY,2012,FAIL,0,0.0,True,Lookup Required,False,0,Alcaraz,none,,
2830,630,4227,"World Cup 2014, Qualifiers, CONMEBOL",Peru vs Venezuela,07-Sep-12,Venezuela,VE,2012,FAIL,0,0.0,True,Lookup Required,False,0,Túñez,none,,
2863,663,4229,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay vs Venezuela,11-Sep-12,Paraguay,PY,2012,FAIL,0,0.0,True,Lookup Required,False,0,Alcaraz,none,,
2864,664,4229,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay vs Venezuela,11-Sep-12,Paraguay,PY,2012,FAIL,0,0.0,True,Lookup Required,False,0,Bonet,none,,
2874,674,4229,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay vs Venezuela,11-Sep-12,Venezuela,VE,2012,FAIL,0,0.0,True,Lookup Required,False,0,Túñez,none,,
2902,702,4230,"World Cup 2014, Qualifiers, CONMEBOL",Uruguay vs Ecuador,11-Sep-12,Ecuador,EC,2012,FAIL,0,0.0,True,Lookup Required,False,0,Benítez,none,,
2958,758,4233,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador vs Chile,12-Oct-12,Ecuador,EC,2012,FAIL,0,0.0,True,Lookup Required,False,0,Benítez,none,,
2961,761,4233,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador vs Chile,12-Oct-12,Chile,CL,2012,FAIL,0,0.0,True,Lookup Required,False,0,Contreras,none,,
2964,764,4233,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador vs Chile,12-Oct-12,Chile,CL,2012,FAIL,0,0.0,True,Lookup Required,False,0,Seymour,none,,
2971,771,4234,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia vs Peru,12-Oct-12,Bolivia,BO,2012,FAIL,0,0.0,True,Lookup Required,False,0,Méndez,none,,
2982,782,4234,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia vs Peru,12-Oct-12,Peru,PE,2012,FAIL,0,0.0,True,Lookup Required,False,0,Herrera,none,,
2988,788,4234,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia vs Peru,12-Oct-12,Peru,PE,2012,FAIL,0,0.0,True,Lookup Required,False,0,Cominges,none,,
2989,789,4234,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia vs Peru,12-Oct-12,Peru,PE,2012,FAIL,0,0.0,True,Lookup Required,False,0,Chiroque,none,,
2990,790,4234,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia vs Peru,12-Oct-12,Peru,PE,2012,FAIL,0,0.0,True,Lookup Required,False,0,Mariño,none,,
3056,856,4237,"World Cup 2014, Qualifiers, CONMEBOL",Venezuela vs Ecuador,16-Oct-12,Ecuador,EC,2012,FAIL,0,0.0,True,Lookup Required,False,0,Benítez,none,,
3062,862,4238,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay vs Peru,16-Oct-12,Paraguay,PY,2012,FAIL,0,0.0,True,Lookup Required,False,0,Advíncula,none,,
3063,863,4238,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay vs Peru,16-Oct-12,Paraguay,PY,2012,FAIL,0,0.0,True,Lookup Required,False,0,Zambrano,none,,
3064,864,4238,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay vs Peru,16-Oct-12,Paraguay,PY,2012,FAIL,0,0.0,True,Lookup Required,False,0,Rodríguez,none,,
3065,865,4238,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay vs Peru,16-Oct-12,Paraguay,PY,2012,FAIL,0,0.0,True,Lookup Required,False,0,Yotún,none,,
3067,867,4238,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay vs Peru,16-Oct-12,Paraguay,PY,2012,FAIL,0,0.0,True,Lookup Required,False,0,Cruzado,none,,
3068,868,4238,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay vs Peru,16-Oct-12,Paraguay,PY,2012,FAIL,0,0.0,True,Lookup Required,False,0,Farfán,none,,
3069,869,4238,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay vs Peru,16-Oct-12,Peru,PE,2012,FAIL,0,0.0,True,Lookup Required,False,0,Barreto,none,,
3070,870,4238,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay vs Peru,16-Oct-12,Peru,PE,2012,FAIL,0,0.0,True,Lookup Required,False,0,Piris,none,,
3071,871,4238,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay vs Peru,16-Oct-12,Peru,PE,2012,FAIL,0,0.0,True,Lookup Required,False,0,Aguilar,none,,
3073,873,4238,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay vs Peru,16-Oct-12,Peru,PE,2012,FAIL,0,0.0,True,Lookup Required,False,0,Samudio,none,,
3074,874,4238,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay vs Peru,16-Oct-12,Peru,PE,2012,FAIL,0,0.0,True,Lookup Required,False,0,D Santos,none,,
3075,875,4238,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay vs Peru,16-Oct-12,Peru,PE,2012,FAIL,0,0.0,True,Lookup Required,False,0,Riveros,none,,
3076,876,4238,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay vs Peru,16-Oct-12,Peru,PE,2012,FAIL,0,0.0,True,Lookup Required,False,0,Oviedo,none,,
3077,877,4238,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay vs Peru,16-Oct-12,Peru,PE,2012,FAIL,0,0.0,True,Lookup Required,False,0,Núñez,none,,
3078,878,4238,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay vs Peru,16-Oct-12,Peru,PE,2012,FAIL,0,0.0,True,Lookup Required,False,0,Valdez,none,,
3079,879,4238,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay vs Peru,16-Oct-12,Peru,PE,2012,FAIL,0,0.0,True,Lookup Required,False,0,Benítez,none,,
3113,913,4240,"World Cup 2014, Qualifiers, CONMEBOL",Colombia vs Bolivia,22-Mar-13,Bolivia,BO,2013,FAIL,0,0.0,True,Lookup Required,False,0,Arias,none,,
3153,953,4242,"World Cup 2014, Qualifiers, CONMEBOL",Argentina vs Venezuela,22-Mar-13,Argentina,AR,2013,FAIL,0,0.0,True,Lookup Required,False,0,Montillo,none,,
3160,960,4242,"World Cup 2014, Qualifiers, CONMEBOL",Argentina vs Venezuela,22-Mar-13,Venezuela,VE,2013,FAIL,0,0.0,True,Lookup Required,False,0,Túñez,none,,
3169,969,4243,"World Cup 2014, Qualifiers, CONMEBOL",Peru vs Chile,22-Mar-13,Peru,PE,2013,FAIL,0,0.0,True,Lookup Required,False,0,Mariño,none,,
3171,971,4243,"World Cup 2014, Qualifiers, CONMEBOL",Peru vs Chile,22-Mar-13,Peru,PE,2013,FAIL,0,0.0,True,Lookup Required,False,0,Bravo,none,,
3172,972,4243,"World Cup 2014, Qualifiers, CONMEBOL",Peru vs Chile,22-Mar-13,Peru,PE,2013,FAIL,0,0.0,True,Lookup Required,False,0,Isla,none,,
3173,973,4243,"World Cup 2014, Qualifiers, CONMEBOL",Peru vs Chile,22-Mar-13,Peru,PE,2013,FAIL,0,0.0,True,Lookup Required,False,0,González,none,,
3174,974,4243,"World Cup 2014, Qualifiers, CONMEBOL",Peru vs Chile,22-Mar-13,Peru,PE,2013,FAIL,0,0.0,True,Lookup Required,False,0,Rojas,none,,
3175,975,4243,"World Cup 2014, Qualifiers, CONMEBOL",Peru vs Chile,22-Mar-13,Peru,PE,2013,FAIL,0,0.0,True,Lookup Required,False,0,Mena,none,,
3176,976,4243,"World Cup 2014, Qualifiers, CONMEBOL",Peru vs Chile,22-Mar-13,Peru,PE,2013,FAIL,0,0.0,True,Lookup Required,False,0,Medel,none,,
