,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status II,Status III
58408,108,3898,"World Cup 2014, Qualifiers, CONCACAF",Mexico vs Guyana,08-Jun-12,Guyana,GY,2012,FAIL,0,0.0,True,Lookup Required,False,0,d Santos,none,,
58409,109,3898,"World Cup 2014, Qualifiers, CONCACAF",Mexico vs Guyana,08-Jun-12,Guyana,GY,2012,FAIL,0,0.0,True,Lookup Required,False,0,D Nigris,none,,
58411,111,3899,"World Cup 2014, Qualifiers, CONCACAF",USA vs Antigua and Barbuda,08-Jun-12,USA,US,2012,FAIL,0,0.0,True,Lookup Required,False,0,Cherundolo,none,,
58413,113,3899,"World Cup 2014, Qualifiers, CONCACAF",USA vs Antigua and Barbuda,08-Jun-12,USA,US,2012,FAIL,0,0.0,True,Lookup Required,False,0,Bocanegra,none,,
58427,127,3899,"World Cup 2014, Qualifiers, CONCACAF",USA vs Antigua and Barbuda,08-Jun-12,Antigua and Barbuda,AG,2012,FAIL,0,0.0,True,Lookup Required,False,0,Leigertwood,none,,
58434,134,3900,"World Cup 2014, Qualifiers, CONCACAF",Honduras vs Panama,08-Jun-12,Honduras,HN,2012,FAIL,0,0.0,True,Lookup Required,False,0,Penedo,none,,
58436,136,3900,"World Cup 2014, Qualifiers, CONCACAF",Honduras vs Panama,08-Jun-12,Honduras,HN,2012,FAIL,0,0.0,True,Lookup Required,False,0,Baloy,none,,
58438,138,3900,"World Cup 2014, Qualifiers, CONCACAF",Honduras vs Panama,08-Jun-12,Honduras,HN,2012,FAIL,0,0.0,True,Lookup Required,False,0,Cedeño,none,,
58439,139,3900,"World Cup 2014, Qualifiers, CONCACAF",Honduras vs Panama,08-Jun-12,Honduras,HN,2012,FAIL,0,0.0,True,Lookup Required,False,0,Cooper,none,,
58440,140,3900,"World Cup 2014, Qualifiers, CONCACAF",Honduras vs Panama,08-Jun-12,Honduras,HN,2012,FAIL,0,0.0,True,Lookup Required,False,0,Pérez,none,,
58442,142,3900,"World Cup 2014, Qualifiers, CONCACAF",Honduras vs Panama,08-Jun-12,Honduras,HN,2012,FAIL,0,0.0,True,Lookup Required,False,0,Rentería,none,,
58443,143,3900,"World Cup 2014, Qualifiers, CONCACAF",Honduras vs Panama,08-Jun-12,Panama,PA,2012,FAIL,0,0.0,True,Lookup Required,False,0,Valladares,none,,
58444,144,3900,"World Cup 2014, Qualifiers, CONCACAF",Honduras vs Panama,08-Jun-12,Panama,PA,2012,FAIL,0,0.0,True,Lookup Required,False,0,Sabillón,none,,
58445,145,3900,"World Cup 2014, Qualifiers, CONCACAF",Honduras vs Panama,08-Jun-12,Panama,PA,2012,FAIL,0,0.0,True,Lookup Required,False,0,Bernárdez,none,,
58446,146,3900,"World Cup 2014, Qualifiers, CONCACAF",Honduras vs Panama,08-Jun-12,Panama,PA,2012,FAIL,0,0.0,True,Lookup Required,False,0,Leverón,none,,
58447,147,3900,"World Cup 2014, Qualifiers, CONCACAF",Honduras vs Panama,08-Jun-12,Panama,PA,2012,FAIL,0,0.0,True,Lookup Required,False,0,Figueroa,none,,
58448,148,3900,"World Cup 2014, Qualifiers, CONCACAF",Honduras vs Panama,08-Jun-12,Panama,PA,2012,FAIL,0,0.0,True,Lookup Required,False,0,Delgado,none,,
58451,151,3900,"World Cup 2014, Qualifiers, CONCACAF",Honduras vs Panama,08-Jun-12,Panama,PA,2012,FAIL,0,0.0,True,Lookup Required,False,0,García,none,,
58452,152,3900,"World Cup 2014, Qualifiers, CONCACAF",Honduras vs Panama,08-Jun-12,Panama,PA,2012,FAIL,0,0.0,True,Lookup Required,False,0,Izaguirre,none,,
58453,153,3900,"World Cup 2014, Qualifiers, CONCACAF",Honduras vs Panama,08-Jun-12,Panama,PA,2012,FAIL,0,0.0,True,Lookup Required,False,0,Costly,none,,
58457,157,3901,"World Cup 2014, Qualifiers, CONCACAF",Costa Rica vs El Salvador,08-Jun-12,Costa Rica,CR,2012,FAIL,0,0.0,True,Lookup Required,False,0,García,none,,
58458,158,3901,"World Cup 2014, Qualifiers, CONCACAF",Costa Rica vs El Salvador,08-Jun-12,Costa Rica,CR,2012,FAIL,0,0.0,True,Lookup Required,False,0,Purdy,none,,
58459,159,3901,"World Cup 2014, Qualifiers, CONCACAF",Costa Rica vs El Salvador,08-Jun-12,Costa Rica,CR,2012,FAIL,0,0.0,True,Lookup Required,False,0,Turcios,none,,
58460,160,3901,"World Cup 2014, Qualifiers, CONCACAF",Costa Rica vs El Salvador,08-Jun-12,Costa Rica,CR,2012,FAIL,0,0.0,True,Lookup Required,False,0,Pacheco,none,,
58462,162,3901,"World Cup 2014, Qualifiers, CONCACAF",Costa Rica vs El Salvador,08-Jun-12,Costa Rica,CR,2012,FAIL,0,0.0,True,Lookup Required,False,0,Alas,none,,
58464,164,3901,"World Cup 2014, Qualifiers, CONCACAF",Costa Rica vs El Salvador,08-Jun-12,Costa Rica,CR,2012,FAIL,0,0.0,True,Lookup Required,False,0,Alas,none,,
58465,165,3901,"World Cup 2014, Qualifiers, CONCACAF",Costa Rica vs El Salvador,08-Jun-12,El Salvador,SV,2012,FAIL,0,0.0,True,Lookup Required,False,0,Navas,none,,
58466,166,3901,"World Cup 2014, Qualifiers, CONCACAF",Costa Rica vs El Salvador,08-Jun-12,El Salvador,SV,2012,FAIL,0,0.0,True,Lookup Required,False,0,Salvatierra,none,,
58467,167,3901,"World Cup 2014, Qualifiers, CONCACAF",Costa Rica vs El Salvador,08-Jun-12,El Salvador,SV,2012,FAIL,0,0.0,True,Lookup Required,False,0,Umaña,none,,
58468,168,3901,"World Cup 2014, Qualifiers, CONCACAF",Costa Rica vs El Salvador,08-Jun-12,El Salvador,SV,2012,FAIL,0,0.0,True,Lookup Required,False,0,Miller,none,,
58469,169,3901,"World Cup 2014, Qualifiers, CONCACAF",Costa Rica vs El Salvador,08-Jun-12,El Salvador,SV,2012,FAIL,0,0.0,True,Lookup Required,False,0,Oviedo,none,,
58470,170,3901,"World Cup 2014, Qualifiers, CONCACAF",Costa Rica vs El Salvador,08-Jun-12,El Salvador,SV,2012,FAIL,0,0.0,True,Lookup Required,False,0,Barrantes,none,,
58471,171,3901,"World Cup 2014, Qualifiers, CONCACAF",Costa Rica vs El Salvador,08-Jun-12,El Salvador,SV,2012,FAIL,0,0.0,True,Lookup Required,False,0,Azofeifa,none,,
58472,172,3901,"World Cup 2014, Qualifiers, CONCACAF",Costa Rica vs El Salvador,08-Jun-12,El Salvador,SV,2012,FAIL,0,0.0,True,Lookup Required,False,0,Borges,none,,
58473,173,3901,"World Cup 2014, Qualifiers, CONCACAF",Costa Rica vs El Salvador,08-Jun-12,El Salvador,SV,2012,FAIL,0,0.0,True,Lookup Required,False,0,Campbell,none,,
58474,174,3901,"World Cup 2014, Qualifiers, CONCACAF",Costa Rica vs El Salvador,08-Jun-12,El Salvador,SV,2012,FAIL,0,0.0,True,Lookup Required,False,0,Saborío,none,,
58475,175,3901,"World Cup 2014, Qualifiers, CONCACAF",Costa Rica vs El Salvador,08-Jun-12,El Salvador,SV,2012,FAIL,0,0.0,True,Lookup Required,False,0,Brenes,none,,
58478,178,3902,"World Cup 2014, Qualifiers, CONCACAF",Jamaica vs Guatemala,08-Jun-12,Jamaica,JM,2012,FAIL,0,0.0,True,Lookup Required,False,0,Fuller,none,,
58479,179,3902,"World Cup 2014, Qualifiers, CONCACAF",Jamaica vs Guatemala,08-Jun-12,Jamaica,JM,2012,FAIL,0,0.0,True,Lookup Required,False,0,Jerez,none,,
58480,180,3902,"World Cup 2014, Qualifiers, CONCACAF",Jamaica vs Guatemala,08-Jun-12,Jamaica,JM,2012,FAIL,0,0.0,True,Lookup Required,False,0,López,none,,
58481,181,3902,"World Cup 2014, Qualifiers, CONCACAF",Jamaica vs Guatemala,08-Jun-12,Jamaica,JM,2012,FAIL,0,0.0,True,Lookup Required,False,0,Vásquez,none,,
58482,182,3902,"World Cup 2014, Qualifiers, CONCACAF",Jamaica vs Guatemala,08-Jun-12,Jamaica,JM,2012,FAIL,0,0.0,True,Lookup Required,False,0,Rodriguez,none,,
58483,183,3902,"World Cup 2014, Qualifiers, CONCACAF",Jamaica vs Guatemala,08-Jun-12,Jamaica,JM,2012,FAIL,0,0.0,True,Lookup Required,False,0,Gallardo,none,,
58484,184,3902,"World Cup 2014, Qualifiers, CONCACAF",Jamaica vs Guatemala,08-Jun-12,Jamaica,JM,2012,FAIL,0,0.0,True,Lookup Required,False,0,Morales,none,,
58485,185,3902,"World Cup 2014, Qualifiers, CONCACAF",Jamaica vs Guatemala,08-Jun-12,Jamaica,JM,2012,FAIL,0,0.0,True,Lookup Required,False,0,Arreola,none,,
58486,186,3902,"World Cup 2014, Qualifiers, CONCACAF",Jamaica vs Guatemala,08-Jun-12,Jamaica,JM,2012,FAIL,0,0.0,True,Lookup Required,False,0,Galindo,none,,
58487,187,3902,"World Cup 2014, Qualifiers, CONCACAF",Jamaica vs Guatemala,08-Jun-12,Guatemala,GT,2012,FAIL,0,0.0,True,Lookup Required,False,0,Ricketts,none,,
58488,188,3902,"World Cup 2014, Qualifiers, CONCACAF",Jamaica vs Guatemala,08-Jun-12,Guatemala,GT,2012,FAIL,0,0.0,True,Lookup Required,False,0,Palmer,none,,
58489,189,3902,"World Cup 2014, Qualifiers, CONCACAF",Jamaica vs Guatemala,08-Jun-12,Guatemala,GT,2012,FAIL,0,0.0,True,Lookup Required,False,0,Nosworthy,none,,
58491,191,3902,"World Cup 2014, Qualifiers, CONCACAF",Jamaica vs Guatemala,08-Jun-12,Guatemala,GT,2012,FAIL,0,0.0,True,Lookup Required,False,0,Phillips,none,,
58492,192,3902,"World Cup 2014, Qualifiers, CONCACAF",Jamaica vs Guatemala,08-Jun-12,Guatemala,GT,2012,FAIL,0,0.0,True,Lookup Required,False,0,Morrison,none,,
58493,193,3902,"World Cup 2014, Qualifiers, CONCACAF",Jamaica vs Guatemala,08-Jun-12,Guatemala,GT,2012,FAIL,0,0.0,True,Lookup Required,False,0,Austin,none,,
58494,194,3902,"World Cup 2014, Qualifiers, CONCACAF",Jamaica vs Guatemala,08-Jun-12,Guatemala,GT,2012,FAIL,0,0.0,True,Lookup Required,False,0,Watson,none,,
58495,195,3902,"World Cup 2014, Qualifiers, CONCACAF",Jamaica vs Guatemala,08-Jun-12,Guatemala,GT,2012,FAIL,0,0.0,True,Lookup Required,False,0,Richards,none,,
58496,196,3902,"World Cup 2014, Qualifiers, CONCACAF",Jamaica vs Guatemala,08-Jun-12,Guatemala,GT,2012,FAIL,0,0.0,True,Lookup Required,False,0,Johnson,none,,
58497,197,3902,"World Cup 2014, Qualifiers, CONCACAF",Jamaica vs Guatemala,08-Jun-12,Guatemala,GT,2012,FAIL,0,0.0,True,Lookup Required,False,0,Shelton,none,,
58500,200,3903,"World Cup 2014, Qualifiers, CONCACAF",Antigua and Barbuda vs Jamaica,12-Jun-12,Antigua and Barbuda,AG,2012,FAIL,0,0.0,True,Lookup Required,False,0,Miller,none,,
58501,201,3903,"World Cup 2014, Qualifiers, CONCACAF",Antigua and Barbuda vs Jamaica,12-Jun-12,Antigua and Barbuda,AG,2012,FAIL,0,0.0,True,Lookup Required,False,0,Palmer,none,,
58502,202,3903,"World Cup 2014, Qualifiers, CONCACAF",Antigua and Barbuda vs Jamaica,12-Jun-12,Antigua and Barbuda,AG,2012,FAIL,0,0.0,True,Lookup Required,False,0,Nosworthy,none,,
