,Unnamed: 0.1,Unnamed: 0,DF index,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,English Name,Match(es) Found,Status
1455,1455,55,555,464,"Euros 2016, Qualifiers",07.09.15,Poland vs Gibraltar,2015,Gibraltar,GI,20. Гарсия,Garcia,"['Jean-Carlos Garcia', 'Kieron Garcia']",Success
1460,1460,60,560,467,"Euros 2016, Qualifiers",08.10.15,Georgia vs Gibraltar,2015,Gibraltar,GI,1. Перес,Perez,"['Brian Perez', 'Jordan Perez']",Success
1464,1464,64,564,467,"Euros 2016, Qualifiers",08.10.15,Georgia vs Gibraltar,2015,Gibraltar,GI,20. Гарсия,Garcia,"['Jean-Carlos Garcia', 'Kieron Garcia']",Success
1470,1470,70,570,468,"Euros 2016, Qualifiers",08.10.15,Ireland vs Germany,2015,Ireland,IE,17. Киог,Kyogh,"['Richard Keogh', 'Andy Keogh']",Success
1471,1471,71,571,470,"Euros 2016, Qualifiers",11.10.15,Germany vs Georgia,2015,Georgia,GE,9. Гелашвили,Gelashvili,"['Nikoloz Gelashvili', 'Iva Gelashvili']",Success
1480,1480,80,580,471,"Euros 2016, Qualifiers",11.10.15,Gibraltar vs Scotland,2015,Gibraltar,GI,14. Дуарте,Duarte,"['Daniel Duarte', 'John-Paul Duarte']",Success
1483,1483,83,583,471,"Euros 2016, Qualifiers",11.10.15,Gibraltar vs Scotland,2015,Gibraltar,GI,20. Гарсия,Garcia,"['Jean-Carlos Garcia', 'Kieron Garcia']",Success
1488,1488,88,588,472,"Euros 2016, Qualifiers",11.10.15,Poland vs Ireland,2015,Ireland,IE,17. Киог,Kyogh,"['Richard Keogh', 'Andy Keogh']",Success
1490,1490,90,590,476,"Euros 2016, Qualifiers",09.10.14,England vs San Marino,2014,San Marino,SM,1. Симончини,Simoncini,"['Aldo Simoncini', 'Davide Simoncini', 'Michael Simoncini']",Success
1492,1492,92,592,476,"Euros 2016, Qualifiers",09.10.14,England vs San Marino,2014,San Marino,SM,3. Баттистини,Battistini,"['Manuel Battistini', 'Michael Battistini']",Success
1495,1495,95,595,476,"Euros 2016, Qualifiers",09.10.14,England vs San Marino,2014,San Marino,SM,6. Делла Валле,Della Valle,"['Alessandro Della Valle', 'Alex Della Valle']",Success
1505,1505,5,205,412,"Euros 2016, Qualifiers",13.10.15,Wales vs Andorra,2015,Andorra,AD,8. Виейра,Vieira,"['Márcio Vieira', 'Xavier Vieira']",Success
1530,1530,30,230,417,"Euros 2016, Qualifiers",09.10.14,North Macedonia vs Luxembourg,2014,N. Macedonia,MK,13. Ристовски,Ristowski,"['Stefan Ristovski', 'Milan Ristovski']",Success
1531,1531,31,231,417,"Euros 2016, Qualifiers",09.10.14,North Macedonia vs Luxembourg,2014,N. Macedonia,MK,8. Демири,Demiri,"['Muhamed Demiri', 'Besir Demiri']",Success
1532,1532,32,232,417,"Euros 2016, Qualifiers",09.10.14,North Macedonia vs Luxembourg,2014,N. Macedonia,MK,10. Ибраими,Ibraimi,"['Agim Ibraimi', 'Besart Ibraimi']",Success
1543,1543,43,243,417,"Euros 2016, Qualifiers",09.10.14,North Macedonia vs Luxembourg,2014,Luxembourg,LU,7. Жерсон,Gerson,"['Lars Gerson', 'Gerson Rodrigues']",Success
1544,1544,44,244,417,"Euros 2016, Qualifiers",09.10.14,North Macedonia vs Luxembourg,2014,Luxembourg,LU,8. Мартинс,Martins,"['Marvin Martins', 'Christopher Martins Pereira']",Success
1555,1555,55,255,419,"Euros 2016, Qualifiers",12.10.14,Ukraine vs North Macedonia,2014,N. Macedonia,MK,16. Глигоров,Gligorov,"['Nikola Gligorov', 'Gligor Gligorov']",Success
1558,1558,58,258,419,"Euros 2016, Qualifiers",12.10.14,Ukraine vs North Macedonia,2014,N. Macedonia,MK,21. Ивановски,Ivanovsky,"['Daniel Ivanovski', 'Mirko Ivanovski', 'Filip Ivanovski']",Success
1568,1568,68,268,421,"Euros 2016, Qualifiers",12.10.14,Luxembourg vs Spain,2014,Luxembourg,LU,7. Жерсон,Gerson,"['Lars Gerson', 'Gerson Rodrigues']",Success
1569,1569,69,269,421,"Euros 2016, Qualifiers",12.10.14,Luxembourg vs Spain,2014,Luxembourg,LU,8. Мартинс,Martins,"['Marvin Martins', 'Christopher Martins Pereira']",Success
1578,1578,78,278,422,"Euros 2016, Qualifiers",15.11.14,Luxembourg vs Ukraine,2014,Luxembourg,LU,7. Жерсон,Gerson,"['Lars Gerson', 'Gerson Rodrigues']",Success
1579,1579,79,279,422,"Euros 2016, Qualifiers",15.11.14,Luxembourg vs Ukraine,2014,Luxembourg,LU,8. Мартинс,Martins,"['Marvin Martins', 'Christopher Martins Pereira']",Success
1590,1590,90,290,423,"Euros 2016, Qualifiers",15.11.14,North Macedonia vs Slovakia,2014,N. Macedonia,MK,8. Демири,Demiri,"['Muhamed Demiri', 'Besir Demiri']",Success
1600,1600,0,400,439,"Euros 2016, Qualifiers",09.10.15,Spain vs Luxembourg,2015,Luxembourg,LU,4. Делгаду,Delgado,"['Ricardo Delgado', 'Gilson Delgado']",Success
1616,1616,16,416,441,"Euros 2016, Qualifiers",12.10.15,Luxembourg vs Slovakia,2015,Luxembourg,LU,4. Делгаду,Delgado,"['Ricardo Delgado', 'Gilson Delgado']",Success
1618,1618,18,418,441,"Euros 2016, Qualifiers",12.10.15,Luxembourg vs Slovakia,2015,Luxembourg,LU,8. Мартинс,Martins,"['Marvin Martins', 'Christopher Martins Pereira']",Success
1633,1633,33,433,446,"Euros 2016, Qualifiers",11.10.14,Ireland vs Gibraltar,2014,Gibraltar,GI,8. Бадо,Bado,"['Julio Bado', 'Rafael Bado']",Success
1642,1642,42,442,447,"Euros 2016, Qualifiers",11.10.14,Scotland vs Georgia,2014,Scotland,SC,4. Мартин,Martin,"['Russell Martin', 'Chris Martin', 'Martin Williams']",Success
1643,1643,43,443,447,"Euros 2016, Qualifiers",11.10.14,Scotland vs Georgia,2014,Scotland,SC,5. Хенли,Henley,"['Grant Hanley', 'Henney Dufrene']",Success
1646,1646,46,446,447,"Euros 2016, Qualifiers",11.10.14,Scotland vs Georgia,2014,Scotland,SC,8. Браун,Brown,"['Scott Brown', 'Jacob Brown', 'Julio Brown']",Success
1647,1647,47,447,447,"Euros 2016, Qualifiers",11.10.14,Scotland vs Georgia,2014,Scotland,SC,9. Флетчер,Fletcher,"['Darren Fletcher', 'Steven Fletcher']",Success
1652,1652,52,452,447,"Euros 2016, Qualifiers",11.10.14,Scotland vs Georgia,2014,Georgia,GE,3. Квирквелия,Kvirkvelia,"['Solomon Kvirkvelia', 'Davit Kvirkvelia']",Success
1657,1657,57,457,447,"Euros 2016, Qualifiers",11.10.14,Scotland vs Georgia,2014,Georgia,GE,16. Квирквелия,Kvirkvelia,"['Solomon Kvirkvelia', 'Davit Kvirkvelia']",Success
1660,1660,60,460,447,"Euros 2016, Qualifiers",11.10.14,Scotland vs Georgia,2014,Georgia,GE,9. Гелашвили,Gelashvili,"['Nikoloz Gelashvili', 'Iva Gelashvili']",Success
1671,1671,71,471,450,"Euros 2016, Qualifiers",14.10.14,Gibraltar vs Georgia,2014,Gibraltar,GI,18. Сантос,Santos,"['Kevin de los Santos', 'Yogan Santos', 'Shaun De Los Santos', 'Ethan Santos']",Success
1674,1674,74,474,450,"Euros 2016, Qualifiers",14.10.14,Gibraltar vs Georgia,2014,Gibraltar,GI,20. Гарсия,Garcia,"['Jean-Carlos Garcia', 'Kieron Garcia']",Success
1680,1680,80,480,450,"Euros 2016, Qualifiers",14.10.14,Gibraltar vs Georgia,2014,Georgia,GE,3. Кверквелия,Kverkvelia,"['Solomon Kvirkvelia', 'Davit Kvirkvelia']",Success
1684,1684,84,484,450,"Euros 2016, Qualifiers",14.10.14,Gibraltar vs Georgia,2014,Georgia,GE,9. Гелашвили,Gelashvili,"['Nikoloz Gelashvili', 'Iva Gelashvili']",Success
1690,1690,90,490,451,"Euros 2016, Qualifiers",14.10.14,Poland vs Scotland,2014,Scotland,SC,8. Браун,Brown,"['Scott Brown', 'Jacob Brown', 'Julio Brown']",Success
1694,1694,94,494,455,"Euros 2016, Qualifiers",29.03.15,Georgia vs Germany,2015,Georgia,GE,3. Кверквелия,Kverkvelia,"['Solomon Kvirkvelia', 'Davit Kvirkvelia']",Success
1697,1697,97,497,455,"Euros 2016, Qualifiers",29.03.15,Georgia vs Germany,2015,Georgia,GE,6. Махарадзе,Makharadze,"['Kakhi Makharadze', 'Zauri Makharadze']",Success
1747,1747,47,2047,374,"Euros 2016, Qualifiers",06.09.15,Latvia vs Czech,2015,Czech,CZ,Kolář,Kolář,"['Ondrej Kolar', 'Daniel Kolar']",Success
1750,1750,50,2050,375,"Euros 2016, Qualifiers",06.09.15,Turkey vs Netherlands,2015,Turkey,TR,23. Волкан,Volkan,"['Volkan Demirel', 'Volkan Babacan', 'Volkan Şen']",Success
1783,1783,83,2083,379,"Euros 2016, Qualifiers",10.10.15,Czech vs Turkey,2015,Turkey,TR,23. Волкан,Volkan,"['Volkan Demirel', 'Volkan Babacan', 'Volkan Şen']",Success
1791,1791,91,2091,380,"Euros 2016, Qualifiers",13.10.15,Latvia vs Kazakhstan,2015,Latvia,LV,5. Лайзанс,Laizans,"['Juris Laizans', 'Olegs Laizans']",Success
1832,1832,32,2832,1513,Nations League 2018-2020,07.09.18,Faroe Islands vs Malta,2018,Malta,MT,9. Мифсуд,Mifsud,"['Michael Mifsud', 'Jean Pierre Mifsud Triganza']",Success
1838,1838,38,2838,1515,Nations League 2018-2020,10.09.18,Malta vs Azerbaijan,2018,Malta,MT,9. Мифсуд,Mifsud,"['Michael Mifsud', 'Jean Pierre Mifsud Triganza']",Success
1839,1839,39,2839,1515,Nations League 2018-2020,10.09.18,Malta vs Azerbaijan,2018,Malta,MT,14. Фарруджа,Farrugia,"['Jean Paul Farrugia', 'Brooke Farrugia']",Success
1845,1845,1,1601,582,"Euros 2016, Qualifiers",03.09.15,Bulgaria vs Norway,2015,Bulgaria,BG,17. Миланов,Milanov,"['Iliya Milanov', 'Georgi Milanov', 'Zhivko Milanov']",Success
1856,1856,12,1612,583,"Euros 2016, Qualifiers",03.09.15,Italy vs Malta,2015,Malta,MT,8. Бриффа,Briffa,"['Roderick Briffa', 'Emanuel Briffa']",Success
1866,1866,22,1622,584,"Euros 2016, Qualifiers",06.09.15,Malta vs Azerbaijan,2015,Malta,MT,8. Бриффа,Briffa,"['Roderick Briffa', 'Emanuel Briffa']",Success
1867,1867,23,1623,584,"Euros 2016, Qualifiers",06.09.15,Malta vs Azerbaijan,2015,Malta,MT,9. Мифсуд,Mifsud,"['Michael Mifsud', 'Jean Pierre Mifsud Triganza']",Success
1871,1871,27,1627,584,"Euros 2016, Qualifiers",06.09.15,Malta vs Azerbaijan,2015,Malta,MT,17. Камиллери,Camilleri,"['Ryan Camilleri', 'Dale Camilleri']",Success
1876,1876,32,1632,584,"Euros 2016, Qualifiers",06.09.15,Malta vs Azerbaijan,2015,Azerbaijan,AZ,5. Гусейнов,Huseynov,"['Vurgun Hüseynov', 'Badavi Hüseynov', 'Cavid Hüseynov', 'Abbas Hüseynov', 'Calal Hüseynov']",Success
1891,1891,47,1647,586,"Euros 2016, Qualifiers",06.09.15,Italy vs Bulgaria,2015,Bulgaria,BG,10. Попов,Popov,"['Strahil Popov', 'Ivelin Popov', 'Apostol Popov', 'Viktor Popov']",Success
