,Jersey Name,Name Match,Date,Nationality,Country Code,Match ID,Competition,Match
42,T Bongonda,['Théo Bongonda'],19-11-2023,Congo DR,DR,2236,"World Cup Qualifiers, Africa, 2026",Sudan vs Congo DR
43,A Tshibola,['Aaron Tshibola'],19-11-2023,Congo DR,DR,2236,"World Cup Qualifiers, Africa, 2026",Sudan vs Congo DR
44,C Pickel,['Charles Pickel'],19-11-2023,Congo DR,DR,2236,"World Cup Qualifiers, Africa, 2026",Sudan vs Congo DR
45,Y Wissa,['Yoane Wissa'],19-11-2023,Congo DR,DR,2236,"World Cup Qualifiers, Africa, 2026",Sudan vs Congo DR
46,G Diangana,['Grady Diangana'],19-11-2023,Congo DR,DR,2236,"World Cup Qualifiers, Africa, 2026",Sudan vs Congo DR
47,S Banza,['Simon Banza'],19-11-2023,Congo DR,DR,2236,"World Cup Qualifiers, Africa, 2026",Sudan vs Congo DR
48,Jang Hyun-Soo,['Hyun-soo Jang'],18-06-2013,South Korea,KR,2255,"World Cup Qualifiers, Asia, 2014",South Korea vs Iran
49,Kim Kee-Hee,['Kee-hee Kim'],18-06-2013,South Korea,KR,2255,"World Cup Qualifiers, Asia, 2014",South Korea vs Iran
50,Chang Hao-wei,['Hao-Wei Chang'],03-09-2015,Chinese Taipei,TW,2263,"World Cup Qualifiers, Asia, 2018",Iraq vs Chinese Taipei
51,Yen Ho-shen,['Ho-Shen Yen'],03-09-2015,Chinese Taipei,TW,2263,"World Cup Qualifiers, Asia, 2018",Iraq vs Chinese Taipei
52,Ro Hak-Su,['Hak-su Ro'],16-06-2015,North Korea,KP,2264,"World Cup Qualifiers, Asia, 2018",North Korea vs Uzbekistan
53,Chang Hao-wei,['Hao-Wei Chang'],08-09-2015,Chinese Taipei,TW,2267,"World Cup Qualifiers, Asia, 2018",Chinese Taipei vs Vietnam
54,Wei Yu-jen,['Yu-Jen Wei'],08-09-2015,Chinese Taipei,TW,2267,"World Cup Qualifiers, Asia, 2018",Chinese Taipei vs Vietnam
55,Ro Hak-Su,['Hak-su Ro'],29-03-2016,North Korea,KP,2268,"World Cup Qualifiers, Asia, 2018",Philippines vs North Korea
56,I ehić,['Ibrahim Sehic'],31-03-2021,Bosnia-Herzegovina-Herzegovina,BA,3295,"World Cup Qualifiers, Europe, 2022",Bosnia-Herzegovina-Herzegovina vs France
57,A Murić,['Arijanet Muric'],09-10-2021,Kosovo,XK,3298,"World Cup Qualifiers, Europe, 2022",Sweden vs Kosovo
58,K Piątek,['Krzysztof Piatek'],31-03-2021,Poland,PL,3299,"World Cup Qualifiers, Europe, 2022",England vs Poland
59,A ćekić,['Aleksandar Scekic'],01-09-2021,Montenegro,ME,3307,"World Cup Qualifiers, Europe, 2022",Turkey vs Montenegro
60,S Kjær,['Simon Kjaer'],31-03-2021,Denmark,DK,3318,"World Cup Qualifiers, Europe, 2022",Austria vs Denmark
61,M Sušić,['Mateo Susic'],16-11-2021,Bosnia-Herzegovina-Herzegovina,BA,3321,"World Cup Qualifiers, Europe, 2022",Bosnia-Herzegovina-Herzegovina vs Ukraine
62,S Kjær,['Simon Kjaer'],25-03-2021,Denmark,DK,3322,"World Cup Qualifiers, Europe, 2022",Israel vs Denmark
63,Maliy,['Sergey Maliy'],04.09.20,Kazakhstan,KZ,1673,Nations League 2020-2021,Lithuania vs Kazakhstan
64,Maliy,['Sergey Maliy'],07.09.20,Kazakhstan,KZ,1675,Nations League 2020-2021,Kazakhstan vs Belarus
65,Maliy,['Sergey Maliy'],14.10.20,Kazakhstan,KZ,1680,Nations League 2020-2021,Belarus vs Kazakhstan
66,M Ošs,['Marcis Oss'],10.10.20,Latvia,LV,1689,Nations League 2020-2021,Faroe Islands vs Latvia
67,M Ošs,['Marcis Oss'],13.10.20,Latvia,LV,1691,Nations League 2020-2021,Latvia vs Malta
68,V Černý,['Vaclav Cerny'],17.06.23,Czech Republic,CZ,962,"Euros 2024, Qualifiers",Faroe Islands vs Czech
69,V Černý,['Vaclav Cerny'],07.09.23,Czech Republic,CZ,966,"Euros 2024, Qualifiers",Czech vs Albania
70,V Černý,['Vaclav Cerny'],12.10.23,Czech Republic,CZ,969,"Euros 2024, Qualifiers",Albania vs Czech
71,V Černý,['Vaclav Cerny'],15.10.23,Czech Republic,CZ,971,"Euros 2024, Qualifiers",Czech vs Faroe Islands
72,R Kidiaba,['Robert Muteba Kidiaba'],18-01-2015,Congo DR,DR,3485,"African Cup of Nations, 2015",Zambia vs Congo DR
73,I Mpeko,['Issama Mpeko'],18-01-2015,Congo DR,DR,3485,"African Cup of Nations, 2015",Zambia vs Congo DR
74,J Kimwaki,['Joël Kimwaki'],18-01-2015,Congo DR,DR,3485,"African Cup of Nations, 2015",Zambia vs Congo DR
75,C Mongongu,['Cédric Mongongu'],18-01-2015,Congo DR,DR,3485,"African Cup of Nations, 2015",Zambia vs Congo DR
76,Y Mulumbu,['Youssouf Mulumbu'],18-01-2015,Congo DR,DR,3485,"African Cup of Nations, 2015",Zambia vs Congo DR
77,C Mbemba,['Chancel Mbemba'],18-01-2015,Congo DR,DR,3485,"African Cup of Nations, 2015",Zambia vs Congo DR
78,F Mubele,['Firmin Mubele'],18-01-2015,Congo DR,DR,3485,"African Cup of Nations, 2015",Zambia vs Congo DR
79,Y Bolasie,['Yannick Bolasie'],18-01-2015,Congo DR,DR,3485,"African Cup of Nations, 2015",Zambia vs Congo DR
80,H Kage,['Hervé Kage'],18-01-2015,Congo DR,DR,3485,"African Cup of Nations, 2015",Zambia vs Congo DR
81,D Mbokani,['Dieumerci Mbokani'],18-01-2015,Congo DR,DR,3485,"African Cup of Nations, 2015",Zambia vs Congo DR
82,Rui Gomes,['Rui'],17-01-2015,Equatorial Guinea,GQ,3488,"African Cup of Nations, 2015",Equatorial Guinea vs Congo
83,R Kidiaba,['Robert Muteba Kidiaba'],26-01-2015,Congo DR,DR,3490,"African Cup of Nations, 2015",Congo DR vs Tunisia
84,I Mpeko,['Issama Mpeko'],26-01-2015,Congo DR,DR,3490,"African Cup of Nations, 2015",Congo DR vs Tunisia
85,J Kimwaki,['Joël Kimwaki'],26-01-2015,Congo DR,DR,3490,"African Cup of Nations, 2015",Congo DR vs Tunisia
86,C Mongongu,['Cédric Mongongu'],26-01-2015,Congo DR,DR,3490,"African Cup of Nations, 2015",Congo DR vs Tunisia
