,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New
118,387,4179,"World Cup 2022, Qualifiers, CONCACAF",Canada vs USA,30-Jan-22,USA,US,2022,FAIL,"['Weston McKennie', 'Mark McKenzie', 'Kenny Saief']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Weston Mckennie,Mc Kennie,multiple,Done
119,391,4183,"World Cup 2022, Qualifiers, CONCACAF",USA vs Honduras,02-Feb-22,USA,US,2022,FAIL,"['Weston McKennie', 'Mark McKenzie', 'Kenny Saief']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Weston Mckennie,Mc Kennie,multiple,Done
120,400,3220,"World Cup Qualifiers, Europe, 2022",Iceland vs Liechtenstein,11-10-2021,Iceland,IS,2021,FAIL,"['Kolbeinn Thordarson', 'David Thor Vidarsson', 'Hordur Arnason']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Stefan Teitur Thordarson,S THordarson,multiple,Done
121,401,1113,Euros 2016,Germany vs Italy,02.07.16,Italy,IT,2016,FAIL,"['Lorenzo Pellegrini', 'Luca Pellegrini', 'Pietro Pellegri']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Graziano Pelle,Pelle,multiple,Done
122,404,1121,Euros 2016,Italy vs Spain,27.06.16,Italy,IT,2016,FAIL,"['Lorenzo Pellegrini', 'Luca Pellegrini', 'Pietro Pellegri']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Graziano Pelle,Pelle,multiple,Done
123,405,1147,Euros 2016,Ireland vs Sweden,13.06.16,Ireland,IE,2016,FAIL,"['John OShea', 'Dara OShea']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,John Oshea,O`Shea,multiple,Done
124,407,1148,Euros 2016,Belgium vs Italy,13.06.16,Italy,IT,2016,FAIL,"['Lorenzo Pellegrini', 'Luca Pellegrini', 'Pietro Pellegri']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Graziano Pelle,Pelle,multiple,Done
125,408,1149,Euros 2016,Italy vs Sweden,17.06.16,Italy,IT,2016,FAIL,"['Lorenzo Pellegrini', 'Luca Pellegrini', 'Pietro Pellegri']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Graziano Pelle,Pelle,multiple,Done
126,409,1149,Euros 2016,Italy vs Sweden,17.06.16,Sweden,SE,2016,FAIL,"['Adam Johansson', 'Jakob Johansson', 'Mattias Johansson', 'Viktor Johansson']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Viktor Johansson,Johansson,multiple,Done
127,410,1150,Euros 2016,Belgium vs Ireland,18.06.16,Ireland,IE,2016,FAIL,"['John OShea', 'Dara OShea']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,John Oshea,O`Shea,multiple,Done
128,414,1152,Euros 2016,Sweden vs Belgium,22.06.16,Sweden,SE,2016,FAIL,"['Adam Johansson', 'Jakob Johansson', 'Mattias Johansson', 'Viktor Johansson']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Viktor Johansson,Johansson,multiple,Done
129,417,2282,"World Cup Qualifiers, Asia, 2018",India vs Oman,11-06-2015,India,IN,2015,FAIL,"['Dhanachandra Singh', 'Davinder Singh', 'Dheeraj Singh']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Dheeraj Singh,D Singh,multiple,Done
