,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New
420,975,3942,"World Cup 2014, Qualifiers, CONCACAF",Jamaica vs Mexico,04-Jun-13,Jamaica,JM,2013,FAIL,Clifton Woodbine,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Clifton Woodbine,Woodbine,single,Done
421,976,808,"Euros 2020, Qualifiers",Iceland vs Andorra,14.10.19,Iceland,IS,2019,FAIL,Emil Pálsson,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Emil Pálsson,Palsson,single,Done
422,977,810,"Euros 2020, Qualifiers",Turkey vs Iceland,14.11.19,Iceland,IS,2019,FAIL,Emil Pálsson,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Emil Pálsson,Palsson,single,Done
423,978,814,"Euros 2020, Qualifiers",Moldova vs Iceland,17.11.19,Iceland,IS,2019,FAIL,Emil Pálsson,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Emil Pálsson,Palsson,single,Done
424,994,2033,"World Cup Qualifiers, Africa, 2018",Congo vs Ethiopia,17-11-2015,Ethiopia,ET,2015,FAIL,Addisu Tesfaye,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Addisu Tesfaye,Addisu Tesfaye,single,Done
425,995,2038,"World Cup Qualifiers, Africa, 2018",Cameroon vs Niger,17-11-2015,Niger,NE,2015,FAIL,Hassane Adamou,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Adamou Ibrahim Djibo,D Adamou,single,Done
426,996,2045,"World Cup Qualifiers, Africa, 2022",Uganda vs Mali,06-09-2021,Uganda,UG,2021,FAIL,Derrick Nsibambi,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Derrick Nsibambi,D Nsimbambi,single,Done
427,997,2046,"World Cup Qualifiers, Africa, 2022",Morocco vs Sudan,02-09-2021,Sudan,SD,2021,FAIL,Omer Mahmoud,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Omer Mahmoud,F Mamoun,single,Done
428,999,2051,"World Cup Qualifiers, Africa, 2022",Mozambique vs Malawi,16-11-2021,Malawi,MW,2021,FAIL,Mike Mkwate,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Mike Mkwate,M Mkwate,single,Done
429,1000,2054,"World Cup Qualifiers, Africa, 2022",Malawi vs Cameroon,13-11-2021,Malawi,MW,2021,FAIL,Francis Mulimbika,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Francis Mulimbika,F Mlimbika,single,Done
430,1002,2057,"World Cup Qualifiers, Africa, 2022",Sudan vs Guinea,06-10-2021,Sudan,SD,2021,FAIL,Omer Mahmoud,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Omer Mahmoud,F Mamoun,single,Done
431,1008,2065,"World Cup Qualifiers, Africa, 2022",Nigeria vs Cape Verde,16-11-2021,Nigeria,NG,2021,FAIL,Odion Ighalo,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Odion Ighalo,O Ighalo,single,Done
432,1009,2066,"World Cup Qualifiers, Africa, 2022",Djibouti vs Algeria,12-11-2021,Djibouti,DJ,2021,FAIL,Hassan Djama Samatar,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Abdoukader Djama,A Djama Dabar,single,Done
433,1010,2068,"World Cup Qualifiers, Africa, 2022",Ghana vs Zimbabwe,09-10-2021,Zimbabwe,ZW,2021,FAIL,Washington Arubi,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Washington Arubi,W Arubi,single,Done
434,1011,2068,"World Cup Qualifiers, Africa, 2022",Ghana vs Zimbabwe,09-10-2021,Zimbabwe,ZW,2021,FAIL,Tendayi Darikwa,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Tendayi Darikwa,T Darikwa,single,Done
435,1012,2068,"World Cup Qualifiers, Africa, 2022",Ghana vs Zimbabwe,09-10-2021,Zimbabwe,ZW,2021,FAIL,Knox Mutizwa,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Knox Mutizwa,K Mutizwa,single,Done
436,1019,3478,"African Cup of Nations, 2015",Congo vs Burkina Faso,25-01-2015,Burkina Faso,BF,2015,FAIL,Mbah Koné,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Mbah Koné,M Ko,single,Done
437,1020,3481,"African Cup of Nations, 2015",Equatorial Guinea vs Burkina Faso,21-01-2015,Burkina Faso,BF,2015,FAIL,Mbah Koné,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Mbah Koné,M Ko,single,Done
