,index,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New,Market Value New
10653,73449,4147,"World Cup 2022, Qualifiers, CONCACAF",El Salvador vs Honduras,05-Sep-21,El Salvador,SV,2021,SUCCESS,"['Giovanni Zavaleta', 'Eriq Zavaleta']",537500,False,Used Average of Season Before and After,True,Eriq Zavaleta,Zavaleta,multiple,,0
10654,73450,4402,"World Cup 2022, Qualifiers, CONMEBOL",Peru vs Venezuela,05-Sep-21,Venezuela,VE,2021,SUCCESS,"['Júnior Moreno', 'Johan Moreno']",1250000,False,Used Average of Season Before and After,True,Júnior Moreno,J Moreno,multiple,,0
10655,73451,4402,"World Cup 2022, Qualifiers, CONMEBOL",Peru vs Venezuela,05-Sep-21,Venezuela,VE,2021,SUCCESS,"['Pedro Ramírez', 'Eric Ramírez']",550000,False,Used Average of Season Before and After,True,Eric Ramírez,Ramírez,multiple,,0
10656,73452,4404,"World Cup 2022, Qualifiers, CONMEBOL",Paraguay vs Venezuela,09-Sep-21,Paraguay,PY,2021,SUCCESS,"['Jorge Rojas', 'Robert Rojas', 'Rodrigo Rojas', 'Santiago Rojas', 'Matías Rojas']",3400000,False,Used Average of Season Before and After,True,Robert Rojas,Rojas,multiple,,0
10657,73453,4404,"World Cup 2022, Qualifiers, CONMEBOL",Paraguay vs Venezuela,09-Sep-21,Venezuela,VE,2021,SUCCESS,"['Luis González', 'Óscar González', 'César González']",350000,False,Used Average of Season Before and After,True,Alexander González,Gonzalez,multiple,,0
10658,73454,4404,"World Cup 2022, Qualifiers, CONMEBOL",Paraguay vs Venezuela,09-Sep-21,Venezuela,VE,2021,SUCCESS,"['Javier González', 'Alexander González', 'César González', 'Óscar González', 'Luis González']",337500,False,Used Average of Season Before and After,True,Óscar González,González,multiple,,0
10659,73455,4404,"World Cup 2022, Qualifiers, CONMEBOL",Paraguay vs Venezuela,09-Sep-21,Venezuela,VE,2021,SUCCESS,"['Júnior Moreno', 'Johan Moreno']",1250000,False,Used Average of Season Before and After,True,Júnior Moreno,J Moreno,multiple,,0
10660,73456,4408,"World Cup 2022, Qualifiers, CONMEBOL",Venezuela vs Brazil,07-Oct-21,Venezuela,VE,2021,SUCCESS,"['Dani Hernández', 'José Hernández', 'Ronald Hernández']",350000,False,Used Average of Season Before and After,True,Ronald Hernández,Hernández,multiple,,0
10661,73457,4408,"World Cup 2022, Qualifiers, CONMEBOL",Venezuela vs Brazil,07-Oct-21,Venezuela,VE,2021,SUCCESS,"['Javier González', 'Alexander González', 'César González', 'Óscar González', 'Luis González']",337500,False,Used Average of Season Before and After,True,Óscar González,González,multiple,,0
10662,73458,4412,"World Cup 2022, Qualifiers, CONMEBOL",Paraguay vs Argentina,07-Oct-21,Paraguay,PY,2021,SUCCESS,"['Jorge Rojas', 'Robert Rojas', 'Rodrigo Rojas', 'Santiago Rojas', 'Matías Rojas']",3400000,False,Used Average of Season Before and After,True,Robert Rojas,Rojas,multiple,,0
10663,73459,4414,"World Cup 2022, Qualifiers, CONMEBOL",Venezuela vs Ecuador,10-Oct-21,Venezuela,VE,2021,SUCCESS,"['Dani Hernández', 'José Hernández', 'Ronald Hernández']",350000,False,Used Average of Season Before and After,True,Ronald Hernández,Hernández,multiple,,0
10664,73460,4414,"World Cup 2022, Qualifiers, CONMEBOL",Venezuela vs Ecuador,10-Oct-21,Venezuela,VE,2021,SUCCESS,"['Javier González', 'Alexander González', 'César González', 'Óscar González', 'Luis González']",337500,False,Used Average of Season Before and After,True,Óscar González,González,multiple,,0
10665,73461,4414,"World Cup 2022, Qualifiers, CONMEBOL",Venezuela vs Ecuador,10-Oct-21,Venezuela,VE,2021,SUCCESS,"['Pedro Ramírez', 'Eric Ramírez']",550000,False,Used Average of Season Before and After,True,Eric Ramírez,Ramírez,multiple,,0
10666,73462,4417,"World Cup 2022, Qualifiers, CONMEBOL",Chile vs Paraguay,10-Oct-21,Paraguay,PY,2021,SUCCESS,"['Jorge Rojas', 'Robert Rojas', 'Rodrigo Rojas', 'Santiago Rojas', 'Matías Rojas']",3400000,False,Used Average of Season Before and After,True,Robert Rojas,Rojas,multiple,,0
10667,73464,4422,"World Cup 2022, Qualifiers, CONMEBOL",Chile vs Venezuela,14-Oct-21,Venezuela,VE,2021,SUCCESS,"['Dani Hernández', 'José Hernández', 'Ronald Hernández']",350000,False,Used Average of Season Before and After,True,Ronald Hernández,Hernández,multiple,,0
10668,73465,4422,"World Cup 2022, Qualifiers, CONMEBOL",Chile vs Venezuela,14-Oct-21,Venezuela,VE,2021,SUCCESS,"['Javier González', 'Alexander González', 'César González', 'Óscar González', 'Luis González']",337500,False,Used Average of Season Before and After,True,Óscar González,González,multiple,,0
10669,73466,4422,"World Cup 2022, Qualifiers, CONMEBOL",Chile vs Venezuela,14-Oct-21,Venezuela,VE,2021,SUCCESS,"['Pedro Ramírez', 'Eric Ramírez']",550000,False,Used Average of Season Before and After,True,Eric Ramírez,Ramírez,multiple,,0
10670,73467,4423,"World Cup 2022, Qualifiers, CONMEBOL",Ecuador vs Venezuela,11-Nov-21,Venezuela,VE,2021,SUCCESS,"['Pedro Ramírez', 'Eric Ramírez']",550000,False,Used Average of Season Before and After,True,Eric Ramírez,Ramírez,multiple,,0
10671,73468,4424,"World Cup 2022, Qualifiers, CONMEBOL",Paraguay vs Chile,11-Nov-21,Paraguay,PY,2021,SUCCESS,"['Jorge Rojas', 'Robert Rojas', 'Rodrigo Rojas', 'Santiago Rojas', 'Matías Rojas']",0,False,"Did Not Find in Curr Season, One Up, or One Down",True,"['Robert Rojas', 'Matías Rojas']",Rojas,multiple,,0
10672,73469,4430,"World Cup 2022, Qualifiers, CONMEBOL",Venezuela vs Peru,16-Nov-21,Venezuela,VE,2021,SUCCESS,"['Dani Hernández', 'José Hernández', 'Ronald Hernández']",350000,False,Used Average of Season Before and After,True,Ronald Hernández,Hernández,multiple,,0
10673,73470,4430,"World Cup 2022, Qualifiers, CONMEBOL",Venezuela vs Peru,16-Nov-21,Venezuela,VE,2021,SUCCESS,"['Javier González', 'Alexander González', 'César González', 'Óscar González', 'Luis González']",0,False,"Did Not Find in Curr Season, One Up, or One Down",True,"['Luis González', 'Óscar González']",González,multiple,,0
10674,73471,4430,"World Cup 2022, Qualifiers, CONMEBOL",Venezuela vs Peru,16-Nov-21,Venezuela,VE,2021,SUCCESS,"['Júnior Moreno', 'Johan Moreno']",1250000,False,Used Average of Season Before and After,True,Júnior Moreno,J Moreno,multiple,,0
10675,73472,2581,"World Cup Qualifiers, Asia, 2022",Chinese Taipei vs Jordan,05-09-2019,Chinese Taipei,TW,2019,SUCCESS,Chien-ming Wang,5000,False,Used Average of Season Before and After,True,Ting-Yang Chen,Chen Ting-yang,single,,0
