,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case
26311,945,1357,"Olympics, 2016",Nigeria vs Germany,2016-08-17,Germany,DE,2016,FAIL,0,0,True,Online Lookup Required,False,0,Davie Selke,none
26346,980,1359,"Olympics, 2016",Brazil vs Germany,2016-08-20,Germany,DE,2016,FAIL,0,0,True,Online Lookup Required,False,0,Jeremy Toljan,none
26355,989,1359,"Olympics, 2016",Brazil vs Germany,2016-08-20,Germany,DE,2016,FAIL,0,0,True,Online Lookup Required,False,0,Davie Selke,none
26367,1001,1361,"Olympics, 2020",Mexico vs France,2021-07-22,France,FR,2021,FAIL,0,0,True,Online Lookup Required,False,0,Paul Bernardoni,none
26369,1003,1361,"Olympics, 2020",Mexico vs France,2021-07-22,France,FR,2021,FAIL,0,0,True,Online Lookup Required,False,0,Pierre Kalulu,none
26372,1006,1361,"Olympics, 2020",Mexico vs France,2021-07-22,France,FR,2021,FAIL,0,0,True,Online Lookup Required,False,0,Téji Savanier,none
26373,1007,1361,"Olympics, 2020",Mexico vs France,2021-07-22,France,FR,2021,FAIL,0,0,True,Online Lookup Required,False,0,Lucas Tousart,none
26375,1009,1361,"Olympics, 2020",Mexico vs France,2021-07-22,France,FR,2021,FAIL,0,0,True,Online Lookup Required,False,0,Enzo Le Fée,none
26376,1010,1361,"Olympics, 2020",Mexico vs France,2021-07-22,France,FR,2021,FAIL,0,0,True,Online Lookup Required,False,0,Arnaud Nordin,none
26400,1034,1363,"Olympics, 2020",France vs South Africa,2021-07-25,France,FR,2021,FAIL,0,0,True,Online Lookup Required,False,0,Paul Bernardoni,none
26402,1036,1363,"Olympics, 2020",France vs South Africa,2021-07-25,France,FR,2021,FAIL,0,0,True,Online Lookup Required,False,0,Pierre Kalulu,none
26403,1037,1363,"Olympics, 2020",France vs South Africa,2021-07-25,France,FR,2021,FAIL,0,0,True,Online Lookup Required,False,0,Niels Nkounkou,none
26405,1039,1363,"Olympics, 2020",France vs South Africa,2021-07-25,France,FR,2021,FAIL,0,0,True,Online Lookup Required,False,0,Téji Savanier,none
26406,1040,1363,"Olympics, 2020",France vs South Africa,2021-07-25,France,FR,2021,FAIL,0,0,True,Online Lookup Required,False,0,Lucas Tousart,none
26409,1043,1363,"Olympics, 2020",France vs South Africa,2021-07-25,France,FR,2021,FAIL,0,0,True,Online Lookup Required,False,0,Nathanaël Mbuku,none
26419,1053,1363,"Olympics, 2020",France vs South Africa,2021-07-25,South Africa,ZA,2021,FAIL,0,0,True,Online Lookup Required,False,0,Kobamelo Kodisang,none
26444,1078,1365,"Olympics, 2020",France vs Japan,2021-07-28,France,FR,2021,FAIL,0,0,True,Online Lookup Required,False,0,Paul Bernardoni,none
26446,1080,1365,"Olympics, 2020",France vs Japan,2021-07-28,France,FR,2021,FAIL,0,0,True,Online Lookup Required,False,0,Timothée Pembélé,none
26447,1081,1365,"Olympics, 2020",France vs Japan,2021-07-28,France,FR,2021,FAIL,0,0,True,Online Lookup Required,False,0,Pierre Kalulu,none
