,Match ID,Match,Date,Competition,Nationality,Country Code,ORIGINAL JERSEY,Names_Found,Season,Status
0,4256,Colombia vs Ecuador,06-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Colombia,CO,Aguilar,['Abel Aguilar'],2013,Success
1,4256,Colombia vs Ecuador,06-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Colombia,CO,Torres,['Macnelly Torres'],2013,Success
2,4256,Colombia vs Ecuador,06-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador,EC,Ayoví,Wálter Ayoví,2013,Success
3,4256,Colombia vs Ecuador,06-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador,EC,Castillo,Segundo Castillo,2013,Success
4,4257,Paraguay vs Bolivia,06-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay,PY,d Silva,['Paulo da Silva'],2013,Success
5,4257,Paraguay vs Bolivia,06-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay,PY,Ortiz,Richard Ortiz,2013,Success
6,4257,Paraguay vs Bolivia,06-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay,PY,Samudio,['Miguel Samudio'],2013,Success
7,4257,Paraguay vs Bolivia,06-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia,BO,Rodríguez,,2013,Success
8,4257,Paraguay vs Bolivia,06-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia,BO,Gutiérrez,Luis Gutiérrez,2013,Success
9,4257,Paraguay vs Bolivia,06-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia,BO,Chávez,José Luis Chávez,2013,Success
10,4258,Chile vs Venezuela,06-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Chile,CL,Bravo,['Claudio Bravo'],2013,Success
11,4258,Chile vs Venezuela,06-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Chile,CL,Medel,Gary Medel,2013,Success
12,4258,Chile vs Venezuela,06-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Chile,CL,González,,2013,Success
13,4258,Chile vs Venezuela,06-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Chile,CL,Aránguiz,['Charles Aránguiz'],2013,Success
14,4258,Chile vs Venezuela,06-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Chile,CL,Díaz,Marcelo Díaz,2013,Success
15,4258,Chile vs Venezuela,06-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Chile,CL,Vargas,Eduardo Vargas,2013,Success
16,4258,Chile vs Venezuela,06-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Venezuela,VE,Martinez,['Adrián Martínez'],2013,Success
17,4258,Chile vs Venezuela,06-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Venezuela,VE,Rondón,Salomón Rondón,2013,Success
18,4259,Peru vs Uruguay,06-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Peru,PE,Rodríguez,,2013,Success
19,4259,Peru vs Uruguay,06-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Uruguay,UY,Cáceres,,2013,Success
20,4259,Peru vs Uruguay,06-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Uruguay,UY,Rodríguez,Cristian Rodríguez,2013,Success
21,4259,Peru vs Uruguay,06-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Uruguay,UY,Suárez,Luis Suárez,2013,Success
22,4260,Bolivia vs Ecuador,10-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador,EC,Ayoví,"['Wálter Ayoví', 'Jaime Ayoví']",2013,Multi
23,4260,Bolivia vs Ecuador,10-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador,EC,Valencia,Antonio Valencia,2013,Success
24,4260,Bolivia vs Ecuador,10-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador,EC,Castillo,Segundo Castillo,2013,Success
25,4260,Bolivia vs Ecuador,10-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador,EC,Caicedo,Felipe Caicedo,2013,Success
26,4261,Uruguay vs Colombia,10-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Uruguay,UY,González,Álvaro González,2013,Success
27,4261,Uruguay vs Colombia,10-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Uruguay,UY,Rodríguez,Cristian Rodríguez,2013,Success
28,4261,Uruguay vs Colombia,10-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Uruguay,UY,Suárez,Luis Suárez,2013,Success
29,4261,Uruguay vs Colombia,10-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Colombia,CO,Sánchez,['Carlos Sánchez'],2013,Success
30,4261,Uruguay vs Colombia,10-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Colombia,CO,Aguilar,['Abel Aguilar'],2013,Success
31,4262,Venezuela vs Peru,10-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Venezuela,VE,Gonzalez,"['Luis González', 'Óscar González', 'César González']",2013,Fail
32,4262,Venezuela vs Peru,10-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Venezuela,VE,Martinez,['Adrián Martínez'],2013,Success
33,4262,Venezuela vs Peru,10-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Venezuela,VE,Rondón,Salomón Rondón,2013,Success
34,4262,Venezuela vs Peru,10-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Peru,PE,Rodríguez,,2013,Success
35,4263,Paraguay vs Argentina,10-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay,PY,Fernández,,2013,Success
36,4263,Paraguay vs Argentina,10-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay,PY,Cáceres,Marcos Cáceres,2013,Success
37,4263,Paraguay vs Argentina,10-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay,PY,d Silva,['Paulo da Silva'],2013,Success
38,4263,Paraguay vs Argentina,10-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay,PY,Riveros,Cristian Riveros,2013,Success
39,4263,Paraguay vs Argentina,10-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay,PY,Ortiz,Richard Ortiz,2013,Success
40,4263,Paraguay vs Argentina,10-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay,PY,Samudio,['Miguel Samudio'],2013,Success
41,4263,Paraguay vs Argentina,10-Sep-13,"World Cup 2014, Qualifiers, CONMEBOL",Argentina,AR,Romero,['Sergio Romero'],2013,Success
42,4264,Ecuador vs Uruguay,11-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador,EC,Ayoví,Wálter Ayoví,2013,Success
43,4264,Ecuador vs Uruguay,11-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador,EC,Valencia,"['Antonio Valencia', 'Enner Valencia']",2013,Multi
44,4264,Ecuador vs Uruguay,11-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador,EC,Castillo,Segundo Castillo,2013,Success
45,4264,Ecuador vs Uruguay,11-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador,EC,Caicedo,Felipe Caicedo,2013,Success
46,4264,Ecuador vs Uruguay,11-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Uruguay,UY,Rodríguez,Cristian Rodríguez,2013,Success
47,4264,Ecuador vs Uruguay,11-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Uruguay,UY,Suárez,Luis Suárez,2013,Success
48,4265,Colombia vs Chile,11-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Colombia,CO,Cuadrado,Juan Cuadrado,2013,Success
49,4265,Colombia vs Chile,11-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Colombia,CO,Aguilar,['Abel Aguilar'],2013,Success
50,4265,Colombia vs Chile,11-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Colombia,CO,Sánchez,['Carlos Sánchez'],2013,Success
51,4265,Colombia vs Chile,11-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Chile,CL,Bravo,['Claudio Bravo'],2013,Success
52,4265,Colombia vs Chile,11-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Chile,CL,Medel,Gary Medel,2013,Success
53,4265,Colombia vs Chile,11-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Chile,CL,González,,2013,Success
54,4265,Colombia vs Chile,11-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Chile,CL,Jara,['Gonzalo Jara'],2013,Success
55,4265,Colombia vs Chile,11-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Chile,CL,Vargas,Eduardo Vargas,2013,Success
56,4266,Venezuela vs Paraguay,11-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Venezuela,VE,Gonzalez,"['Luis González', 'Óscar González', 'César González']",2013,Fail
57,4266,Venezuela vs Paraguay,11-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Venezuela,VE,Martinez,['Adrián Martínez'],2013,Success
58,4266,Venezuela vs Paraguay,11-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay,PY,d Silva,['Paulo da Silva'],2013,Success
59,4266,Venezuela vs Paraguay,11-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay,PY,Cáceres,Víctor Cáceres,2013,Success
60,4266,Venezuela vs Paraguay,11-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay,PY,Benítez,Edgar Benítez,2013,Success
61,4267,Argentina vs Peru,11-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Argentina,AR,Romero,['Sergio Romero'],2013,Success
62,4267,Argentina vs Peru,11-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Argentina,AR,Fernández,Federico Fernández,2013,Success
63,4267,Argentina vs Peru,11-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Peru,PE,Duarte,['Néstor Duarte'],2013,Success
64,4268,Paraguay vs Colombia,15-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay,PY,d Silva,['Paulo da Silva'],2013,Success
65,4268,Paraguay vs Colombia,15-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay,PY,Rojas,['José Rojas'],2013,Success
66,4268,Paraguay vs Colombia,15-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay,PY,Oviedo,['Fidencio Oviedo'],2013,Success
67,4268,Paraguay vs Colombia,15-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Colombia,CO,Arias,['Santiago Arias'],2013,Success
68,4268,Paraguay vs Colombia,15-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Colombia,CO,Zapata,Cristián Zapata,2013,Success
69,4268,Paraguay vs Colombia,15-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Colombia,CO,Torres,['Macnelly Torres'],2013,Success
70,4268,Paraguay vs Colombia,15-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Colombia,CO,Sánchez,['Carlos Sánchez'],2013,Success
71,4268,Paraguay vs Colombia,15-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Colombia,CO,Martínez,Jackson Martínez,2013,Success
72,4269,Chile vs Ecuador,15-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Chile,CL,Bravo,['Claudio Bravo'],2013,Success
73,4269,Chile vs Ecuador,15-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Chile,CL,Medel,Gary Medel,2013,Success
74,4269,Chile vs Ecuador,15-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Chile,CL,González,,2013,Success
75,4269,Chile vs Ecuador,15-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Chile,CL,Aránguiz,['Charles Aránguiz'],2013,Success
76,4269,Chile vs Ecuador,15-Oct-13,"World Cup 2014, Qualifiers, CONMEBOL",Chile,CL,Díaz,Marcelo Díaz,2013,Success
