,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New,Market Value New
192,2137,"World Cup Qualifiers, Africa, 2022",Namibia vs Togo,15-11-2021,Namibia,NB,2021,FAIL,0,0.0,True,Online Lookup Required,False,0,A Petrus,none,,0
193,2137,"World Cup Qualifiers, Africa, 2022",Namibia vs Togo,15-11-2021,Namibia,NB,2021,FAIL,0,0.0,True,Online Lookup Required,False,0,A Handura,none,,0
194,2137,"World Cup Qualifiers, Africa, 2022",Namibia vs Togo,15-11-2021,Namibia,NB,2021,FAIL,0,0.0,True,Online Lookup Required,False,0,D Haoseb,none,,0
195,2137,"World Cup Qualifiers, Africa, 2022",Namibia vs Togo,15-11-2021,Namibia,NB,2021,FAIL,0,0.0,True,Online Lookup Required,False,0,A Iimbondi,none,,0
196,2137,"World Cup Qualifiers, Africa, 2022",Namibia vs Togo,15-11-2021,Namibia,NB,2021,FAIL,0,0.0,True,Online Lookup Required,False,0,P Tjiueza,none,,0
197,2137,"World Cup Qualifiers, Africa, 2022",Namibia vs Togo,15-11-2021,Namibia,NB,2021,FAIL,0,0.0,True,Online Lookup Required,False,0,W Rudath,none,,0
198,2146,"World Cup Qualifiers, Africa, 2022",Namibia vs Senegal,12-10-2021,Namibia,NB,2021,FAIL,0,0.0,True,Online Lookup Required,False,0,L Horaeb,none,,0
199,2146,"World Cup Qualifiers, Africa, 2022",Namibia vs Senegal,12-10-2021,Namibia,NB,2021,FAIL,0,0.0,True,Online Lookup Required,False,0,C Hambira,none,,0
200,2146,"World Cup Qualifiers, Africa, 2022",Namibia vs Senegal,12-10-2021,Namibia,NB,2021,FAIL,0,0.0,True,Online Lookup Required,False,0,W Katjiteo,none,,0
201,2146,"World Cup Qualifiers, Africa, 2022",Namibia vs Senegal,12-10-2021,Namibia,NB,2021,FAIL,0,0.0,True,Online Lookup Required,False,0,D Haoseb,none,,0
202,2162,"World Cup Qualifiers, Africa, 2022",Senegal vs Namibia,09-10-2021,Namibia,NB,2021,FAIL,0,0.0,True,Online Lookup Required,False,0,I Kamberipa,none,,0
203,2162,"World Cup Qualifiers, Africa, 2022",Senegal vs Namibia,09-10-2021,Namibia,NB,2021,FAIL,0,0.0,True,Online Lookup Required,False,0,C Hambira,none,,0
204,2162,"World Cup Qualifiers, Africa, 2022",Senegal vs Namibia,09-10-2021,Namibia,NB,2021,FAIL,0,0.0,True,Online Lookup Required,False,0,W Katjiteo,none,,0
205,2162,"World Cup Qualifiers, Africa, 2022",Senegal vs Namibia,09-10-2021,Namibia,NB,2021,FAIL,0,0.0,True,Online Lookup Required,False,0,D Haoseb,none,,0
206,2162,"World Cup Qualifiers, Africa, 2022",Senegal vs Namibia,09-10-2021,Namibia,NB,2021,FAIL,0,0.0,True,Online Lookup Required,False,0,A Iimbondi,none,,0
207,2162,"World Cup Qualifiers, Africa, 2022",Senegal vs Namibia,09-10-2021,Namibia,NB,2021,FAIL,0,0.0,True,Online Lookup Required,False,0,E Kambindu,none,,0
208,2164,"World Cup Qualifiers, Africa, 2022",Congo vs Namibia,11-11-2021,Namibia,NB,2021,FAIL,0,0.0,True,Online Lookup Required,False,0,C Hambira,none,,0
209,2164,"World Cup Qualifiers, Africa, 2022",Congo vs Namibia,11-11-2021,Namibia,NB,2021,FAIL,0,0.0,True,Online Lookup Required,False,0,L Haukongo,none,,0
210,2164,"World Cup Qualifiers, Africa, 2022",Congo vs Namibia,11-11-2021,Namibia,NB,2021,FAIL,0,0.0,True,Online Lookup Required,False,0,A Petrus,none,,0
211,2164,"World Cup Qualifiers, Africa, 2022",Congo vs Namibia,11-11-2021,Namibia,NB,2021,FAIL,0,0.0,True,Online Lookup Required,False,0,D Haoseb,none,,0
212,2164,"World Cup Qualifiers, Africa, 2022",Congo vs Namibia,11-11-2021,Namibia,NB,2021,FAIL,0,0.0,True,Online Lookup Required,False,0,W Katjiteo,none,,0
213,3693,"Gold Cup, 2017",Martinique vs Nicaragua,09-07-2017,Martinique,MQ,2017,FAIL,0,0.0,True,Online Lookup Required,False,0,K Olimpa,none,,0
214,3693,"Gold Cup, 2017",Martinique vs Nicaragua,09-07-2017,Martinique,MQ,2017,FAIL,0,0.0,True,Online Lookup Required,False,0,J Audel,none,,0
215,3708,"Gold Cup, 2017",Panama vs Martinique,15-07-2017,Martinique,MQ,2017,FAIL,0,0.0,True,Online Lookup Required,False,0,K Olimpa,none,,0
216,3708,"Gold Cup, 2017",Panama vs Martinique,15-07-2017,Martinique,MQ,2017,FAIL,0,0.0,True,Online Lookup Required,False,0,J Audel,none,,0
217,3708,"Gold Cup, 2017",Panama vs Martinique,15-07-2017,Martinique,MQ,2017,FAIL,0,0.0,True,Online Lookup Required,False,0,S Langil,none,,0
218,3717,"Gold Cup, 2017",United States vs Martinique,13-07-2017,Martinique,MQ,2017,FAIL,0,0.0,True,Online Lookup Required,False,0,K Olimpa,none,,0
219,3717,"Gold Cup, 2017",United States vs Martinique,13-07-2017,Martinique,MQ,2017,FAIL,0,0.0,True,Online Lookup Required,False,0,J Audel,none,,0
220,3728,"Gold Cup, 2019",Cuba vs Martinique,20-06-2019,Martinique,MQ,2019,FAIL,0,0.0,True,Online Lookup Required,False,0,J Babin,none,,0
221,3728,"Gold Cup, 2019",Cuba vs Martinique,20-06-2019,Martinique,MQ,2019,FAIL,0,0.0,True,Online Lookup Required,False,0,J Marveaux,none,,0
222,3734,"Gold Cup, 2019",Martinique vs Mexico,24-06-2019,Martinique,MQ,2019,FAIL,0,0.0,True,Online Lookup Required,False,0,J Babin,none,,0
223,3734,"Gold Cup, 2019",Martinique vs Mexico,24-06-2019,Martinique,MQ,2019,FAIL,0,0.0,True,Online Lookup Required,False,0,J Marveaux,none,,0
