,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New
17,17,3707,407,4013,"World Cup 2018, Qualifiers, CONCACAF",Mexico vs El Salvador,13-Nov-15,El Salvador,SV,2015,SUCCESS,"['Henry Hernández', 'Andrés Hernández']",0.0,False,Large Dataset said 0,False,Henry Hernández,Hernandez,multiple,Done
18,18,3710,410,4013,"World Cup 2018, Qualifiers, CONCACAF",Mexico vs El Salvador,13-Nov-15,El Salvador,SV,2015,SUCCESS,"['Henry Romero', 'Tomás Romero']",0.0,False,Large Dataset said 0,False,Henry Romero,Romero,multiple,Done
19,19,3733,433,4014,"World Cup 2018, Qualifiers, CONCACAF",Costa Rica vs Haiti,13-Nov-15,Haiti,HT,2015,SUCCESS,"['Mechack Jérôme', 'Alan Jérôme']",0.0,False,Large Dataset said 0,False,Mechack Jérôme,Jérôme,multiple,Done
20,20,3751,451,4015,"World Cup 2018, Qualifiers, CONCACAF",Jamaica vs Panama,13-Nov-15,Panama,PA,2015,SUCCESS,"['José Calderón', 'Kevin Calderón']",0.0,False,Large Dataset said 0,False,José Calderón,Calderon,multiple,Done
21,21,3759,459,4015,"World Cup 2018, Qualifiers, CONCACAF",Jamaica vs Panama,13-Nov-15,Panama,PA,2015,SUCCESS,"['Alberto Quintero', 'Cristian Quintero']",0.0,False,Large Dataset said 0,False,Alberto Quintero,Quintero,multiple,Done
22,22,3763,463,4016,"World Cup 2018, Qualifiers, CONCACAF",Honduras vs Mexico,17-Nov-15,Honduras,HN,2015,SUCCESS,"['Wilmer Crisanto', 'Félix Crisanto']",0.0,False,Large Dataset said 0,False,Wilmer Crisanto,Crisanto,multiple,Done
23,23,3785,485,4017,"World Cup 2018, Qualifiers, CONCACAF",Saint Vincent and the Grenadines vs Guatemala,17-Nov-15,Saint Vincent and the Grenadines,VC,2015,SUCCESS,"['Roy Richards', 'Brad Richards']",0.0,False,Large Dataset said 0,False,Roy Richards,Richards,multiple,Done
24,24,3787,487,4017,"World Cup 2018, Qualifiers, CONCACAF",Saint Vincent and the Grenadines vs Guatemala,17-Nov-15,Saint Vincent and the Grenadines,VC,2015,SUCCESS,"['Kevin Francis', 'Damal Francis', 'Gidson Francis']",0.0,False,Large Dataset said 0,False,Kevin Francis,Francis,multiple,Done
25,25,3791,491,4017,"World Cup 2018, Qualifiers, CONCACAF",Saint Vincent and the Grenadines vs Guatemala,17-Nov-15,Saint Vincent and the Grenadines,VC,2015,SUCCESS,"['Emerald George', 'Norrel George']",0.0,False,Large Dataset said 0,False,Emerald George,George,multiple,Done
26,26,3793,493,4017,"World Cup 2018, Qualifiers, CONCACAF",Saint Vincent and the Grenadines vs Guatemala,17-Nov-15,Saint Vincent and the Grenadines,VC,2015,SUCCESS,"['Keith James', 'Gavin James', 'Ramesh James']",0.0,False,Large Dataset said 0,False,Gavin James,James,multiple,Done
