"interval","sum_mv_prediction_correct","average_mv_prediction_correct","sample_size"
10000,71,0.606837606837607,117
20000,71,0.606837606837607,117
30000,71,0.606837606837607,117
40000,71,0.606837606837607,117
50000,71,0.606837606837607,117
60000,71,0.606837606837607,117
70000,71,0.606837606837607,117
80000,71,0.606837606837607,117
90000,71,0.606837606837607,117
1e+05,71,0.606837606837607,117
110000,71,0.606837606837607,117
120000,71,0.606837606837607,117
130000,71,0.606837606837607,117
140000,71,0.606837606837607,117
150000,71,0.606837606837607,117
160000,71,0.606837606837607,117
170000,71,0.606837606837607,117
180000,71,0.606837606837607,117
190000,71,0.606837606837607,117
2e+05,71,0.606837606837607,117
210000,70,0.603448275862069,116
220000,70,0.603448275862069,116
230000,70,0.603448275862069,116
240000,70,0.603448275862069,116
250000,70,0.603448275862069,116
260000,70,0.603448275862069,116
270000,70,0.603448275862069,116
280000,70,0.603448275862069,116
290000,70,0.603448275862069,116
3e+05,70,0.603448275862069,116
310000,70,0.603448275862069,116
320000,70,0.603448275862069,116
330000,70,0.603448275862069,116
340000,70,0.603448275862069,116
350000,70,0.603448275862069,116
360000,70,0.603448275862069,116
370000,70,0.603448275862069,116
380000,70,0.603448275862069,116
390000,70,0.603448275862069,116
4e+05,70,0.603448275862069,116
410000,70,0.603448275862069,116
420000,70,0.603448275862069,116
430000,70,0.603448275862069,116
440000,70,0.603448275862069,116
450000,70,0.603448275862069,116
460000,70,0.603448275862069,116
470000,70,0.603448275862069,116
480000,70,0.603448275862069,116
490000,70,0.603448275862069,116
5e+05,70,0.603448275862069,116
510000,70,0.608695652173913,115
520000,70,0.608695652173913,115
530000,70,0.608695652173913,115
540000,70,0.608695652173913,115
550000,70,0.608695652173913,115
560000,70,0.608695652173913,115
570000,70,0.608695652173913,115
580000,70,0.608695652173913,115
590000,70,0.608695652173913,115
6e+05,70,0.608695652173913,115
610000,70,0.608695652173913,115
620000,70,0.608695652173913,115
630000,70,0.608695652173913,115
640000,70,0.608695652173913,115
650000,70,0.608695652173913,115
660000,70,0.608695652173913,115
670000,70,0.608695652173913,115
680000,70,0.608695652173913,115
690000,70,0.608695652173913,115
7e+05,70,0.608695652173913,115
710000,70,0.608695652173913,115
720000,70,0.608695652173913,115
730000,70,0.608695652173913,115
740000,70,0.608695652173913,115
750000,70,0.608695652173913,115
760000,70,0.608695652173913,115
770000,70,0.608695652173913,115
780000,70,0.608695652173913,115
790000,70,0.608695652173913,115
8e+05,70,0.608695652173913,115
810000,70,0.608695652173913,115
820000,70,0.608695652173913,115
830000,70,0.608695652173913,115
840000,70,0.608695652173913,115
850000,70,0.608695652173913,115
860000,70,0.608695652173913,115
870000,70,0.608695652173913,115
880000,70,0.608695652173913,115
890000,70,0.608695652173913,115
9e+05,70,0.608695652173913,115
910000,70,0.608695652173913,115
920000,70,0.608695652173913,115
930000,70,0.608695652173913,115
940000,70,0.608695652173913,115
950000,70,0.608695652173913,115
960000,70,0.608695652173913,115
970000,70,0.608695652173913,115
980000,70,0.608695652173913,115
990000,70,0.608695652173913,115
1e+06,70,0.608695652173913,115
1010000,70,0.608695652173913,115
1020000,70,0.608695652173913,115
1030000,70,0.608695652173913,115
1040000,70,0.608695652173913,115
1050000,70,0.608695652173913,115
1060000,70,0.608695652173913,115
1070000,70,0.608695652173913,115
1080000,70,0.608695652173913,115
1090000,70,0.608695652173913,115
1100000,70,0.608695652173913,115
1110000,70,0.608695652173913,115
1120000,70,0.608695652173913,115
1130000,70,0.608695652173913,115
1140000,70,0.608695652173913,115
1150000,70,0.608695652173913,115
1160000,70,0.608695652173913,115
1170000,70,0.608695652173913,115
1180000,70,0.608695652173913,115
1190000,70,0.608695652173913,115
1200000,70,0.608695652173913,115
1210000,70,0.608695652173913,115
1220000,70,0.608695652173913,115
1230000,70,0.608695652173913,115
1240000,70,0.608695652173913,115
1250000,70,0.608695652173913,115
1260000,70,0.608695652173913,115
1270000,70,0.608695652173913,115
1280000,70,0.608695652173913,115
1290000,70,0.608695652173913,115
1300000,70,0.608695652173913,115
1310000,70,0.608695652173913,115
1320000,70,0.608695652173913,115
1330000,70,0.608695652173913,115
1340000,70,0.608695652173913,115
1350000,70,0.608695652173913,115
1360000,70,0.608695652173913,115
1370000,70,0.608695652173913,115
1380000,70,0.608695652173913,115
1390000,70,0.608695652173913,115
1400000,70,0.608695652173913,115
1410000,70,0.608695652173913,115
1420000,70,0.608695652173913,115
1430000,70,0.608695652173913,115
1440000,70,0.608695652173913,115
1450000,70,0.608695652173913,115
1460000,70,0.608695652173913,115
1470000,70,0.608695652173913,115
1480000,70,0.608695652173913,115
1490000,70,0.608695652173913,115
1500000,70,0.608695652173913,115
1510000,70,0.608695652173913,115
1520000,70,0.608695652173913,115
1530000,70,0.608695652173913,115
1540000,70,0.608695652173913,115
1550000,70,0.608695652173913,115
1560000,70,0.608695652173913,115
1570000,70,0.608695652173913,115
1580000,70,0.608695652173913,115
1590000,70,0.608695652173913,115
1600000,70,0.608695652173913,115
1610000,70,0.608695652173913,115
1620000,70,0.608695652173913,115
1630000,70,0.608695652173913,115
1640000,70,0.608695652173913,115
1650000,70,0.608695652173913,115
1660000,70,0.608695652173913,115
1670000,70,0.608695652173913,115
1680000,70,0.608695652173913,115
1690000,70,0.608695652173913,115
1700000,70,0.608695652173913,115
1710000,70,0.608695652173913,115
1720000,70,0.608695652173913,115
1730000,70,0.608695652173913,115
1740000,70,0.608695652173913,115
1750000,70,0.608695652173913,115
1760000,70,0.608695652173913,115
1770000,70,0.608695652173913,115
1780000,70,0.608695652173913,115
1790000,70,0.608695652173913,115
1800000,70,0.608695652173913,115
1810000,70,0.608695652173913,115
1820000,70,0.608695652173913,115
1830000,70,0.608695652173913,115
1840000,70,0.608695652173913,115
1850000,70,0.608695652173913,115
1860000,70,0.608695652173913,115
1870000,70,0.608695652173913,115
1880000,70,0.608695652173913,115
1890000,70,0.608695652173913,115
1900000,70,0.608695652173913,115
1910000,70,0.608695652173913,115
1920000,70,0.608695652173913,115
1930000,70,0.608695652173913,115
1940000,70,0.608695652173913,115
1950000,70,0.608695652173913,115
1960000,70,0.608695652173913,115
1970000,70,0.608695652173913,115
1980000,70,0.608695652173913,115
1990000,70,0.608695652173913,115
2e+06,70,0.608695652173913,115
2010000,70,0.608695652173913,115
2020000,70,0.608695652173913,115
2030000,70,0.608695652173913,115
2040000,70,0.608695652173913,115
2050000,70,0.608695652173913,115
2060000,70,0.608695652173913,115
2070000,70,0.608695652173913,115
2080000,70,0.608695652173913,115
2090000,70,0.608695652173913,115
2100000,70,0.608695652173913,115
2110000,70,0.608695652173913,115
2120000,70,0.608695652173913,115
2130000,70,0.608695652173913,115
2140000,70,0.608695652173913,115
2150000,70,0.608695652173913,115
2160000,70,0.608695652173913,115
2170000,70,0.608695652173913,115
2180000,70,0.608695652173913,115
2190000,70,0.608695652173913,115
2200000,70,0.608695652173913,115
2210000,70,0.608695652173913,115
2220000,70,0.608695652173913,115
2230000,70,0.608695652173913,115
2240000,70,0.608695652173913,115
2250000,70,0.608695652173913,115
2260000,70,0.608695652173913,115
2270000,70,0.608695652173913,115
2280000,70,0.608695652173913,115
2290000,70,0.608695652173913,115
2300000,70,0.608695652173913,115
2310000,70,0.608695652173913,115
2320000,70,0.608695652173913,115
2330000,70,0.608695652173913,115
2340000,70,0.608695652173913,115
2350000,70,0.608695652173913,115
2360000,70,0.608695652173913,115
2370000,70,0.608695652173913,115
2380000,70,0.608695652173913,115
2390000,70,0.608695652173913,115
2400000,70,0.608695652173913,115
2410000,70,0.608695652173913,115
2420000,70,0.608695652173913,115
2430000,70,0.608695652173913,115
2440000,70,0.608695652173913,115
2450000,70,0.608695652173913,115
2460000,70,0.608695652173913,115
2470000,70,0.608695652173913,115
2480000,70,0.608695652173913,115
2490000,70,0.608695652173913,115
2500000,70,0.608695652173913,115
2510000,70,0.608695652173913,115
2520000,70,0.608695652173913,115
2530000,70,0.608695652173913,115
2540000,70,0.608695652173913,115
2550000,70,0.608695652173913,115
2560000,70,0.608695652173913,115
2570000,70,0.608695652173913,115
2580000,70,0.608695652173913,115
2590000,70,0.608695652173913,115
2600000,70,0.608695652173913,115
2610000,70,0.608695652173913,115
2620000,70,0.608695652173913,115
2630000,70,0.608695652173913,115
2640000,70,0.608695652173913,115
2650000,70,0.608695652173913,115
2660000,70,0.608695652173913,115
2670000,70,0.608695652173913,115
2680000,70,0.608695652173913,115
2690000,70,0.608695652173913,115
2700000,70,0.608695652173913,115
2710000,70,0.608695652173913,115
2720000,70,0.608695652173913,115
2730000,70,0.608695652173913,115
2740000,70,0.608695652173913,115
2750000,70,0.608695652173913,115
2760000,70,0.608695652173913,115
2770000,70,0.608695652173913,115
2780000,70,0.608695652173913,115
2790000,70,0.608695652173913,115
2800000,70,0.608695652173913,115
2810000,70,0.608695652173913,115
2820000,70,0.608695652173913,115
2830000,70,0.608695652173913,115
2840000,70,0.608695652173913,115
2850000,70,0.608695652173913,115
2860000,70,0.608695652173913,115
2870000,70,0.608695652173913,115
2880000,70,0.608695652173913,115
2890000,70,0.608695652173913,115
2900000,70,0.608695652173913,115
2910000,70,0.608695652173913,115
2920000,70,0.608695652173913,115
2930000,70,0.608695652173913,115
2940000,70,0.608695652173913,115
2950000,70,0.608695652173913,115
2960000,70,0.608695652173913,115
2970000,70,0.608695652173913,115
2980000,70,0.608695652173913,115
2990000,70,0.608695652173913,115
3e+06,70,0.608695652173913,115
3010000,70,0.608695652173913,115
3020000,70,0.608695652173913,115
3030000,70,0.608695652173913,115
3040000,70,0.608695652173913,115
3050000,70,0.608695652173913,115
3060000,70,0.608695652173913,115
3070000,70,0.608695652173913,115
3080000,70,0.608695652173913,115
3090000,70,0.608695652173913,115
3100000,70,0.608695652173913,115
3110000,70,0.608695652173913,115
3120000,70,0.608695652173913,115
3130000,70,0.608695652173913,115
3140000,70,0.608695652173913,115
3150000,70,0.608695652173913,115
3160000,70,0.608695652173913,115
3170000,70,0.608695652173913,115
3180000,70,0.608695652173913,115
3190000,70,0.608695652173913,115
3200000,70,0.608695652173913,115
3210000,70,0.608695652173913,115
3220000,70,0.608695652173913,115
3230000,70,0.608695652173913,115
3240000,70,0.608695652173913,115
3250000,70,0.608695652173913,115
3260000,70,0.608695652173913,115
3270000,70,0.608695652173913,115
3280000,70,0.608695652173913,115
3290000,70,0.608695652173913,115
3300000,70,0.608695652173913,115
3310000,70,0.608695652173913,115
3320000,70,0.608695652173913,115
3330000,70,0.608695652173913,115
3340000,70,0.608695652173913,115
3350000,70,0.608695652173913,115
3360000,70,0.608695652173913,115
3370000,70,0.608695652173913,115
3380000,70,0.608695652173913,115
3390000,70,0.608695652173913,115
3400000,70,0.608695652173913,115
3410000,70,0.608695652173913,115
3420000,70,0.608695652173913,115
3430000,70,0.608695652173913,115
3440000,70,0.608695652173913,115
3450000,70,0.608695652173913,115
3460000,70,0.608695652173913,115
3470000,70,0.608695652173913,115
3480000,70,0.608695652173913,115
3490000,70,0.608695652173913,115
3500000,70,0.608695652173913,115
3510000,70,0.608695652173913,115
3520000,70,0.608695652173913,115
3530000,70,0.608695652173913,115
3540000,70,0.608695652173913,115
3550000,70,0.608695652173913,115
3560000,70,0.608695652173913,115
3570000,70,0.608695652173913,115
3580000,70,0.608695652173913,115
3590000,70,0.608695652173913,115
3600000,70,0.608695652173913,115
3610000,70,0.608695652173913,115
3620000,70,0.608695652173913,115
3630000,70,0.608695652173913,115
3640000,70,0.608695652173913,115
3650000,70,0.608695652173913,115
3660000,70,0.608695652173913,115
3670000,70,0.608695652173913,115
3680000,70,0.608695652173913,115
3690000,70,0.608695652173913,115
3700000,70,0.608695652173913,115
3710000,70,0.608695652173913,115
3720000,70,0.608695652173913,115
3730000,70,0.608695652173913,115
3740000,70,0.608695652173913,115
3750000,70,0.608695652173913,115
3760000,70,0.608695652173913,115
3770000,70,0.608695652173913,115
3780000,70,0.608695652173913,115
3790000,70,0.608695652173913,115
3800000,70,0.608695652173913,115
3810000,70,0.608695652173913,115
3820000,70,0.608695652173913,115
3830000,70,0.608695652173913,115
3840000,70,0.608695652173913,115
3850000,70,0.608695652173913,115
3860000,70,0.608695652173913,115
3870000,70,0.608695652173913,115
3880000,70,0.608695652173913,115
3890000,70,0.608695652173913,115
3900000,70,0.608695652173913,115
3910000,70,0.608695652173913,115
3920000,70,0.608695652173913,115
3930000,70,0.608695652173913,115
3940000,70,0.608695652173913,115
3950000,70,0.608695652173913,115
3960000,70,0.608695652173913,115
3970000,70,0.608695652173913,115
3980000,70,0.608695652173913,115
3990000,70,0.608695652173913,115
4e+06,70,0.608695652173913,115
4010000,70,0.608695652173913,115
4020000,70,0.608695652173913,115
4030000,70,0.608695652173913,115
4040000,70,0.608695652173913,115
4050000,70,0.608695652173913,115
4060000,70,0.608695652173913,115
4070000,70,0.608695652173913,115
4080000,70,0.608695652173913,115
4090000,70,0.608695652173913,115
4100000,70,0.608695652173913,115
4110000,70,0.608695652173913,115
4120000,70,0.608695652173913,115
4130000,70,0.608695652173913,115
4140000,70,0.608695652173913,115
4150000,70,0.608695652173913,115
4160000,70,0.608695652173913,115
4170000,70,0.608695652173913,115
4180000,70,0.608695652173913,115
4190000,70,0.608695652173913,115
4200000,70,0.608695652173913,115
4210000,70,0.608695652173913,115
4220000,70,0.608695652173913,115
4230000,70,0.608695652173913,115
4240000,70,0.608695652173913,115
4250000,70,0.608695652173913,115
4260000,70,0.608695652173913,115
4270000,70,0.608695652173913,115
4280000,70,0.608695652173913,115
4290000,70,0.608695652173913,115
4300000,70,0.608695652173913,115
4310000,70,0.608695652173913,115
4320000,70,0.608695652173913,115
4330000,70,0.608695652173913,115
4340000,70,0.608695652173913,115
4350000,70,0.608695652173913,115
4360000,70,0.608695652173913,115
4370000,70,0.608695652173913,115
4380000,70,0.608695652173913,115
4390000,70,0.608695652173913,115
4400000,70,0.608695652173913,115
4410000,70,0.608695652173913,115
4420000,70,0.608695652173913,115
4430000,70,0.608695652173913,115
4440000,70,0.608695652173913,115
4450000,70,0.608695652173913,115
4460000,70,0.608695652173913,115
4470000,70,0.608695652173913,115
4480000,70,0.608695652173913,115
4490000,70,0.608695652173913,115
4500000,70,0.608695652173913,115
4510000,70,0.608695652173913,115
4520000,70,0.608695652173913,115
4530000,70,0.608695652173913,115
4540000,70,0.608695652173913,115
4550000,70,0.608695652173913,115
4560000,70,0.608695652173913,115
4570000,70,0.608695652173913,115
4580000,70,0.608695652173913,115
4590000,70,0.608695652173913,115
4600000,70,0.608695652173913,115
4610000,70,0.608695652173913,115
4620000,70,0.608695652173913,115
4630000,70,0.608695652173913,115
4640000,70,0.608695652173913,115
4650000,70,0.608695652173913,115
4660000,70,0.608695652173913,115
4670000,70,0.608695652173913,115
4680000,70,0.608695652173913,115
4690000,70,0.608695652173913,115
4700000,70,0.608695652173913,115
4710000,70,0.608695652173913,115
4720000,70,0.608695652173913,115
4730000,70,0.608695652173913,115
4740000,70,0.608695652173913,115
4750000,70,0.608695652173913,115
4760000,70,0.608695652173913,115
4770000,70,0.608695652173913,115
4780000,70,0.608695652173913,115
4790000,70,0.608695652173913,115
4800000,70,0.608695652173913,115
4810000,70,0.608695652173913,115
4820000,70,0.608695652173913,115
4830000,70,0.608695652173913,115
4840000,70,0.608695652173913,115
4850000,70,0.608695652173913,115
4860000,70,0.608695652173913,115
4870000,70,0.608695652173913,115
4880000,70,0.608695652173913,115
4890000,70,0.608695652173913,115
4900000,70,0.608695652173913,115
4910000,70,0.608695652173913,115
4920000,70,0.608695652173913,115
4930000,70,0.608695652173913,115
4940000,70,0.608695652173913,115
4950000,70,0.608695652173913,115
4960000,70,0.608695652173913,115
4970000,70,0.608695652173913,115
4980000,70,0.608695652173913,115
4990000,70,0.608695652173913,115
5e+06,70,0.608695652173913,115
5010000,70,0.608695652173913,115
5020000,70,0.608695652173913,115
5030000,70,0.608695652173913,115
5040000,70,0.608695652173913,115
5050000,70,0.608695652173913,115
5060000,70,0.608695652173913,115
5070000,70,0.608695652173913,115
5080000,70,0.608695652173913,115
5090000,70,0.608695652173913,115
5100000,70,0.608695652173913,115
5110000,70,0.608695652173913,115
5120000,70,0.608695652173913,115
5130000,70,0.608695652173913,115
5140000,70,0.608695652173913,115
5150000,70,0.608695652173913,115
5160000,70,0.608695652173913,115
5170000,70,0.608695652173913,115
5180000,70,0.608695652173913,115
5190000,70,0.608695652173913,115
5200000,70,0.608695652173913,115
5210000,70,0.608695652173913,115
5220000,70,0.608695652173913,115
5230000,70,0.608695652173913,115
5240000,70,0.608695652173913,115
5250000,70,0.608695652173913,115
5260000,70,0.608695652173913,115
5270000,70,0.608695652173913,115
5280000,70,0.608695652173913,115
5290000,70,0.608695652173913,115
5300000,70,0.608695652173913,115
5310000,70,0.608695652173913,115
5320000,70,0.608695652173913,115
